Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:16:22.445,COM12,, 0.3184, -0.9526, 0.0195, 6.7139, -3.3569, -5.7373, -88.017, -18.380, -113.752, -129.013, 140.080, 24.360, 30.01,,,,,,,,,,,,,,,,
 22:16:22.556,COM12,, 0.3428, -0.9365, 0.0264, 10.8032, -10.9253, -3.4790, -87.468, -18.605, -112.879, -115.560, 129.333, 12.673, 29.96,,,,,,,,,,,,,,,,
 22:16:22.650,COM12,, 0.3462, -0.9414, 0.0586, 9.8877, -29.7852, -1.6479, -87.567, -19.259, -110.067, -102.273, 120.380, 8.853, 29.98,,,,,,,,,,,,,,,,
 22:16:22.746,COM12,, 0.3433, -0.9604, 0.0420, 11.5356, -11.4746, 3.6011, -87.297, -19.402, -108.364, -92.220, 115.800, 7.880, 29.99,,,,,,,,,,,,,,,,
 22:16:22.855,COM12,, 0.3389, -0.9224, 0.0479, 9.2163, 8.5449, 4.5776, -86.237, -19.045, -108.704, -81.120, 112.940, 3.507, 29.95,,,,,,,,,,,,,,,,
 22:16:22.950,COM12,, 0.3271, -0.9653, 0.0610, 5.8594, -3.1738, 0.4272, -85.655, -19.352, -108.902, -78.127, 112.180, 1.253, 30.01,,,,,,,,,,,,,,,,
 22:16:23.044,COM12,, 0.3105, -0.9521, 0.0625, -3.0518, 7.3853, -5.3101, -85.704, -19.622, -108.929, -79.660, 111.480, 0.133, 29.96,,,,,,,,,,,,,,,,
 22:16:23.153,COM12,, 0.3701, -0.9097, 0.0596, 7.1411, 18.7378, -10.3149, -84.908, -20.374, -110.391, -81.773, 107.553, -7.073, 29.95,,,,,,,,,,,,,,,,
 22:16:23.247,COM12,, 0.4131, -0.9414, 0.0327, 2.8076, 10.3760, -9.5215, -85.018, -20.847, -111.945, -83.553, 114.860, -9.193, 29.96,,,,,,,,,,,,,,,,
 22:16:23.341,COM12,, 0.3608, -0.9673, 0.0762, 23.8647, -1.7090, -9.5215, -83.408, -21.846, -112.489, -83.553, 127.367, -6.753, 29.98,,,,,,,,,,,,,,,,
 22:16:23.453,COM12,, 0.4004, -0.8994, 0.1499, -7.0801, 15.5029, 0.3052, -82.310, -22.148, -113.110, -78.747, 122.307, -9.280, 29.99,,,,,,,,,,,,,,,,
 22:16:23.550,COM12,, 0.4238, -0.9585, 0.0596, 5.4932, 15.3198, -21.0571, -81.843, -23.258, -115.263, -80.407, 125.513, -10.180, 30.01,,,,,,,,,,,,,,,,
 22:16:23.647,COM12,, 0.4688, -0.8579, 0.1069, 42.1753, -42.7856, -4.9438, -79.860, -24.296, -114.857, -74.140, 115.667, -14.367, 29.96,,,,,,,,,,,,,,,,
 22:16:23.741,COM12,, 0.3486, -0.8652, 0.3164, -0.1831, 8.3618, -2.8076, -79.255, -25.291, -113.044, -79.700, 101.293, -15.840, 29.96,,,,,,,,,,,,,,,,
 22:16:23.853,COM12,, 0.4595, -0.8647, 0.0894, -21.4844, -17.7612, 2.7466, -79.871, -26.115, -112.456, -117.387, 80.847, -32.320, 29.99,,,,,,,,,,,,,,,,
 22:16:23.947,COM12,, 0.3770, -0.9526, 0.0996, -5.2490, 8.2397, 2.3804, -81.903, -24.752, -111.835, -155.507, 82.060, -44.113, 29.99,,,,,,,,,,,,,,,,
 22:16:24.040,COM12,, 0.4263, -0.8481, 0.1377, -31.5552, 18.4326, 6.7749, -83.249, -23.967, -112.094, -153.193, 89.633, -41.367, 29.98,,,,,,,,,,,,,,,,
 22:16:24.152,COM12,, 0.4307, -0.9419, 0.0132, -4.8828, 7.4463, -3.7231, -84.430, -23.967, -113.862, -164.207, 99.353, -45.280, 30.01,,,,,,,,,,,,,,,,
 22:16:24.247,COM12,, 0.4131, -0.8765, 0.0640, 40.5273, -17.9443, -3.2959, -83.002, -24.543, -113.302, -164.827, 97.787, -46.253, 29.96,,,,,,,,,,,,,,,,
 22:16:24.344,COM12,, 0.4375, -0.9155, 0.2036, 43.5181, -30.8228, -12.6953, -80.211, -25.889, -109.506, -156.647, 86.480, -33.527, 29.99,,,,,,,,,,,,,,,,
 22:16:24.438,COM12,, 0.4497, -0.8701, 0.2158, -2.8076, -0.4272, 3.5400, -79.047, -26.494, -107.919, -137.807, 79.727, -19.953, 29.98,,,,,,,,,,,,,,,,
 22:16:24.550,COM12,, 0.3784, -0.8745, 0.1655, -40.0391, -19.7754, 31.0669, -80.782, -25.499, -106.359, -137.120, 86.080, -12.067, 29.98,,,,,,,,,,,,,,,,
 22:16:24.646,COM12,, 0.3931, -0.9487, 0.0386, -12.7563, -5.0659, 9.0942, -84.727, -23.329, -104.639, -151.953, 91.693, -7.473, 29.99,,,,,,,,,,,,,,,,
 22:16:24.741,COM12,, 0.4072, -0.9170, 0.0713, 2.7466, 1.7090, -3.5400, -84.847, -23.307, -104.930, -153.333, 88.320, -10.307, 29.99,,,,,,,,,,,,,,,,
 22:16:24.852,COM12,, 0.4009, -0.9224, 0.0835, 3.8452, -2.9907, 0.0000, -84.534, -23.560, -104.941, -149.587, 86.467, -11.073, 29.96,,,,,,,,,,,,,,,,
 22:16:24.947,COM12,, 0.3892, -0.9180, 0.0840, -1.7090, -0.7324, 2.3804, -84.430, -23.522, -104.826, -146.193, 83.213, -14.013, 29.96,,,,,,,,,,,,,,,,
 22:16:25.042,COM12,, 0.4131, -0.9063, 0.0742, 0.0610, 0.4883, -0.4272, -84.413, -23.467, -104.969, -143.347, 79.307, -17.787, 29.98,,,,,,,,,,,,,,,,
 22:16:25.138,COM12,, 0.3984, -0.9287, 0.0830, 4.0894, 2.7466, -2.9297, -84.232, -23.566, -105.117, -143.113, 78.233, -19.120, 29.98,,,,,,,,,,,,,,,,
 22:16:25.249,COM12,, 0.4058, -0.8965, 0.0859, 1.8921, 2.3193, -0.9155, -83.804, -23.769, -105.408, -139.140, 76.120, -20.653, 29.99,,,,,,,,,,,,,,,,
 22:16:25.345,COM12,, 0.4072, -0.9102, 0.0879, 0.4883, 1.0376, -0.4272, -83.798, -23.802, -105.474, -136.100, 74.607, -21.447, 29.99,,,,,,,,,,,,,,,,
