Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:48:55.493,COM12,, 0.4282, -0.9370, -0.0889, -2.3193, 0.2441, -0.0610, -96.246, -22.242, -102.233, -69.300, 72.060, 26.093, 29.51,,,,,,,,,,,,,,,,
 21:48:55.589,COM12,, 0.3486, -0.9199, -0.0610, -5.1880, 5.7983, 0.5493, -96.476, -22.181, -102.717, -69.807, 71.593, 25.440, 29.51,,,,,,,,,,,,,,,,
 21:48:55.684,COM12,, 0.3701, -0.9116, -0.0981, -3.9063, -0.7935, 2.6855, -96.905, -21.934, -103.178, -70.887, 69.787, 23.700, 29.48,,,,,,,,,,,,,,,,
 21:48:55.796,COM12,, 0.3618, -0.9492, -0.1226, -1.5869, -2.4414, 4.1504, -97.322, -21.506, -103.129, -73.553, 69.580, 22.953, 29.51,,,,,,,,,,,,,,,,
 21:48:55.891,COM12,, 0.3389, -0.9395, -0.1323, 6.2866, 2.5635, -1.5259, -97.366, -21.138, -103.299, -72.160, 71.160, 23.100, 29.48,,,,,,,,,,,,,,,,
 21:48:55.985,COM12,, 0.3389, -0.9204, -0.1011, -2.8076, 2.8687, 0.7324, -96.982, -21.330, -103.870, -66.173, 72.020, 22.860, 29.49,,,,,,,,,,,,,,,,
 21:48:56.096,COM12,, 0.4150, -0.9209, -0.1128, 6.2866, 7.2632, -0.8545, -96.597, -21.313, -104.661, -58.953, 74.920, 23.427, 29.51,,,,,,,,,,,,,,,,
 21:48:56.192,COM12,, 0.4063, -0.8623, -0.0674, 4.4556, 5.1270, -5.9814, -95.740, -21.813, -105.348, -51.647, 77.700, 23.153, 29.49,,,,,,,,,,,,,,,,
 21:48:56.288,COM12,, 0.3784, -0.9224, -0.0459, 1.8311, 2.1973, -5.2490, -95.383, -22.511, -105.683, -52.660, 79.807, 23.493, 29.51,,,,,,,,,,,,,,,,
 21:48:56.382,COM12,, 0.3760, -0.9326, -0.0854, 0.0000, 2.6855, -1.2207, -95.323, -22.819, -106.040, -57.253, 81.580, 24.740, 29.54,,,,,,,,,,,,,,,,
 21:48:56.478,COM12,, 0.3896, -0.9038, -0.0811, -0.3052, 0.5493, -2.1973, -95.290, -22.945, -106.315, -59.627, 82.153, 24.933, 29.51,,,,,,,,,,,,,,,,
 21:48:56.589,COM12,, 0.4014, -0.9219, -0.0898, -1.0986, -1.5869, -2.7466, -95.416, -23.115, -106.353, -61.407, 83.680, 26.053, 29.51,,,,,,,,,,,,,,,,
