Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:50:01.227,COM12,, 0.4697, -0.8711, 0.2383, 0.2441, 0.0000, 0.0000, -74.454, -27.620, -129.012, -50.313, 77.753, -8.413, 29.57,,,,,,,,,,,,,,,,
 21:50:01.338,COM12,, 0.4521, -0.8472, 0.2505, -0.0610, -0.1221, 0.6714, -74.427, -27.581, -128.990, -49.433, 77.587, -8.547, 29.57,,,,,,,,,,,,,,,,
 21:50:01.451,COM12,, 0.4551, -0.8423, 0.2485, -1.5259, -0.1831, 0.1831, -74.471, -27.565, -128.947, -48.640, 76.693, -8.640, 29.55,,,,,,,,,,,,,,,,
 21:50:01.529,COM12,, 0.4751, -0.8638, 0.2285, -0.9766, -0.1221, -0.1221, -74.564, -27.576, -128.947, -49.887, 76.493, -8.753, 29.54,,,,,,,,,,,,,,,,
 21:50:01.625,COM12,, 0.4795, -0.8423, 0.2617, -0.1221, -0.1831, 0.7935, -74.575, -27.559, -128.914, -49.673, 76.813, -8.707, 29.54,,,,,,,,,,,,,,,,
 21:50:01.737,COM12,, 0.4971, -0.8491, 0.2603, -3.4180, -1.0986, -0.3662, -74.784, -27.592, -128.859, -50.460, 76.253, -9.047, 29.55,,,,,,,,,,,,,,,,
 21:50:01.833,COM12,, 0.4658, -0.8184, 0.2827, -6.1646, -7.5684, 0.7324, -75.256, -27.817, -128.485, -54.600, 72.053, -11.313, 29.60,,,,,,,,,,,,,,,,
 21:50:01.927,COM12,, 0.4209, -0.8369, 0.2129, -11.6577, -18.3105, -0.1831, -76.910, -28.147, -123.690, -65.780, 57.867, -17.767, 29.54,,,,,,,,,,,,,,,,
 21:50:02.038,COM12,, 0.4771, -0.8384, 0.1675, -8.9722, -7.2021, 0.3052, -78.168, -28.378, -119.998, -81.027, 27.060, -31.167, 29.58,,,,,,,,,,,,,,,,
 21:50:02.133,COM12,, 0.5122, -0.8955, 0.1260, -0.7935, 3.4790, 1.2207, -78.717, -28.526, -117.515, -102.287, -22.080, -49.753, 29.57,,,,,,,,,,,,,,,,
 21:50:02.227,COM12,, 0.4922, -0.8960, 0.1646, -16.9067, -0.0610, 13.3667, -79.426, -27.526, -115.038, -125.107, -73.473, -68.493, 29.58,,,,,,,,,,,,,,,,
 21:50:02.322,COM12,, 0.4556, -0.9653, 0.1001, -4.6997, 12.5122, -2.5635, -81.194, -26.395, -112.863, -132.500, -112.567, -80.220, 29.57,,,,,,,,,,,,,,,,
 21:50:02.436,COM12,, 0.4590, -0.8608, 0.1670, 2.6245, 7.5684, -4.8218, -79.783, -27.059, -112.352, -123.200, -125.767, -81.793, 29.57,,,,,,,,,,,,,,,,
 21:50:02.531,COM12,, 0.4297, -0.9214, 0.1421, 2.5024, 24.4751, -19.8975, -79.607, -27.356, -111.429, -115.073, -134.327, -83.240, 29.55,,,,,,,,,,,,,,,,
 21:50:02.628,COM12,, 0.4512, -0.9043, 0.1475, -1.0376, 8.8501, -5.7373, -78.365, -28.257, -111.407, -107.380, -132.927, -81.640, 29.54,,,,,,,,,,,,,,,,
 21:50:02.723,COM12,, 0.4819, -0.8882, 0.1509, 28.1982, -18.7988, 0.0610, -77.075, -28.378, -109.232, -125.653, -92.540, -78.587, 29.57,,,,,,,,,,,,,,,,
 21:50:02.834,COM12,, 0.4907, -0.8398, 0.2021, 41.6260, -17.3950, 3.6621, -74.729, -28.592, -105.826, -152.053, -9.980, -67.767, 29.58,,,,,,,,,,,,,,,,
 21:50:02.929,COM12,, 0.5811, -0.7915, 0.3105, 36.3159, -47.2412, -5.0049, -72.323, -29.438, -100.629, -153.060, 52.573, -46.267, 29.54,,,,,,,,,,,,,,,,
 21:50:03.025,COM12,, 0.4253, -0.7256, 0.3906, -4.3335, 2.8076, -7.1411, -71.658, -30.899, -96.597, -157.473, 52.220, -36.327, 29.57,,,,,,,,,,,,,,,,
 21:50:03.159,COM12,, 0.5273, -0.9258, 0.1709, -19.2261, 0.3662, 4.2725, -72.680, -30.817, -96.097, -155.440, -36.360, -55.460, 29.54,,,,,,,,,,,,,,,,
 21:50:03.223,COM12,, 0.5020, -0.8130, 0.2334, -2.0142, -1.0986, 4.0283, -73.900, -30.542, -94.351, -144.933, -91.520, -58.213, 29.57,,,,,,,,,,,,,,,,
 21:50:03.319,COM12,, 0.4526, -0.8296, 0.2524, -25.0244, -8.4839, 23.7427, -75.141, -29.339, -92.631, -143.067, -103.673, -59.560, 29.54,,,,,,,,,,,,,,,,
 21:50:03.429,COM12,, 0.4922, -0.8975, 0.1582, -5.2490, 0.2441, 4.5166, -77.558, -27.669, -90.231, -138.747, -118.427, -60.640, 29.58,,,,,,,,,,,,,,,,
 21:50:03.524,COM12,, 0.4941, -0.8809, 0.1953, 2.0752, -8.3618, -3.4790, -77.382, -27.697, -89.544, -136.413, -105.040, -60.107, 29.54,,,,,,,,,,,,,,,,
 21:50:03.621,COM12,, 0.4863, -0.8491, 0.2217, 4.5166, 4.0894, -4.0894, -76.921, -28.246, -88.456, -135.600, -74.167, -56.893, 29.54,,,,,,,,,,,,,,,,
 21:50:03.738,COM12,, 0.4712, -0.8618, 0.2007, 1.4038, 2.0752, -2.1362, -76.459, -28.383, -87.704, -136.027, -59.433, -55.553, 29.54,,,,,,,,,,,,,,,,
 21:50:03.833,COM12,, 0.4863, -0.8491, 0.2153, -1.2207, 2.4414, -1.0376, -76.190, -28.466, -86.995, -134.707, -49.967, -54.547, 29.55,,,,,,,,,,,,,,,,
 21:50:03.918,COM12,, 0.4893, -0.8564, 0.2119, -0.1831, 0.6714, -0.7935, -76.141, -28.531, -86.226, -133.713, -44.193, -54.293, 29.58,,,,,,,,,,,,,,,,
 21:50:04.029,COM12,, 0.4805, -0.8472, 0.2148, 2.0752, 0.1831, -2.8076, -75.987, -28.702, -85.446, -134.387, -41.953, -54.307, 29.54,,,,,,,,,,,,,,,,
