Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:30:55.274,COM12,, 0.3120, -0.9644, 0.1157, 11.7798, -3.1128, 2.1973, -82.842, -19.358, -158.494, -76.880, 131.053, 14.247, 26.50,,,,,,,,,,,,,,,,
 11:30:55.368,COM12,, 0.2939, -0.9360, 0.1440, 14.8926, 3.1128, 0.1831, -81.436, -19.155, -158.489, -71.627, 125.587, 8.527, 26.49,,,,,,,,,,,,,,,,
 11:30:55.462,COM12,, 0.3535, -0.8931, 0.1563, 22.2778, 2.2583, -4.3335, -79.069, -19.127, -158.873, -67.373, 120.693, 0.493, 26.49,,,,,,,,,,,,,,,,
 11:30:55.558,COM12,, 0.3521, -0.9165, 0.2100, 5.5542, -3.9063, -8.4229, -77.992, -19.775, -158.901, -66.973, 119.700, -3.667, 26.47,,,,,,,,,,,,,,,,
 11:30:55.672,COM12,, 0.3477, -0.9297, 0.2085, 5.1270, -5.2490, -3.9673, -77.838, -20.275, -158.736, -68.060, 121.407, -3.633, 26.49,,,,,,,,,,,,,,,,
 11:30:55.768,COM12,, 0.3242, -0.8848, 0.2261, -4.2114, 4.7607, -5.6152, -77.410, -20.753, -159.027, -69.513, 120.920, -4.380, 26.47,,,,,,,,,,,,,,,,
 11:30:55.863,COM12,, 0.3765, -1.0166, 0.1265, -1.2207, 4.2725, -10.9253, -77.811, -21.522, -159.988, -76.953, 122.287, -3.673, 26.46,,,,,,,,,,,,,,,,
 11:30:55.959,COM12,, 0.5596, -0.8623, 0.2266, 40.2832, -12.2681, 5.6152, -75.454, -21.583, -159.785, -73.393, 124.927, -4.627, 26.49,,,,,,,,,,,,,,,,
 11:30:56.069,COM12,, 0.3281, -0.7769, 0.4106, -8.9111, 5.5542, -15.0146, -74.097, -22.456, -157.978, -66.327, 124.640, -8.473, 26.47,,,,,,,,,,,,,,,,
 11:30:56.167,COM12,, 0.4165, -0.9360, 0.2134, -20.7520, 18.4326, 5.0659, -75.690, -23.258, -159.384, -75.820, 120.780, -8.273, 26.49,,,,,,,,,,,,,,,,
 11:30:56.263,COM12,, 0.3994, -0.8579, 0.2549, 6.2256, -0.4272, -4.0283, -75.630, -22.440, -160.274, -77.833, 122.280, -7.507, 26.50,,,,,,,,,,,,,,,,
 11:30:56.360,COM12,, 0.3887, -0.8857, 0.2295, -1.2817, -17.7612, -18.9209, -75.564, -24.011, -159.340, -82.153, 121.787, -8.813, 26.52,,,,,,,,,,,,,,,,
 11:30:56.458,COM12,, 0.4277, -0.8838, 0.2271, 3.2349, -0.2441, 6.8359, -75.635, -24.664, -158.637, -90.140, 120.840, -10.380, 26.50,,,,,,,,,,,,,,,,
 11:30:56.557,COM12,, 0.4380, -0.8828, 0.2334, -0.5493, 0.6104, 2.2583, -75.806, -24.280, -158.527, -91.420, 122.833, -10.260, 26.47,,,,,,,,,,,,,,,,
 11:30:56.667,COM12,, 0.3799, -0.8501, 0.2617, -24.2920, -0.7324, 19.2261, -76.794, -23.456, -158.450, -91.573, 124.313, -8.387, 26.52,,,,,,,,,,,,,,,,
 11:30:56.762,COM12,, 0.3960, -0.9292, 0.1631, -0.5493, -0.6104, 0.1221, -78.701, -22.511, -157.972, -94.700, 127.127, -4.507, 26.47,,,,,,,,,,,,,,,,
 11:30:56.858,COM12,, 0.3892, -0.8931, 0.2046, -0.6104, -1.4038, 2.1973, -78.459, -22.593, -157.917, -94.360, 128.613, -2.867, 26.52,,,,,,,,,,,,,,,,
 11:30:56.955,COM12,, 0.3823, -0.9043, 0.1855, 2.0752, 2.2583, -2.0752, -78.492, -22.588, -157.901, -93.907, 129.713, -2.333, 26.49,,,,,,,,,,,,,,,,
 11:30:57.068,COM12,, 0.3965, -0.9102, 0.1831, 2.5024, -1.8921, -1.5869, -78.387, -22.632, -157.901, -93.060, 129.893, -2.240, 26.52,,,,,,,,,,,,,,,,
