Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:46:09.442,COM12,, 0.2739, -0.9575, 0.1484, 1.5869, -0.3662, 1.4038, -81.678, -16.622, -91.835, -29.533, 127.567, -10.987, 28.48,,,,,,,,,,,,,,,,
 11:46:09.536,COM12,, 0.2676, -0.9438, 0.1489, -3.6621, -3.6011, 6.8359, -81.683, -16.117, -91.593, -27.080, 125.780, -12.160, 28.48,,,,,,,,,,,,,,,,
 11:46:09.647,COM12,, 0.2495, -0.9331, 0.1616, 0.8545, -4.0894, 7.2632, -81.749, -15.524, -91.170, -22.727, 122.880, -14.033, 28.48,,,,,,,,,,,,,,,,
 11:46:09.743,COM12,, 0.2729, -0.9409, 0.1372, 7.3853, 3.9673, -5.1270, -81.249, -15.337, -91.187, -20.047, 121.033, -16.340, 28.48,,,,,,,,,,,,,,,,
 11:46:09.836,COM12,, 0.2485, -0.9346, 0.1870, 0.7935, 5.8594, 4.0894, -80.678, -15.524, -91.769, -20.807, 121.300, -18.093, 28.48,,,,,,,,,,,,,,,,
 11:46:09.930,COM12,, 0.2666, -0.9517, 0.1343, -3.8452, -0.3052, -0.4272, -80.914, -15.353, -92.021, -21.293, 121.800, -18.827, 28.45,,,,,,,,,,,,,,,,
 11:46:10.039,COM12,, 0.2568, -0.9360, 0.1660, 0.4272, -0.1221, -0.9766, -80.942, -15.441, -91.972, -22.047, 122.753, -18.380, 28.48,,,,,,,,,,,,,,,,
 11:46:10.133,COM12,, 0.2705, -0.9229, 0.1748, 0.1831, 3.2959, 0.4883, -80.804, -15.430, -92.131, -21.907, 123.367, -18.167, 28.48,,,,,,,,,,,,,,,,
 11:46:10.242,COM12,, 0.2373, -0.9536, 0.1514, 0.0610, 4.8218, -9.7656, -80.777, -15.815, -92.620, -23.680, 124.480, -18.127, 28.48,,,,,,,,,,,,,,,,
 11:46:10.339,COM12,, 0.2979, -0.9888, 0.1211, 9.5215, -13.7329, -9.9487, -80.667, -16.315, -92.653, -25.880, 125.500, -17.980, 28.48,,,,,,,,,,,,,,,,
 11:46:10.434,COM12,, 0.3076, -0.9355, 0.1792, 11.5356, -3.9673, -4.8218, -79.156, -17.468, -91.675, -27.320, 128.027, -14.980, 28.47,,,,,,,,,,,,,,,,
 11:46:10.529,COM12,, 0.2021, -0.9380, 0.2192, -21.3013, 18.7988, 3.7231, -79.634, -16.935, -92.609, -27.453, 127.933, -14.680, 28.47,,,,,,,,,,,,,,,,
 11:46:10.641,COM12,, 0.2168, -0.9731, 0.1016, -9.5215, 3.7842, -7.0801, -80.931, -16.540, -94.812, -30.500, 121.873, -19.087, 28.48,,,,,,,,,,,,,,,,
 11:46:10.735,COM12,, 0.3896, -1.0127, 0.0693, 24.1089, -30.5786, 2.7466, -80.019, -17.518, -92.774, -34.073, 120.447, -19.900, 28.47,,,,,,,,,,,,,,,,
 11:46:10.830,COM12,, 0.2886, -0.8154, 0.3530, 4.3945, 8.1177, 5.8594, -77.547, -16.562, -90.786, -25.453, 125.793, -17.467, 28.45,,,,,,,,,,,,,,,,
 11:46:10.940,COM12,, 0.2744, -0.9473, 0.1924, -3.9063, -0.3052, -0.1831, -78.151, -16.512, -91.549, -23.267, 128.167, -16.440, 28.47,,,,,,,,,,,,,,,,
 11:46:11.034,COM12,, 0.2246, -0.9053, 0.2065, -13.6108, 3.2349, 6.4087, -78.640, -16.177, -91.538, -23.533, 128.000, -16.020, 28.51,,,,,,,,,,,,,,,,
 11:46:11.128,COM12,, 0.2642, -0.9575, 0.1216, -12.4512, -1.2817, 1.7700, -80.618, -15.287, -91.291, -23.887, 126.773, -14.980, 28.47,,,,,,,,,,,,,,,,
 11:46:11.237,COM12,, 0.2676, -0.9590, 0.1602, -2.6245, 1.1597, -1.1597, -80.914, -15.452, -91.357, -25.760, 127.033, -13.853, 28.51,,,,,,,,,,,,,,,,
 11:46:11.332,COM12,, 0.2651, -0.9561, 0.1460, -2.0752, -0.4272, 1.0376, -81.151, -15.414, -91.351, -26.627, 127.200, -13.480, 28.48,,,,,,,,,,,,,,,,
