Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:48:10.628,COM12,, 0.3115, -0.9331, 0.1602, 2.3193, 1.8311, 2.7466, -80.898, -18.495, -82.029, -34.720, 120.207, -19.093, 28.60,,,,,,,,,,,,,,,,
 11:48:10.738,COM12,, 0.3208, -0.9443, 0.1504, -2.7466, 5.0659, 16.2964, -80.920, -17.490, -82.227, -31.467, 120.040, -19.820, 28.63,,,,,,,,,,,,,,,,
 11:48:10.834,COM12,, 0.2852, -0.9512, 0.1650, 6.1646, -5.9204, 2.9907, -81.315, -17.391, -82.139, -28.873, 120.913, -18.027, 28.63,,,,,,,,,,,,,,,,
 11:48:10.929,COM12,, 0.2593, -0.9541, 0.1270, -6.4087, -8.5449, 5.2490, -82.035, -17.584, -81.711, -29.847, 123.780, -12.393, 28.60,,,,,,,,,,,,,,,,
 11:48:11.025,COM12,, 0.2856, -0.9502, 0.0928, 2.1973, -3.9673, -2.1362, -82.304, -17.402, -81.063, -31.807, 126.287, -7.860, 28.63,,,,,,,,,,,,,,,,
 11:48:11.134,COM12,, 0.3071, -0.9561, 0.1074, 1.4038, 3.9673, -4.3335, -82.079, -17.732, -81.282, -34.073, 126.960, -7.447, 28.62,,,,,,,,,,,,,,,,
 11:48:11.230,COM12,, 0.3838, -0.9092, 0.1543, -3.6011, 0.9766, -6.0425, -81.925, -18.062, -81.491, -35.480, 126.560, -7.620, 28.63,,,,,,,,,,,,,,,,
 11:48:11.326,COM12,, 0.2876, -1.0039, 0.1523, 5.3101, 6.8359, -4.3945, -81.639, -19.188, -82.392, -40.300, 126.307, -8.213, 28.63,,,,,,,,,,,,,,,,
 11:48:11.437,COM12,, 0.4063, -0.9360, 0.1313, 36.7432, -1.0986, 5.9814, -80.129, -18.946, -82.590, -38.420, 127.007, -9.820, 28.60,,,,,,,,,,,,,,,,
 11:48:11.531,COM12,, 0.3130, -0.8398, 0.3149, -1.7090, 1.1597, -14.8315, -76.701, -19.819, -81.546, -31.700, 128.453, -12.740, 28.62,,,,,,,,,,,,,,,,
 11:48:11.626,COM12,, 0.3569, -0.9316, 0.1626, -6.2866, 3.7842, 1.7090, -77.574, -20.929, -82.513, -36.367, 125.740, -13.233, 28.66,,,,,,,,,,,,,,,,
 11:48:11.738,COM12,, 0.3525, -0.9092, 0.2158, -12.0239, -1.8921, 5.5542, -78.300, -20.413, -82.518, -38.147, 124.707, -13.613, 28.62,,,,,,,,,,,,,,,,
 11:48:11.834,COM12,, 0.3301, -0.9492, 0.1641, -17.1509, -4.6387, 12.4512, -79.882, -19.682, -82.216, -39.960, 125.307, -11.840, 28.63,,,,,,,,,,,,,,,,
 11:48:11.929,COM12,, 0.3115, -0.9565, 0.1294, -6.9580, -0.7324, 5.1880, -81.469, -18.858, -81.694, -41.813, 126.760, -9.147, 28.66,,,,,,,,,,,,,,,,
 11:48:12.026,COM12,, 0.3291, -0.9346, 0.1323, 0.2441, -0.9766, 1.6479, -81.727, -18.644, -81.579, -42.220, 127.747, -8.193, 28.63,,,,,,,,,,,,,,,,
 11:48:12.137,COM12,, 0.3164, -0.9360, 0.1484, 0.5493, -0.7324, 0.7324, -81.634, -18.649, -81.513, -41.920, 128.073, -8.080, 28.66,,,,,,,,,,,,,,,,
 11:48:12.232,COM12,, 0.3115, -0.9375, 0.1406, 1.2207, -0.3662, 0.7935, -81.716, -18.561, -81.464, -41.700, 128.213, -7.920, 28.62,,,,,,,,,,,,,,,,
 11:48:12.327,COM12,, 0.3110, -0.9395, 0.1372, -0.3662, -0.3662, 0.4272, -81.766, -18.479, -81.403, -41.073, 128.120, -7.993, 28.63,,,,,,,,,,,,,,,,
 11:48:12.424,COM12,, 0.3110, -0.9341, 0.1377, -0.5493, -0.3662, -0.2441, -81.815, -18.479, -81.381, -41.053, 128.247, -7.840, 28.65,,,,,,,,,,,,,,,,
 11:48:12.533,COM12,, 0.3130, -0.9351, 0.1401, -0.8545, -0.2441, -0.0610, -81.843, -18.490, -81.359, -41.127, 128.427, -7.767, 28.63,,,,,,,,,,,,,,,,
 11:48:12.626,COM12,, 0.3140, -0.9336, 0.1401, -0.3052, 0.0000, -0.3052, -81.859, -18.484, -81.343, -41.280, 128.580, -7.553, 28.65,,,,,,,,,,,,,,,,
 11:48:12.721,COM12,, 0.3115, -0.9282, 0.1416, -0.4883, -0.2441, -0.2441, -81.881, -18.474, -81.370, -41.500, 128.747, -7.120, 28.65,,,,,,,,,,,,,,,,
