Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:22:16.671,COM12,, 0.2520, -0.8984, 0.3018, -1.2817, 2.1973, 3.9673, -71.252, -20.781, 70.373, -36.147, 118.460, -42.140, 26.96,,,,,,,,,,,,,,,,
 12:22:16.767,COM12,, 0.3154, -0.8091, 0.2637, -5.9814, 21.6675, 18.8599, -71.279, -18.968, 69.862, -31.033, 113.813, -46.280, 26.99,,,,,,,,,,,,,,,,
 12:22:16.878,COM12,, 0.3047, -0.9067, 0.2808, -12.5122, 1.4038, 3.0518, -72.339, -18.402, 69.593, -29.227, 112.040, -49.060, 26.99,,,,,,,,,,,,,,,,
 12:22:16.974,COM12,, 0.3325, -0.9004, 0.2773, -0.8545, -3.8452, 0.6714, -73.015, -18.430, 69.796, -31.747, 111.633, -48.400, 27.02,,,,,,,,,,,,,,,,
 12:22:17.070,COM12,, 0.3594, -0.9331, 0.2705, 9.4604, -12.0239, -2.0142, -72.894, -18.907, 70.862, -31.427, 113.700, -47.480, 26.99,,,,,,,,,,,,,,,,
 12:22:17.168,COM12,, 0.3706, -0.9233, 0.2974, 15.9302, -0.4883, -12.9395, -71.757, -19.688, 71.301, -28.987, 116.620, -47.133, 27.03,,,,,,,,,,,,,,,,
 12:22:17.280,COM12,, 0.3540, -0.8740, 0.3374, 15.3198, -0.8545, -8.5449, -69.807, -20.814, 70.818, -27.033, 116.460, -49.200, 27.00,,,,,,,,,,,,,,,,
 12:22:17.425,COM12,, 0.3726, -0.8887, 0.3198, -1.4038, 1.5259, 0.0000, -69.192, -21.187, 70.686, -25.820, 115.367, -50.513, 27.02,,,,,,,,,,,,,,,,
 12:22:17.473,COM12,, 0.3628, -0.8550, 0.3496, -1.4038, 2.9907, -0.5493, -69.131, -21.176, 70.532, -25.493, 114.027, -50.853, 27.00,,,,,,,,,,,,,,,,
 12:22:17.570,COM12,, 0.3535, -0.8853, 0.3203, 1.5869, 4.2725, -6.4087, -69.181, -21.374, 69.999, -26.873, 113.053, -51.000, 26.99,,,,,,,,,,,,,,,,
 12:22:17.670,COM12,, 0.3833, -0.8716, 0.3257, 8.4229, 6.2256, -9.9487, -68.275, -22.000, 69.131, -28.160, 111.540, -52.353, 27.00,,,,,,,,,,,,,,,,
 12:22:17.766,COM12,, 0.4741, -0.8823, 0.3594, 23.9868, -14.8926, 4.9438, -66.830, -21.901, 69.357, -24.233, 109.860, -54.867, 26.99,,,,,,,,,,,,,,,,
 12:22:17.880,COM12,, 0.3491, -0.7813, 0.4712, 0.8545, -8.8501, -6.2256, -65.479, -22.379, 71.488, -16.913, 108.740, -57.433, 26.99,,,,,,,,,,,,,,,,
 12:22:17.975,COM12,, 0.3784, -0.9297, 0.3047, -21.4844, 27.8320, -5.2490, -66.676, -23.280, 69.478, -22.853, 109.753, -55.367, 27.00,,,,,,,,,,,,,,,,
 12:22:18.153,COM12,, 0.3916, -0.8682, 0.3394, -12.8174, 7.1411, 7.1411, -68.253, -22.313, 68.071, -28.087, 108.487, -54.720, 26.99,,,,,,,,,,,,,,,,
 12:22:18.203,COM12,, 0.4453, -0.8374, 0.3530, 31.4941, -24.4751, -2.1973, -67.950, -22.791, 68.665, -29.553, 109.853, -54.120, 27.00,,,,,,,,,,,,,,,,
 12:22:18.267,COM12,, 0.4028, -0.7959, 0.3965, 6.1035, -2.1973, -1.3428, -66.489, -23.835, 70.060, -27.840, 111.793, -54.320, 27.02,,,,,,,,,,,,,,,,
 12:22:18.377,COM12,, 0.3599, -0.8154, 0.3789, -18.0664, 5.1880, 14.2212, -67.126, -23.329, 69.999, -27.527, 112.720, -53.727, 27.00,,,,,,,,,,,,,,,,
 12:22:18.472,COM12,, 0.3794, -0.9082, 0.2813, -17.1509, -1.8921, 9.1553, -69.988, -21.962, 70.598, -30.127, 115.493, -49.793, 27.00,,,,,,,,,,,,,,,,
 12:22:18.652,COM12,, 0.3672, -0.8496, 0.3359, 1.4038, 3.2349, -1.2207, -70.115, -21.868, 70.571, -32.020, 117.460, -47.600, 26.99,,,,,,,,,,,,,,,,
 12:22:18.668,COM12,, 0.3730, -0.8765, 0.3022, -6.1646, 0.1221, 0.9766, -70.428, -21.830, 70.444, -32.633, 117.840, -47.027, 26.99,,,,,,,,,,,,,,,,
 12:22:18.763,COM12,, 0.3804, -0.8794, 0.3052, 1.8311, -1.3428, -0.9155, -70.543, -21.901, 70.477, -33.693, 118.433, -46.560, 27.00,,,,,,,,,,,,,,,,
 12:22:18.874,COM12,, 0.3760, -0.8730, 0.3091, -1.0986, -0.2441, 0.4883, -70.532, -21.918, 70.527, -33.700, 118.813, -46.420, 27.00,,,,,,,,,,,,,,,,
