Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:25:34.155,COM12,, 0.3530, -0.8867, 0.2886, -3.3569, 0.4883, 3.3569, -71.389, -19.880, 68.033, -83.840, 147.933, -8.247, 27.40,,,,,,,,,,,,,,,,
 12:25:34.250,COM12,, 0.3047, -0.8833, 0.3008, 0.5493, 2.6245, 2.9297, -71.389, -19.528, 67.879, -85.333, 141.640, -10.960, 27.41,,,,,,,,,,,,,,,,
 12:25:34.343,COM12,, 0.3540, -0.9395, 0.2617, 8.1787, 1.9531, -7.8125, -71.186, -19.797, 67.621, -87.107, 135.027, -14.467, 27.40,,,,,,,,,,,,,,,,
 12:25:34.438,COM12,, 0.3481, -0.8945, 0.3159, 0.5493, -0.8545, -0.1831, -70.565, -20.116, 67.368, -87.087, 131.760, -16.293, 27.43,,,,,,,,,,,,,,,,
 12:25:34.548,COM12,, 0.3271, -0.8687, 0.3276, 8.6060, 0.0000, -2.5635, -69.939, -20.171, 67.379, -85.900, 129.887, -18.300, 27.41,,,,,,,,,,,,,,,,
 12:25:34.642,COM12,, 0.3506, -0.9219, 0.3086, 14.7705, 0.4272, -3.1128, -69.033, -20.325, 67.291, -83.333, 128.287, -20.113, 27.43,,,,,,,,,,,,,,,,
 12:25:34.751,COM12,, 0.4150, -0.8140, 0.3901, 10.3149, 4.5166, -7.5073, -66.725, -20.693, 66.896, -76.433, 126.107, -23.127, 27.38,,,,,,,,,,,,,,,,
 12:25:34.844,COM12,, 0.3481, -0.8931, 0.3901, 3.6621, 0.0000, -5.0659, -66.572, -21.028, 66.451, -74.627, 125.933, -24.107, 27.41,,,,,,,,,,,,,,,,
 12:25:35.083,COM12,, 0.3638, -0.9165, 0.3228, -32.5317, 8.8501, -7.3242, -68.379, -21.923, 65.457, -81.573, 122.607, -24.367, 27.35,,,,,,,,,,,,,,,,
 12:25:35.083,COM12,, 0.3833, -0.8750, 0.3252, 29.8462, -0.1831, 2.8076, -67.725, -21.495, 65.374, -82.993, 124.593, -22.207, 27.41,,,,,,,,,,,,,,,,
 12:25:35.136,COM12,, 0.3447, -0.7764, 0.4307, -1.5259, -8.4229, -2.3804, -65.978, -21.171, 66.335, -73.600, 124.960, -24.393, 27.38,,,,,,,,,,,,,,,,
 12:25:35.265,COM12,, 0.3921, -0.8906, 0.3252, -45.1660, 14.4653, -16.6626, -67.989, -22.324, 65.533, -82.160, 121.767, -27.967, 27.38,,,,,,,,,,,,,,,,
 12:25:35.343,COM12,, 0.3662, -0.8433, 0.3584, -2.0752, -2.1362, 3.9063, -68.906, -22.110, 65.462, -89.367, 121.720, -26.973, 27.35,,,,,,,,,,,,,,,,
 12:25:35.439,COM12,, 0.3472, -0.8618, 0.3237, -6.2256, -0.7324, 4.8218, -69.373, -21.868, 65.610, -90.927, 122.260, -26.133, 27.43,,,,,,,,,,,,,,,,
 12:25:35.548,COM12,, 0.3599, -0.9019, 0.2910, -19.4702, -2.6245, 12.3291, -71.323, -20.654, 66.555, -93.227, 124.713, -23.960, 27.41,,,,,,,,,,,,,,,,
 12:25:35.717,COM12,, 0.3462, -0.8872, 0.3008, 5.3711, 0.6104, -2.6855, -71.669, -20.429, 66.769, -95.340, 127.527, -22.400, 27.38,,,,,,,,,,,,,,,,
