Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:41:50.392,COM12,, 0.3408, -0.8887, 0.3398, -0.7324, 0.0610, 0.9155, -69.269, -18.726, 31.146, -35.080, 106.527, -61.707, 25.60,,,,,,,,,,,,,,,,
 12:41:50.441,COM12,, 0.3208, -0.9028, 0.3389, 1.2817, -0.9155, 1.8921, -69.285, -18.622, 31.207, -34.927, 106.180, -61.853, 25.60,,,,,,,,,,,,,,,,
 12:41:50.536,COM12,, 0.3140, -0.8872, 0.3252, 1.0376, -0.0610, -1.1597, -69.230, -18.622, 31.207, -34.633, 106.353, -61.987, 25.61,,,,,,,,,,,,,,,,
 12:41:50.631,COM12,, 0.3262, -0.8833, 0.3296, 2.4414, -0.0610, -0.4883, -69.077, -18.660, 31.223, -33.907, 106.353, -62.067, 25.60,,,,,,,,,,,,,,,,
 12:41:50.730,COM12,, 0.3403, -0.8823, 0.3423, 5.6152, -2.6245, 0.2441, -68.698, -18.907, 31.371, -32.380, 106.027, -61.860, 25.58,,,,,,,,,,,,,,,,
 12:41:50.832,COM12,, 0.3389, -0.8750, 0.3623, 13.1836, -10.6201, -3.4790, -68.060, -19.380, 31.992, -29.380, 106.627, -61.440, 25.57,,,,,,,,,,,,,,,,
 12:41:50.943,COM12,, 0.3550, -0.8867, 0.3569, 17.0288, -9.1553, -5.3711, -67.044, -20.089, 33.041, -25.360, 109.447, -60.113, 25.60,,,,,,,,,,,,,,,,
 12:41:51.067,COM12,, 0.3716, -0.8223, 0.4048, 9.8267, -1.5869, -1.8311, -65.632, -20.468, 33.349, -20.853, 110.960, -60.013, 25.63,,,,,,,,,,,,,,,,
 12:41:51.131,COM12,, 0.3613, -0.8174, 0.4189, 11.1084, 0.0610, -4.3945, -64.764, -20.764, 33.184, -19.000, 112.180, -60.553, 25.61,,,,,,,,,,,,,,,,
 12:41:51.242,COM12,, 0.3662, -0.8628, 0.4082, -7.6294, 17.5781, 3.8452, -64.506, -20.759, 32.756, -18.933, 113.787, -61.133, 25.58,,,,,,,,,,,,,,,,
 12:41:51.339,COM12,, 0.3223, -0.7998, 0.4302, -29.8462, 20.0195, -3.7842, -64.880, -19.270, 30.762, -19.813, 109.560, -64.660, 25.58,,,,,,,,,,,,,,,,
 12:41:51.532,COM12,, 0.3291, -0.9087, 0.3315, -16.5405, -0.7324, -4.2114, -67.495, -19.622, 29.800, -31.900, 105.607, -66.107, 25.57,,,,,,,,,,,,,,,,
 12:41:51.548,COM12,, 0.2759, -0.9414, 0.3345, 17.3950, -6.5918, 21.3623, -67.753, -19.144, 30.295, -35.127, 104.887, -65.687, 25.57,,,,,,,,,,,,,,,,
 12:41:51.628,COM12,, 0.3535, -0.8506, 0.3535, 25.3906, 2.0142, -3.4790, -65.561, -18.353, 31.091, -22.780, 103.453, -65.807, 25.60,,,,,,,,,,,,,,,,
 12:41:51.738,COM12,, 0.2979, -0.7769, 0.4741, -11.6577, 2.1973, -4.3335, -64.385, -18.594, 30.833, -16.720, 103.720, -67.140, 25.60,,,,,,,,,,,,,,,,
 12:41:51.955,COM12,, 0.3325, -0.9785, 0.2900, -29.9072, -2.5635, -9.1553, -67.236, -19.770, 30.042, -28.093, 105.640, -65.873, 25.58,,,,,,,,,,,,,,,,
 12:41:51.955,COM12,, 0.3311, -0.8560, 0.3721, -2.4414, 0.7324, 2.7466, -67.489, -19.671, 29.993, -34.000, 106.053, -64.973, 25.57,,,,,,,,,,,,,,,,
 12:41:52.027,COM12,, 0.3081, -0.8667, 0.3652, -11.1084, -2.1362, 13.6108, -68.242, -18.918, 30.438, -33.620, 106.153, -64.040, 25.60,,,,,,,,,,,,,,,,
 12:41:52.136,COM12,, 0.3184, -0.8979, 0.3154, -3.4790, -0.9766, 1.2207, -69.390, -18.276, 31.003, -33.213, 106.173, -62.773, 25.57,,,,,,,,,,,,,,,,
 12:41:52.231,COM12,, 0.3057, -0.8755, 0.3452, 1.2817, -0.9155, 1.2207, -69.192, -18.342, 31.031, -32.873, 106.453, -62.367, 25.60,,,,,,,,,,,,,,,,
 12:41:52.327,COM12,, 0.3130, -0.8784, 0.3345, -0.3662, -1.3428, 0.4272, -69.241, -18.265, 31.163, -31.980, 106.247, -62.153, 25.60,,,,,,,,,,,,,,,,
 12:41:52.443,COM12,, 0.3247, -0.8892, 0.3311, -1.6479, -0.5493, -0.9766, -69.395, -18.265, 31.267, -31.793, 106.027, -61.860, 25.58,,,,,,,,,,,,,,,,
 12:41:52.537,COM12,, 0.3188, -0.8848, 0.3403, -0.3662, -0.1831, 0.4272, -69.423, -18.358, 31.339, -31.973, 106.013, -61.400, 25.61,,,,,,,,,,,,,,,,
 12:41:52.632,COM12,, 0.3179, -0.8877, 0.3350, 1.9531, -0.4883, -0.9766, -69.401, -18.369, 31.355, -31.953, 105.893, -61.260, 25.58,,,,,,,,,,,,,,,,
 12:41:52.727,COM12,, 0.3145, -0.8862, 0.3350, -1.7700, -0.7935, 2.0752, -69.445, -18.320, 31.426, -31.680, 105.560, -61.427, 25.60,,,,,,,,,,,,,,,,
 12:41:52.837,COM12,, 0.3213, -0.8862, 0.3369, 0.9766, -0.2441, -0.5493, -69.434, -18.364, 31.454, -31.527, 105.373, -61.320, 25.58,,,,,,,,,,,,,,,,
 12:41:52.985,COM12,, 0.3252, -0.8921, 0.3325, 0.6104, -0.1831, -1.2817, -69.379, -18.435, 31.426, -31.753, 105.973, -61.293, 25.60,,,,,,,,,,,,,,,,
