Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:18:57.811,COM12,, 0.3535, -0.9053, 0.0908, -6.1035, 12.6343, -0.7935, -86.105, -19.891, -119.762, 8.833, 127.300, -56.473, 28.36,,,,,,,,,,,,,,,,
 16:18:57.915,COM12,, 0.2949, -0.9458, 0.0591, -3.9063, 11.8408, 0.0000, -86.221, -20.034, -120.888, 13.987, 129.240, -51.547, 28.36,,,,,,,,,,,,,,,,
 16:18:58.009,COM12,, 0.3657, -0.9194, 0.0703, -2.1362, 5.0659, -0.2441, -86.314, -19.770, -121.333, 17.380, 130.813, -48.407, 28.38,,,,,,,,,,,,,,,,
 16:18:58.109,COM12,, 0.3516, -0.9297, 0.0894, 0.0000, 6.4697, 3.8452, -85.968, -19.720, -122.053, 21.087, 132.533, -49.493, 28.38,,,,,,,,,,,,,,,,
 16:18:58.205,COM12,, 0.3193, -0.9380, 0.0825, -4.7607, 5.3101, 4.3335, -86.094, -19.330, -122.668, 23.720, 133.227, -47.033, 28.33,,,,,,,,,,,,,,,,
 16:18:58.302,COM12,, 0.3970, -0.9434, 0.0576, 6.3477, 5.0659, -3.6011, -85.743, -19.292, -123.300, 24.073, 133.727, -44.067, 28.36,,,,,,,,,,,,,,,,
 16:18:58.415,COM12,, 0.3262, -0.9263, 0.1357, 8.1787, 4.2114, -3.7231, -84.743, -19.825, -123.563, 22.980, 131.420, -46.193, 28.35,,,,,,,,,,,,,,,,
 16:18:58.513,COM12,, 0.2983, -0.9673, 0.0703, 8.7891, 0.1831, -8.4839, -84.611, -20.001, -123.712, 22.300, 130.593, -46.727, 28.36,,,,,,,,,,,,,,,,
 16:18:58.608,COM12,, 0.5020, -0.8882, 0.0942, 13.7329, -20.5688, -1.5869, -83.161, -20.330, -123.662, 22.927, 125.500, -53.773, 28.39,,,,,,,,,,,,,,,,
 16:18:58.706,COM12,, 0.1904, -0.8096, 0.2817, 27.5269, -40.9546, -13.7329, -81.299, -21.270, -121.399, 17.433, 119.447, -68.567, 28.38,,,,,,,,,,,,,,,,
 16:18:58.809,COM12,, 0.3486, -1.0415, 0.0723, -41.7480, 5.6152, 15.1367, -82.683, -22.148, -121.998, 13.647, 122.947, -63.013, 28.39,,,,,,,,,,,,,,,,
 16:18:58.909,COM12,, 0.4014, -0.8770, 0.1094, 13.2446, -7.3853, 5.6763, -82.689, -20.050, -123.333, 24.980, 125.173, -56.713, 28.36,,,,,,,,,,,,,,,,
 16:18:59.008,COM12,, 0.3730, -0.8921, 0.1470, 18.0054, -38.3911, -35.9497, -82.480, -21.747, -121.278, 23.140, 123.420, -59.607, 28.36,,,,,,,,,,,,,,,,
 16:18:59.106,COM12,, 0.5664, -0.9746, 0.0967, 20.8740, -44.1895, -14.5264, -81.634, -24.620, -118.751, 8.940, 124.840, -63.120, 28.36,,,,,,,,,,,,,,,,
 16:18:59.202,COM12,, 0.4219, -0.8218, 0.2944, 20.7520, -15.1978, 17.3950, -80.376, -24.593, -114.516, -13.180, 120.940, -77.027, 28.38,,,,,,,,,,,,,,,,
 16:18:59.350,COM12,, 0.4282, -0.8643, 0.1792, -11.5356, 2.4414, 3.6011, -80.266, -23.011, -115.175, -20.140, 123.540, -81.647, 28.38,,,,,,,,,,,,,,,,
 16:18:59.413,COM12,, 0.3716, -0.8721, 0.1865, -5.8594, -2.1973, 7.2632, -80.826, -22.868, -114.977, -19.907, 125.333, -82.087, 28.35,,,,,,,,,,,,,,,,
 16:18:59.508,COM12,, 0.3765, -0.8984, 0.1299, -23.3154, -1.5869, 15.0757, -82.656, -21.846, -114.708, -16.200, 126.660, -78.200, 28.38,,,,,,,,,,,,,,,,
 16:18:59.607,COM12,, 0.3745, -0.9248, 0.1143, -2.1973, 4.2114, -2.3804, -83.754, -21.237, -114.725, -10.927, 128.253, -74.533, 28.36,,,,,,,,,,,,,,,,
 16:18:59.705,COM12,, 0.3667, -0.9141, 0.1187, -3.4180, -2.3193, 3.6011, -83.732, -21.319, -114.944, -9.833, 128.960, -74.047, 28.36,,,,,,,,,,,,,,,,
 16:18:59.802,COM12,, 0.3760, -0.9204, 0.1064, 0.3662, -2.6855, -0.4272, -84.029, -21.105, -114.714, -8.640, 129.433, -73.400, 28.36,,,,,,,,,,,,,,,,
 16:18:59.897,COM12,, 0.3726, -0.9194, 0.1128, -2.7466, -1.5869, 2.6855, -84.056, -21.127, -114.500, -8.720, 129.627, -73.540, 28.39,,,,,,,,,,,,,,,,
