Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:28:33.263,COM12,, 0.2930, -0.9536, -0.0962, -1.4038, -1.2817, 1.7090, -95.872, -15.595, 148.579, -145.907, -215.567, 102.720, 28.54,,,,,,,,,,,,,,,,
 16:28:33.380,COM12,, 0.2842, -0.9517, -0.0864, -0.1831, 4.0283, 0.1831, -95.801, -15.656, 148.398, -145.760, -215.567, 101.440, 28.56,,,,,,,,,,,,,,,,
 16:28:33.461,COM12,, 0.1826, -0.9653, -0.1050, -12.5122, 1.2207, 9.5215, -96.454, -15.057, 148.184, -144.200, -215.567, 95.940, 28.57,,,,,,,,,,,,,,,,
 16:28:33.555,COM12,, 0.2402, -1.0039, -0.1694, -13.2446, -5.5542, 15.1367, -97.905, -13.969, 148.173, -124.260, -215.567, 75.413, 28.54,,,,,,,,,,,,,,,,
 16:28:33.664,COM12,, 0.2793, -0.9165, -0.1011, 1.7090, 6.9580, -8.8501, -98.119, -13.953, 148.008, -100.613, -215.567, 59.900, 28.57,,,,,,,,,,,,,,,,
 16:28:33.763,COM12,, 0.3008, -0.9639, -0.1284, 15.9302, 9.6436, 3.8452, -96.636, -14.645, 146.459, -100.000, -215.567, 52.700, 28.56,,,,,,,,,,,,,,,,
 16:28:33.864,COM12,, 0.2813, -0.9746, -0.0815, 8.7891, 5.4321, -3.3569, -95.317, -14.985, 145.712, -82.827, -215.567, 44.473, 28.54,,,,,,,,,,,,,,,,
 16:28:33.964,COM12,, 0.2632, -0.9409, -0.0410, 5.0659, 2.7466, 4.8828, -94.362, -14.821, 145.267, -67.260, -215.567, 40.787, 28.54,,,,,,,,,,,,,,,,
 16:28:34.062,COM12,, 0.2490, -0.9609, -0.0674, 3.4180, 3.1738, -2.7466, -94.131, -14.859, 145.003, -57.413, -215.567, 39.707, 28.51,,,,,,,,,,,,,,,,
 16:28:34.166,COM12,, 0.3447, -0.9995, -0.0986, 16.2354, -18.9819, -18.8599, -93.845, -15.480, 145.261, -52.173, -215.567, 40.780, 28.53,,,,,,,,,,,,,,,,
 16:28:34.254,COM12,, 0.3496, -0.9419, 0.0068, 8.6060, -14.8315, -14.2822, -92.093, -17.622, 148.524, -40.007, -215.567, 41.693, 28.54,,,,,,,,,,,,,,,,
 16:28:34.364,COM12,, 0.2930, -0.9404, 0.0049, -13.1226, 20.6909, 9.7046, -92.214, -17.748, 148.173, -43.967, -215.567, 43.207, 28.54,,,,,,,,,,,,,,,,
 16:28:34.459,COM12,, 0.3193, -0.9487, -0.0503, -13.3057, 0.2441, 2.5024, -93.159, -17.067, 145.690, -62.627, -215.567, 35.153, 28.57,,,,,,,,,,,,,,,,
 16:28:34.553,COM12,, 0.3140, -0.9297, -0.0337, 3.6011, -5.8594, -4.7607, -93.779, -17.210, 146.014, -90.993, -133.547, 19.153, 28.57,,,,,,,,,,,,,,,,
 16:28:34.662,COM12,, 0.3301, -0.9619, -0.1001, 9.1553, -14.5874, -9.6436, -93.950, -17.963, 147.376, -123.947, 166.927, 2.860, 28.53,,,,,,,,,,,,,,,,
 16:28:34.772,COM12,, 0.3257, -0.9248, -0.0366, 5.2490, -1.7700, -4.2725, -93.252, -18.633, 148.178, -139.287, 165.520, 4.007, 28.59,,,,,,,,,,,,,,,,
 16:28:34.856,COM12,, 0.4053, -0.9463, -0.0522, -2.8076, 1.2207, 4.3335, -93.318, -18.600, 148.376, -146.953, -169.320, 6.953, 28.60,,,,,,,,,,,,,,,,
 16:28:34.949,COM12,, 0.2515, -0.9243, 0.0117, -12.3291, -15.8081, 22.0947, -93.527, -17.776, 148.683, -143.267, -209.947, 9.920, 28.54,,,,,,,,,,,,,,,,
 16:28:35.069,COM12,, 0.3184, -0.9839, -0.1401, -19.2871, -5.7373, 9.8877, -96.372, -15.903, 149.348, -153.540, -216.287, 8.647, 28.53,,,,,,,,,,,,,,,,
 16:28:35.148,COM12,, 0.2935, -0.9517, -0.0811, 4.1504, 5.2490, -2.2583, -96.493, -15.842, 149.288, -168.773, -215.693, 7.313, 28.57,,,,,,,,,,,,,,,,
 16:28:35.260,COM12,, 0.2896, -0.9565, -0.1074, -3.2349, -5.6152, 2.9907, -96.619, -15.782, 149.442, -169.347, -215.587, 8.733, 28.54,,,,,,,,,,,,,,,,
 16:28:35.352,COM12,, 0.2939, -0.9521, -0.0967, -0.1831, -0.6714, 1.0376, -96.625, -15.760, 149.458, -170.360, -215.573, 9.553, 28.54,,,,,,,,,,,,,,,,
 16:28:35.447,COM12,, 0.2891, -0.9614, -0.0986, -0.4272, 0.1831, 1.2817, -96.696, -15.606, 149.540, -172.980, -215.573, 11.520, 28.51,,,,,,,,,,,,,,,,
 16:28:35.558,COM12,, 0.2852, -0.9448, -0.0913, 0.7935, 0.5493, 0.1221, -96.630, -15.617, 149.568, -174.513, -215.567, 12.673, 28.56,,,,,,,,,,,,,,,,
 16:28:35.652,COM12,, 0.2852, -0.9360, -0.0981, -0.5493, -2.5024, 0.7935, -96.564, -15.667, 149.568, -174.540, -215.567, 12.960, 28.54,,,,,,,,,,,,,,,,
 16:28:35.772,COM12,, 0.2827, -0.9312, -0.0933, 1.5259, -0.3662, -0.7324, -96.553, -15.688, 149.617, -175.133, -215.567, 12.767, 28.56,,,,,,,,,,,,,,,,
