Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:43:49.675,COM12,, 0.2534, -0.9385, -0.2041, -0.6104, -3.4180, 1.8921, -102.673, -13.431, -136.818, -216.287, -215.567, 86.447, 29.54,,,,,,,,,,,,,,,,
 16:43:49.770,COM12,, 0.2510, -0.9429, -0.2070, -0.1221, 2.1973, -0.1221, -102.678, -13.387, -136.697, -216.287, -215.567, 88.267, 29.54,,,,,,,,,,,,,,,,
 16:43:49.865,COM12,, 0.2881, -0.9512, -0.2031, 0.4883, 0.7324, -1.5869, -102.579, -13.601, -136.917, -216.287, -215.567, 84.340, 29.51,,,,,,,,,,,,,,,,
 16:43:49.974,COM12,, 0.2744, -0.9692, -0.1577, 13.3057, -14.8315, -12.3901, -102.096, -14.299, -135.989, -210.213, -215.567, 81.360, 29.49,,,,,,,,,,,,,,,,
 16:43:50.069,COM12,, 0.2769, -0.9365, -0.1611, 8.9111, 2.4414, -5.2490, -100.948, -15.172, -135.412, -193.793, -215.573, 75.793, 29.54,,,,,,,,,,,,,,,,
 16:43:50.165,COM12,, 0.2944, -0.9287, -0.1709, 2.2583, -0.1221, -1.3428, -100.448, -15.359, -135.483, -180.647, 95.233, 67.773, 29.54,,,,,,,,,,,,,,,,
 16:43:50.275,COM12,, 0.2993, -0.9409, -0.1479, 4.5776, 4.3945, -0.2441, -99.866, -15.650, -135.840, -175.473, -178.160, 68.273, 29.51,,,,,,,,,,,,,,,,
 16:43:50.372,COM12,, 0.3838, -0.9390, -0.1426, 5.9204, 10.9863, -4.3945, -99.338, -15.886, -136.824, -172.420, -211.033, 71.907, 29.54,,,,,,,,,,,,,,,,
 16:43:50.471,COM12,, 0.3677, -0.8184, -0.0073, 66.5894, -47.0581, -48.1567, -95.663, -18.737, -135.840, -163.367, -215.020, 70.387, 29.51,,,,,,,,,,,,,,,,
 16:43:50.573,COM12,, 0.2979, -0.9097, -0.0493, -22.0947, -12.3291, 27.7100, -95.213, -19.550, -133.638, -145.040, -215.500, 74.780, 29.51,,,,,,,,,,,,,,,,
 16:43:50.662,COM12,, 0.2798, -0.9443, -0.1387, -64.2090, 28.8086, 49.3164, -100.014, -15.260, -134.830, -157.487, -215.560, 79.487, 29.52,,,,,,,,,,,,,,,,
 16:43:50.915,COM12,, 0.4297, -0.9707, -0.1797, 13.6719, 14.7095, -6.5308, -100.833, -14.502, -137.384, -184.440, -215.567, 74.687, 29.52,,,,,,,,,,,,,,,,
 16:43:50.915,COM12,, 0.2954, -1.0239, -0.1035, 4.0894, 2.5635, -4.0894, -98.893, -16.133, -137.922, -191.667, -215.567, 78.193, 29.45,,,,,,,,,,,,,,,,
 16:43:50.963,COM12,, 0.2676, -0.9116, -0.0747, -28.9917, -18.2495, 22.8271, -99.492, -15.551, -137.587, -187.120, -215.567, 76.113, 29.54,,,,,,,,,,,,,,,,
 16:43:51.059,COM12,, 0.2954, -1.0107, -0.2563, 17.1509, -3.6011, -15.9302, -101.646, -14.101, -135.818, -199.193, -215.567, 75.513, 29.52,,,,,,,,,,,,,,,,
 16:43:51.170,COM12,, 0.2847, -0.9355, -0.1201, 7.0190, -7.9956, -5.0049, -99.937, -15.441, -134.654, -188.673, -215.567, 79.393, 29.52,,,,,,,,,,,,,,,,
 16:43:51.266,COM12,, 0.3096, -0.9395, -0.1543, 6.8970, 1.7700, -3.3569, -99.586, -15.677, -133.967, -183.393, -215.567, 84.547, 29.51,,,,,,,,,,,,,,,,
 16:43:51.362,COM12,, 0.2920, -0.9453, -0.1338, -2.7466, -2.4414, 3.9063, -99.267, -15.771, -133.901, -181.100, -215.567, 89.167, 29.51,,,,,,,,,,,,,,,,
 16:43:51.472,COM12,, 0.2891, -0.9409, -0.1421, -0.1831, -0.4272, 0.5493, -99.525, -15.617, -133.797, -182.407, -215.567, 90.087, 29.54,,,,,,,,,,,,,,,,
 16:43:51.568,COM12,, 0.2910, -0.9399, -0.1470, -0.6104, -2.1362, 2.0752, -99.547, -15.557, -133.737, -183.333, -215.567, 89.253, 29.52,,,,,,,,,,,,,,,,
 16:43:51.664,COM12,, 0.2798, -0.9370, -0.1382, 0.6714, -0.9766, 0.4272, -99.509, -15.502, -133.555, -182.907, -215.567, 90.113, 29.54,,,,,,,,,,,,,,,,
