Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:52:27.738,COM12,, 0.3486, -0.8633, 0.4111, 4.1504, 14.5264, 11.9629, -64.199, -21.511, -67.879, -79.673, 110.147, -18.420, 28.95,,,,,,,,,,,,,,,,
 16:52:27.834,COM12,, 0.3364, -0.8447, 0.4150, 17.7612, 0.4272, -9.2163, -63.007, -21.330, -68.154, -72.980, 101.253, -20.633, 28.92,,,,,,,,,,,,,,,,
 16:52:27.931,COM12,, 0.4180, -0.7881, 0.4443, 20.5688, 3.6011, -14.3433, -60.645, -22.110, -69.033, -66.233, 92.960, -23.407, 28.95,,,,,,,,,,,,,,,,
 16:52:28.028,COM12,, 0.3916, -0.7754, 0.4893, 11.3525, -2.3193, -8.7891, -58.953, -23.104, -69.521, -63.153, 88.967, -25.340, 28.92,,,,,,,,,,,,,,,,
 16:52:28.123,COM12,, 0.3901, -0.7671, 0.4985, 6.1035, 1.2817, -6.5918, -57.843, -23.659, -70.109, -62.067, 86.420, -26.507, 28.97,,,,,,,,,,,,,,,,
 16:52:28.234,COM12,, 0.4229, -0.7646, 0.4878, 4.4556, 1.6479, -3.7842, -57.321, -23.961, -70.631, -62.187, 85.413, -27.207, 28.94,,,,,,,,,,,,,,,,
 16:52:28.331,COM12,, 0.5039, -0.7153, 0.5215, -3.5400, 2.6245, 3.2349, -57.057, -23.780, -70.708, -61.280, 86.273, -27.353, 28.94,,,,,,,,,,,,,,,,
 16:52:28.429,COM12,, 0.4326, -0.8306, 0.5288, 9.7046, -2.3804, -8.8501, -56.547, -24.395, -71.526, -61.847, 87.287, -27.660, 28.94,,,,,,,,,,,,,,,,
 16:52:28.525,COM12,, 0.4780, -0.7549, 0.5347, 32.5317, -36.9873, 15.8691, -55.278, -25.697, -68.741, -63.027, 85.007, -29.147, 28.91,,,,,,,,,,,,,,,,
 16:52:28.666,COM12,, 0.5005, -0.5537, 0.6040, 7.5073, 21.5454, 3.4180, -53.344, -25.527, -66.984, -61.087, 84.473, -30.227, 28.94,,,,,,,,,,,,,,,,
 16:52:28.730,COM12,, 0.2988, -0.6953, 0.5718, -65.0635, 23.3154, 37.5977, -55.783, -23.209, -68.494, -58.500, 89.867, -29.307, 28.94,,,,,,,,,,,,,,,,
 16:52:28.827,COM12,, 0.3193, -0.9536, 0.4023, -18.9819, 14.9536, -7.2021, -60.222, -20.951, -70.247, -61.253, 95.753, -25.793, 28.94,,,,,,,,,,,,,,,,
 16:52:28.995,COM12,, 0.4253, -0.8599, 0.3999, -17.2729, 8.5449, -68.2373, -59.760, -22.659, -73.032, -65.440, 100.867, -26.813, 28.92,,,,,,,,,,,,,,,,
 16:52:29.026,COM12,, 0.2900, -0.7671, 0.5190, -25.8789, -0.4883, 23.5596, -59.557, -23.577, -73.515, -70.060, 102.440, -27.493, 28.91,,,,,,,,,,,,,,,,
 16:52:29.121,COM12,, 0.3872, -0.8618, 0.3828, -16.1743, -3.2349, 8.0566, -62.545, -21.495, -72.246, -72.120, 100.253, -26.207, 28.94,,,,,,,,,,,,,,,,
 16:52:29.317,COM12,, 0.3560, -0.8320, 0.4346, 7.3242, -0.7935, -0.7935, -62.655, -21.550, -71.971, -73.633, 99.853, -25.767, 28.92,,,,,,,,,,,,,,,,
 16:52:29.339,COM12,, 0.3784, -0.8472, 0.4238, -5.6763, -3.3569, 0.9766, -62.820, -21.511, -71.664, -73.140, 99.360, -25.300, 28.94,,,,,,,,,,,,,,,,
 16:52:29.430,COM12,, 0.3682, -0.8335, 0.4297, 5.1270, -0.3662, -2.3804, -62.776, -21.753, -71.603, -75.300, 102.013, -25.207, 28.92,,,,,,,,,,,,,,,,
 16:52:29.531,COM12,, 0.3677, -0.8257, 0.4297, 0.3662, 0.1831, 0.0610, -62.534, -21.753, -71.587, -74.700, 102.933, -25.387, 28.91,,,,,,,,,,,,,,,,
