Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:32:35.560,COM12,, 0.2974, -0.9258, -0.2393, -1.5869, -3.2959, -2.4414, -105.040, -17.051, -171.008, -52.293, 57.740, -72.900, 26.87,,,,,,,,,,,,,,,,
 14:32:35.654,COM12,, 0.2935, -0.9297, -0.2559, -0.3052, 0.2441, 0.8545, -105.238, -17.062, -169.596, -54.547, 58.280, -74.353, 26.87,,,,,,,,,,,,,,,,
 14:32:35.750,COM12,, 0.3135, -0.9087, -0.2510, 5.3711, -5.5542, -4.6387, -105.189, -16.946, -168.014, -58.600, 59.040, -69.827, 26.85,,,,,,,,,,,,,,,,
 14:32:35.861,COM12,, 0.3066, -0.9199, -0.2280, 8.8501, -2.5635, -8.7280, -104.502, -17.688, -166.542, -66.653, 56.827, -71.367, 26.84,,,,,,,,,,,,,,,,
 14:32:35.960,COM12,, 0.2998, -0.8945, -0.2305, 2.6855, 1.8921, 0.3662, -103.826, -18.045, -165.657, -74.560, 53.907, -72.307, 26.88,,,,,,,,,,,,,,,,
 14:32:36.057,COM12,, 0.3145, -0.9243, -0.2290, -1.1597, 0.6714, 0.2441, -103.909, -18.029, -164.817, -74.253, 52.013, -75.700, 26.87,,,,,,,,,,,,,,,,
 14:32:36.152,COM12,, 0.3164, -0.9170, -0.2305, 1.2207, 1.3428, -0.6104, -103.887, -18.105, -163.976, -72.207, 50.353, -79.587, 26.87,,,,,,,,,,,,,,,,
 14:32:36.262,COM12,, 0.3081, -0.9209, -0.2275, 1.3428, 1.0376, -0.7935, -103.749, -18.199, -163.207, -71.167, 49.333, -81.280, 26.81,,,,,,,,,,,,,,,,
 14:32:36.357,COM12,, 0.3208, -0.9224, -0.2217, 0.7324, 0.8545, -0.0610, -103.640, -18.270, -162.521, -70.833, 49.220, -80.960, 26.85,,,,,,,,,,,,,,,,
 14:32:36.452,COM12,, 0.3003, -0.9292, -0.2153, 5.3101, 4.2725, -2.3193, -103.376, -18.408, -161.982, -71.160, 49.240, -79.293, 26.87,,,,,,,,,,,,,,,,
 14:32:36.547,COM12,, 0.4175, -0.9268, -0.2344, 13.3667, 16.2964, -19.8364, -102.596, -19.512, -162.065, -69.773, 48.253, -77.713, 26.85,,,,,,,,,,,,,,,,
 14:32:36.657,COM12,, 0.3716, -0.9097, -0.1475, 15.8081, 1.2207, -24.9634, -101.234, -21.780, -161.494, -89.007, 45.960, -80.373, 26.87,,,,,,,,,,,,,,,,
 14:32:36.752,COM12,, 0.4751, -0.8945, -0.1479, 0.4883, 14.0381, -2.6855, -100.162, -23.011, -161.587, -116.873, 43.227, -85.040, 26.87,,,,,,,,,,,,,,,,
 14:32:36.846,COM12,, 0.3813, -0.9014, -0.1294, -14.4043, 57.0679, -0.9155, -98.992, -24.236, -165.179, -122.847, 32.407, -105.640, 26.87,,,,,,,,,,,,,,,,
 14:32:36.957,COM12,, 0.4106, -0.9858, -0.2432, -1.8921, 4.3335, -19.3481, -98.322, -25.395, -168.179, -98.233, 22.413, -112.867, 26.88,,,,,,,,,,,,,,,,
 14:32:37.054,COM12,, 0.5347, -0.8311, -0.0898, 38.3911, -83.2520, -33.9966, -97.229, -28.043, -159.972, -171.540, 36.840, -96.713, 26.85,,,,,,,,,,,,,,,,
 14:32:37.149,COM12,, 0.3403, -0.7803, 0.0083, -18.1274, 7.6904, 30.5786, -97.553, -27.603, -155.956, -210.847, 53.980, -66.900, 26.87,,,,,,,,,,,,,,,,
 14:32:37.257,COM12,, 0.3330, -0.8979, -0.1616, -36.6821, 53.4058, 37.4756, -99.882, -23.758, -161.581, -137.140, 45.487, -82.280, 26.87,,,,,,,,,,,,,,,,
