Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:48:12.451,COM12,, 0.4043, -0.9106, -0.1216, -0.4272, 1.0376, 1.8311, -97.586, -25.719, -67.571, -101.113, 50.653, 32.687, 26.82,,,,,,,,,,,,,,,,
 14:48:12.545,COM12,, 0.4341, -0.8975, -0.1245, -9.0942, 2.0752, 15.3198, -97.855, -24.829, -67.901, -104.507, 49.813, 30.807, 26.84,,,,,,,,,,,,,,,,
 14:48:12.638,COM12,, 0.3604, -0.9409, -0.1079, -14.5264, 7.7515, 20.5688, -98.339, -23.478, -68.752, -112.807, 46.180, 26.640, 26.84,,,,,,,,,,,,,,,,
 14:48:12.748,COM12,, 0.2817, -0.8667, -0.1450, -13.6108, -0.5493, 5.5542, -99.130, -22.269, -69.335, -120.813, 41.427, 22.460, 26.85,,,,,,,,,,,,,,,,
 14:48:12.842,COM12,, 0.4165, -0.8604, -0.2109, -4.2725, -4.8828, -6.0425, -100.382, -22.324, -68.857, -127.467, 44.640, 32.180, 26.85,,,,,,,,,,,,,,,,
 14:48:12.938,COM12,, 0.3979, -0.9370, -0.1587, 8.0566, 2.1973, -14.5874, -100.382, -23.610, -68.011, -130.307, 51.427, 44.127, 26.84,,,,,,,,,,,,,,,,
 14:48:13.048,COM12,, 0.4072, -0.8862, -0.1543, -4.5776, 4.6387, 0.3662, -100.009, -23.752, -68.351, -128.667, 54.287, 47.060, 26.87,,,,,,,,,,,,,,,,
 14:48:13.143,COM12,, 0.4043, -0.8804, -0.1577, 3.9063, 7.1411, -12.0239, -99.772, -24.450, -68.851, -130.453, 53.720, 46.140, 26.85,,,,,,,,,,,,,,,,
 14:48:13.236,COM12,, 0.4434, -0.8179, -0.1357, 8.3618, 8.4839, -5.7983, -99.080, -25.933, -69.269, -130.287, 53.000, 45.553, 26.84,,,,,,,,,,,,,,,,
 14:48:13.348,COM12,, 0.4795, -0.8726, -0.1230, 14.3433, -28.5645, -11.1694, -98.871, -26.279, -67.742, -124.793, 56.113, 52.200, 26.82,,,,,,,,,,,,,,,,
 14:48:13.443,COM12,, 0.4790, -0.8843, -0.1157, 5.6152, 1.2817, -0.4883, -98.564, -26.884, -66.396, -117.353, 61.413, 62.847, 26.82,,,,,,,,,,,,,,,,
 14:48:13.537,COM12,, 0.3740, -0.8721, -0.1050, -13.0615, -5.7373, 29.8462, -98.586, -25.532, -67.159, -116.740, 62.200, 62.647, 26.84,,,,,,,,,,,,,,,,
 14:48:13.645,COM12,, 0.3984, -0.9155, -0.1963, -19.4092, -4.2114, 14.7705, -100.964, -23.066, -67.143, -127.173, 59.987, 60.140, 26.85,,,,,,,,,,,,,,,,
 14:48:13.740,COM12,, 0.4048, -0.9072, -0.1802, 5.4932, 4.8218, -9.8267, -101.179, -23.231, -67.357, -134.907, 58.100, 58.673, 26.82,,,,,,,,,,,,,,,,
 14:48:13.835,COM12,, 0.4077, -0.8921, -0.1685, -0.5493, -0.3662, 1.4648, -100.838, -23.665, -67.456, -133.900, 58.240, 58.453, 26.82,,,,,,,,,,,,,,,,
