Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:56:42.326,COM12,, 0.4487, -0.8901, 0.0942, -0.6104, 3.7842, 1.4648, -85.490, -26.680, 52.597, -8.320, 188.567, -4.000, 27.40,,,,,,,,,,,,,,,,
 14:56:42.422,COM12,, 0.4375, -0.8896, 0.0801, 1.7090, 6.5918, -4.6387, -85.210, -26.461, 51.949, -11.740, 186.173, -3.513, 27.35,,,,,,,,,,,,,,,,
 14:56:42.533,COM12,, 0.4629, -0.9224, 0.0947, 8.9722, 5.7373, -1.2207, -84.249, -26.834, 51.026, -16.227, 178.367, -5.033, 27.38,,,,,,,,,,,,,,,,
 14:56:42.626,COM12,, 0.4795, -0.8521, 0.1211, 25.5737, -6.4697, -8.3618, -82.672, -27.197, 51.031, -13.133, 160.907, -11.180, 27.37,,,,,,,,,,,,,,,,
 14:56:42.722,COM12,, 0.6284, -0.8032, 0.1572, 34.0576, -30.5786, -10.5591, -80.777, -28.130, 53.146, -9.853, 141.647, -19.793, 27.38,,,,,,,,,,,,,,,,
 14:56:42.833,COM12,, 0.7305, -0.8198, 0.2310, 37.4146, -36.6211, -23.6816, -79.228, -30.388, 56.997, -15.967, 131.767, -25.333, 27.37,,,,,,,,,,,,,,,,
 14:56:42.928,COM12,, 0.2441, -0.7300, 0.3457, -22.5220, 46.8750, -16.1743, -77.360, -32.695, 56.849, -25.220, 127.527, -28.680, 27.35,,,,,,,,,,,,,,,,
 14:56:43.023,COM12,, 0.7021, -0.9707, -0.0757, 22.9492, -36.9263, 13.2446, -76.295, -32.937, 49.059, -22.793, 126.947, -30.233, 27.38,,,,,,,,,,,,,,,,
 14:56:43.118,COM12,, 0.5186, -0.8091, 0.2905, 21.6675, -59.0820, -6.5308, -77.531, -34.080, 57.442, -25.153, 129.007, -29.167, 27.35,,,,,,,,,,,,,,,,
 14:56:43.229,COM12,, 0.4268, -0.7402, 0.1694, -60.6079, 87.4023, -13.7939, -76.943, -33.662, 50.438, -25.880, 132.433, -27.360, 27.38,,,,,,,,,,,,,,,,
 14:56:43.324,COM12,, 0.6792, -0.8789, 0.1157, 40.5273, -75.3784, 0.1221, -77.371, -33.959, 51.086, -33.413, 141.827, -23.547, 27.32,,,,,,,,,,,,,,,,
 14:56:43.419,COM12,, 0.5303, -0.6968, 0.2686, -9.8267, 2.5024, 13.7329, -77.997, -35.085, 55.530, -32.000, 142.093, -23.887, 27.37,,,,,,,,,,,,,,,,
 14:56:43.528,COM12,, 0.4541, -0.8350, 0.1646, -34.5459, -0.7935, 57.6782, -80.898, -30.575, 56.074, -24.620, 153.360, -19.167, 27.38,,,,,,,,,,,,,,,,
 14:56:43.625,COM12,, 0.4775, -0.8906, 0.1147, -7.8125, 2.9297, 7.5684, -82.722, -27.790, 56.305, -18.120, 166.673, -12.107, 27.41,,,,,,,,,,,,,,,,
