Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:04:21.750,COM12,, 0.2427, -0.9287, -0.3384, 1.0376, 1.5869, 0.0610, -110.380, -11.365, 173.540, -35.327, 125.080, 170.900, 28.01,,,,,,,,,,,,,,,,
 15:04:21.848,COM12,, 0.1992, -0.9243, -0.3135, 10.1318, 1.6479, -0.0610, -109.523, -11.739, 173.414, -36.800, 126.320, 165.380, 28.00,,,,,,,,,,,,,,,,
 15:04:21.945,COM12,, 0.1504, -0.9482, -0.3389, 6.5308, 9.7656, 4.0894, -108.446, -12.057, 172.255, -49.467, 131.327, 154.780, 27.98,,,,,,,,,,,,,,,,
 15:04:22.039,COM12,, 0.2690, -0.8921, -0.3286, 37.2314, -0.4883, -29.9072, -106.622, -13.486, 172.947, -57.873, 132.247, 136.167, 28.01,,,,,,,,,,,,,,,,
 15:04:22.149,COM12,, 0.3477, -0.9248, -0.2490, 18.9819, 1.0986, -27.0386, -104.117, -15.941, 174.073, -48.567, 133.153, 122.260, 28.03,,,,,,,,,,,,,,,,
 15:04:22.243,COM12,, 0.3018, -0.8984, -0.1479, 21.4233, 16.4185, -11.3525, -101.772, -18.062, 174.331, -40.793, 133.107, 109.720, 28.03,,,,,,,,,,,,,,,,
 15:04:22.353,COM12,, 0.4136, -0.8877, -0.1543, 15.9302, 30.1514, -8.6060, -99.190, -19.276, 171.865, -39.907, 133.433, 93.153, 28.01,,,,,,,,,,,,,,,,
 15:04:22.447,COM12,, 0.4888, -0.9185, -0.0801, 38.9404, -9.7656, -20.0806, -96.416, -20.967, 171.661, -37.987, 131.593, 75.407, 28.01,,,,,,,,,,,,,,,,
 15:04:22.543,COM12,, 0.4507, -0.9502, -0.0059, 17.2119, 3.2959, -20.3247, -93.724, -23.802, 172.925, -37.013, 126.800, 59.267, 27.98,,,,,,,,,,,,,,,,
 15:04:22.652,COM12,, 0.3848, -0.8535, 0.0234, -39.3677, 68.6646, 23.9258, -93.636, -23.357, 168.821, -40.640, 127.720, 55.273, 28.04,,,,,,,,,,,,,,,,
 15:04:22.746,COM12,, 0.4131, -0.8672, -0.0967, 2.1362, 10.1929, -10.8643, -93.466, -23.099, 165.053, -55.960, 134.980, 55.493, 28.04,,,,,,,,,,,,,,,,
 15:04:22.841,COM12,, 0.5269, -0.8921, -0.0405, 18.1274, -42.0532, -20.4468, -93.439, -24.752, 168.201, -70.593, 138.940, 58.340, 28.00,,,,,,,,,,,,,,,,
 15:04:22.937,COM12,, 0.4644, -0.8608, 0.0229, 0.9766, -9.7656, 1.4648, -93.428, -25.884, 171.260, -67.973, 139.480, 63.693, 28.00,,,,,,,,,,,,,,,,
 15:04:23.047,COM12,, 0.3281, -0.8677, -0.0181, -44.3726, -14.4043, 47.7905, -95.400, -23.533, 171.299, -68.947, 143.053, 72.653, 28.01,,,,,,,,,,,,,,,,
 15:04:23.141,COM12,, 0.3394, -0.9609, -0.1777, -30.1514, -7.3853, 26.9165, -99.723, -19.479, 172.007, -79.940, 154.267, 97.273, 28.04,,,,,,,,,,,,,,,,
 15:04:23.235,COM12,, 0.3364, -0.9277, -0.1631, -1.8921, -3.4180, 2.4414, -100.871, -18.435, 172.408, -86.473, 161.133, 113.193, 28.03,,,,,,,,,,,,,,,,
 15:04:23.347,COM12,, 0.3335, -0.9277, -0.1670, -3.2349, -2.8687, 3.4180, -101.025, -18.204, 172.711, -86.007, 162.967, 118.387, 28.04,,,,,,,,,,,,,,,,
 15:04:23.442,COM12,, 0.3296, -0.9272, -0.1675, -2.3804, -2.9907, 3.2349, -101.305, -17.968, 173.007, -85.913, 163.153, 121.013, 28.04,,,,,,,,,,,,,,,,
 15:04:23.536,COM12,, 0.3281, -0.9312, -0.1753, -0.6714, -1.2207, 1.4038, -101.453, -17.781, 173.205, -86.400, 162.987, 122.873, 28.00,,,,,,,,,,,,,,,,
 15:04:23.647,COM12,, 0.3291, -0.9277, -0.1729, 0.2441, -0.9155, -0.4272, -101.426, -17.825, 173.375, -86.253, 162.127, 122.473, 28.03,,,,,,,,,,,,,,,,
 15:04:23.743,COM12,, 0.3345, -0.9224, -0.1709, 0.2441, -0.6714, -0.2441, -101.387, -17.886, 173.491, -85.880, 161.540, 122.587, 28.04,,,,,,,,,,,,,,,,
