Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:01:34.106,COM12,, 0.2871, -0.9180, 0.3823, -26.0010, 5.8594, 4.9438, -65.149, -17.902, -92.796, -94.767, 53.687, -24.753, 29.69,,,,,,,,,,,,,,,,
 22:01:34.202,COM12,, 0.2998, -0.8887, 0.3394, -17.4561, -6.4697, -0.4883, -67.050, -17.413, -92.060, -99.393, 53.373, -25.740, 29.72,,,,,,,,,,,,,,,,
 22:01:34.312,COM12,, 0.3125, -0.8950, 0.3481, -0.9155, -2.7466, -1.9531, -68.077, -17.693, -90.703, -103.400, 53.840, -26.220, 29.72,,,,,,,,,,,,,,,,
 22:01:34.411,COM12,, 0.3330, -0.8423, 0.3564, 1.9531, -0.4883, -8.4229, -67.934, -18.155, -89.665, -105.827, 55.747, -26.213, 29.72,,,,,,,,,,,,,,,,
 22:01:34.527,COM12,, 0.3223, -0.8564, 0.3789, 4.3945, -4.9438, -5.7373, -67.956, -18.704, -88.550, -110.093, 57.253, -26.427, 29.72,,,,,,,,,,,,,,,,
 22:01:34.607,COM12,, 0.3281, -0.8262, 0.3613, 2.1973, 0.6714, -5.2490, -67.786, -19.089, -87.594, -113.647, 54.460, -28.327, 29.74,,,,,,,,,,,,,,,,
 22:01:34.736,COM12,, 0.3545, -0.8516, 0.3506, 16.2964, 8.4839, -16.4795, -67.137, -19.880, -87.523, -117.573, 52.167, -30.827, 29.74,,,,,,,,,,,,,,,,
 22:01:34.799,COM12,, 0.4033, -0.8765, 0.3716, 8.9722, 7.5684, -21.4233, -66.033, -21.187, -88.391, -119.713, 54.173, -32.107, 29.72,,,,,,,,,,,,,,,,
 22:01:34.912,COM12,, 0.4063, -0.8457, 0.4160, 12.8174, 10.6201, -26.3672, -63.875, -23.132, -89.665, -119.567, 57.747, -31.953, 29.72,,,,,,,,,,,,,,,,
 22:01:35.009,COM12,, 0.4648, -0.8052, 0.4624, 11.0474, 8.2397, -5.2490, -61.798, -24.500, -90.698, -114.840, 59.907, -31.127, 29.72,,,,,,,,,,,,,,,,
 22:01:35.105,COM12,, 0.4795, -0.8154, 0.4331, 24.5361, 1.7090, 9.5215, -60.276, -24.000, -90.621, -100.200, 68.313, -27.013, 29.71,,,,,,,,,,,,,,,,
 22:01:35.198,COM12,, 0.4663, -0.7114, 0.5054, 30.9448, -22.5220, 7.8735, -58.162, -24.335, -87.995, -80.913, 71.740, -22.287, 29.72,,,,,,,,,,,,,,,,
 22:01:35.308,COM12,, 0.4448, -0.6494, 0.5645, 21.7285, -28.3813, 0.9155, -56.711, -25.664, -84.408, -75.600, 66.907, -18.787, 29.71,,,,,,,,,,,,,,,,
 22:01:35.403,COM12,, 0.4517, -0.6621, 0.5806, 6.0425, -25.7568, -3.7231, -56.217, -27.285, -81.546, -79.733, 59.340, -13.527, 29.69,,,,,,,,,,,,,,,,
 22:01:35.496,COM12,, 0.4443, -0.7485, 0.5249, -6.1646, -6.1035, 1.8311, -56.887, -28.114, -79.805, -89.500, 53.240, -11.173, 29.72,,,,,,,,,,,,,,,,
 22:01:35.609,COM12,, 0.4028, -0.8174, 0.4575, -18.4937, 14.3433, -10.6201, -57.706, -27.751, -80.541, -103.500, 46.753, -16.253, 29.72,,,,,,,,,,,,,,,,
 22:01:35.705,COM12,, 0.4507, -0.7837, 0.4009, -31.4331, 12.8784, 2.2583, -58.447, -27.708, -80.920, -116.000, 36.140, -25.087, 29.71,,,,,,,,,,,,,,,,
 22:01:35.800,COM12,, 0.5029, -0.8320, 0.4043, -6.7139, 23.9258, -1.0376, -60.057, -26.444, -82.079, -123.387, 43.467, -31.013, 29.69,,,,,,,,,,,,,,,,
 22:01:35.895,COM12,, 0.4453, -0.7471, 0.4526, 13.1836, 10.8643, -0.6104, -59.013, -25.554, -83.232, -110.020, 65.133, -30.480, 29.69,,,,,,,,,,,,,,,,
 22:01:36.007,COM12,, 0.4180, -0.6953, 0.5308, -0.9155, 2.9297, 1.4648, -58.134, -25.263, -83.496, -94.633, 75.320, -28.573, 29.69,,,,,,,,,,,,,,,,
 22:01:36.105,COM12,, 0.3867, -0.7466, 0.4868, -41.6870, -0.5493, 23.9258, -59.628, -24.609, -82.639, -93.267, 79.167, -27.800, 29.69,,,,,,,,,,,,,,,,
 22:01:36.201,COM12,, 0.3887, -0.8613, 0.3735, -11.0474, -3.4180, 5.4321, -63.452, -23.071, -81.024, -102.213, 86.313, -27.027, 29.71,,,,,,,,,,,,,,,,
 22:01:36.298,COM12,, 0.3911, -0.8306, 0.4209, 7.1411, 0.4272, -2.6245, -63.144, -23.253, -80.799, -105.613, 88.067, -26.793, 29.75,,,,,,,,,,,,,,,,
 22:01:36.394,COM12,, 0.3853, -0.8115, 0.4248, -0.2441, -0.2441, -2.0142, -62.737, -23.335, -80.535, -103.940, 87.767, -26.813, 29.69,,,,,,,,,,,,,,,,
 22:01:36.504,COM12,, 0.3975, -0.8091, 0.4248, -0.6104, -0.0610, 0.3662, -62.644, -23.390, -80.239, -103.513, 87.593, -26.653, 29.71,,,,,,,,,,,,,,,,
