Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:24:00.740,COM12,, 0.3442, -0.9404, -0.2954, 17.6392, 1.0986, -20.3247, -106.315, -15.853, 92.170, -28.687, 129.940, 88.187, 30.41,,,,,,,,,,,,,,,,
 15:24:00.849,COM12,, 0.3091, -0.9180, -0.2246, 29.1138, -26.4282, -25.2686, -104.557, -17.919, 94.581, -38.160, 124.960, 80.607, 30.37,,,,,,,,,,,,,,,,
 15:24:00.945,COM12,, 0.3374, -0.9067, -0.1719, -4.3335, 29.7241, -6.7139, -103.315, -19.347, 94.801, -43.793, 120.807, 75.520, 30.40,,,,,,,,,,,,,,,,
 15:24:01.039,COM12,, 0.3921, -0.8950, -0.2046, -6.9580, 34.4849, 6.5308, -103.145, -20.154, 90.829, -45.300, 122.940, 75.160, 30.38,,,,,,,,,,,,,,,,
 15:24:01.151,COM12,, 0.3833, -0.9175, -0.2163, -1.8921, 5.1270, -11.4136, -102.859, -20.880, 88.896, -47.020, 128.173, 74.633, 30.35,,,,,,,,,,,,,,,,
 15:24:01.246,COM12,, 0.3872, -0.9229, -0.1812, 5.9204, 19.7144, -9.2163, -102.211, -21.890, 87.748, -51.647, 131.600, 72.153, 30.38,,,,,,,,,,,,,,,,
 15:24:01.341,COM12,, 0.4316, -0.8154, -0.1797, 55.7251, -83.9233, -31.4331, -100.536, -23.324, 88.616, -57.773, 132.573, 65.453, 30.38,,,,,,,,,,,,,,,,
 15:24:01.451,COM12,, 0.3755, -0.8784, -0.0767, -4.4556, 10.0708, 14.9536, -99.673, -23.939, 93.658, -67.733, 129.500, 60.100, 30.37,,,,,,,,,,,,,,,,
 15:24:01.545,COM12,, 0.2622, -0.9355, -0.1772, -21.6675, 74.1577, 22.1558, -100.519, -22.242, 86.704, -60.413, 133.327, 61.967, 30.37,,,,,,,,,,,,,,,,
 15:24:01.639,COM12,, 0.3076, -0.9180, -0.2266, 52.4292, -38.3301, -14.1602, -98.124, -22.654, 83.304, -48.947, 143.793, 65.853, 30.40,,,,,,,,,,,,,,,,
 15:24:01.751,COM12,, 0.4116, -0.9746, -0.1606, 21.9727, -47.6685, -4.5776, -97.460, -22.802, 88.028, -49.453, 142.407, 58.393, 30.38,,,,,,,,,,,,,,,,
 15:24:01.846,COM12,, 0.3525, -0.8433, -0.0522, -20.9351, 4.4556, 16.2964, -97.377, -22.423, 90.099, -58.200, 136.227, 50.227, 30.37,,,,,,,,,,,,,,,,
 15:24:01.942,COM12,, 0.1396, -0.9209, -0.1567, -54.0771, -11.8408, 72.1436, -101.310, -18.127, 90.835, -48.253, 138.040, 57.960, 30.38,,,,,,,,,,,,,,,,
 15:24:02.036,COM12,, 0.2061, -0.9683, -0.3022, -20.5688, 1.5259, 26.0010, -105.271, -13.189, 89.835, -16.007, 148.080, 83.707, 30.38,,,,,,,,,,,,,,,,
 15:24:02.147,COM12,, 0.2437, -0.9380, -0.2690, 5.1270, -1.0986, -12.0850, -105.732, -12.881, 89.681, -3.153, 154.193, 97.280, 30.37,,,,,,,,,,,,,,,,
