Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:49:57.696,COM12,, 0.4536, -0.8643, -0.0903, -2.3804, 0.8545, -1.2817, -96.932, -27.631, 116.790, -177.067, 91.093, 77.620, 31.61,,,,,,,,,,,,,,,,
 15:49:57.791,COM12,, 0.4502, -0.8721, -0.1147, -10.3760, 4.5166, 13.3667, -97.548, -27.087, 116.329, -181.347, 89.007, 77.513, 31.58,,,,,,,,,,,,,,,,
 15:49:57.886,COM12,, 0.4243, -0.9019, -0.1484, -7.5684, 7.3242, 9.7046, -98.328, -26.109, 115.779, -189.913, 87.040, 77.547, 31.62,,,,,,,,,,,,,,,,
 15:49:57.980,COM12,, 0.4390, -0.9063, -0.1265, -0.8545, 19.6533, 8.6670, -98.053, -25.532, 114.022, -192.860, 79.527, 69.273, 31.64,,,,,,,,,,,,,,,,
 15:49:58.090,COM12,, 0.3931, -0.9224, -0.0962, 1.1597, 25.0854, -3.7842, -96.971, -25.422, 111.352, -185.620, 62.533, 50.840, 31.65,,,,,,,,,,,,,,,,
 15:49:58.185,COM12,, 0.3940, -0.8970, -0.1025, 18.3716, 19.3481, -14.3433, -94.092, -27.175, 108.347, -166.640, 49.233, 32.453, 31.64,,,,,,,,,,,,,,,,
 15:49:58.280,COM12,, 0.5020, -1.0288, -0.0537, 33.9355, 6.9580, -2.9297, -91.148, -28.021, 106.760, -143.167, 59.807, 26.093, 31.67,,,,,,,,,,,,,,,,
 15:49:58.391,COM12,, 0.4907, -0.7646, 0.0830, 7.6294, 10.2539, -7.4463, -87.715, -28.531, 105.315, -108.180, 83.647, 22.453, 31.64,,,,,,,,,,,,,,,,
 15:49:58.485,COM12,, 0.4907, -0.8652, 0.0259, -22.3999, 18.1274, -8.6670, -88.022, -29.570, 103.667, -110.247, 82.593, 18.533, 31.61,,,,,,,,,,,,,,,,
 15:49:58.579,COM12,, 0.4536, -0.8809, 0.0195, 2.9297, 5.1880, -11.2915, -88.303, -30.547, 102.255, -128.093, 67.007, 13.527, 31.62,,,,,,,,,,,,,,,,
 15:49:58.690,COM12,, 0.7100, -0.8696, -0.0117, 16.2354, -15.8081, 4.0283, -87.572, -30.811, 102.338, -128.593, 72.267, 13.740, 31.65,,,,,,,,,,,,,,,,
 15:49:58.785,COM12,, 0.4780, -0.7651, 0.1748, 30.8838, -62.2559, -3.7231, -87.341, -30.498, 109.352, -97.167, 104.600, 28.067, 31.67,,,,,,,,,,,,,,,,
 15:49:58.880,COM12,, 0.4707, -0.8711, 0.0767, -41.6870, 46.2036, 3.2349, -88.753, -31.020, 109.594, -103.393, 104.727, 37.693, 31.64,,,,,,,,,,,,,,,,
 15:49:58.988,COM12,, 0.4463, -0.9414, -0.0869, -6.2256, 21.1792, -4.2725, -89.714, -30.981, 104.667, -144.760, 81.600, 27.493, 31.61,,,,,,,,,,,,,,,,
 15:49:59.082,COM12,, 0.6382, -0.8857, -0.0850, 64.1479, -89.4165, 5.6152, -89.083, -31.086, 106.870, -146.353, 85.473, 27.747, 31.65,,,,,,,,,,,,,,,,
 15:49:59.191,COM12,, 0.6035, -0.7979, 0.1069, 12.2681, -26.9775, -2.0752, -89.506, -32.465, 116.356, -119.100, 104.140, 52.040, 31.62,,,,,,,,,,,,,,,,
 15:49:59.285,COM12,, 0.4966, -0.7715, 0.0571, -38.3301, 54.3823, -8.2397, -89.462, -32.201, 113.307, -119.233, 95.660, 54.040, 31.61,,,,,,,,,,,,,,,,
 15:49:59.380,COM12,, 0.5205, -0.9629, -0.0972, -1.6479, 3.5400, 11.3525, -90.467, -32.377, 109.336, -152.807, 57.773, 40.067, 31.61,,,,,,,,,,,,,,,,
 15:49:59.476,COM12,, 0.3936, -0.7749, 0.0435, -29.0527, -13.4888, 52.8564, -91.082, -29.674, 109.929, -156.147, 51.980, 37.000, 31.62,,,,,,,,,,,,,,,,
 15:49:59.587,COM12,, 0.3882, -0.9478, -0.1099, -33.2031, -9.2163, 32.8979, -95.537, -25.120, 111.110, -178.480, 37.200, 37.613, 31.64,,,,,,,,,,,,,,,,
 15:49:59.680,COM12,, 0.3936, -0.9214, -0.1274, -1.9531, -1.2817, -2.3804, -97.361, -23.763, 111.528, -207.533, 22.200, 37.533, 31.61,,,,,,,,,,,,,,,,
 15:49:59.774,COM12,, 0.3999, -0.8955, -0.1216, -4.7607, -4.5776, 6.3477, -97.487, -23.615, 111.671, -215.173, 22.680, 38.907, 31.62,,,,,,,,,,,,,,,,
 15:49:59.885,COM12,, 0.3867, -0.9219, -0.1294, 0.3662, -1.1597, -0.4272, -97.954, -23.170, 112.066, -216.153, 24.807, 41.567, 31.64,,,,,,,,,,,,,,,,
