Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:02:07.964,COM12,, -0.0308, -0.9663, -0.3848, 11.9629, 36.9263, -1.4038, -113.049, -1.939, 147.382, -62.547, 176.493, 143.000, 27.80,,,,,,,,,,,,,,,,
 18:02:08.061,COM12,, 0.0908, -0.8223, -0.4097, 8.2397, 58.8379, -30.6396, -112.341, -5.131, 143.828, -93.040, 178.093, 120.320, 27.77,,,,,,,,,,,,,,,,
 18:02:08.154,COM12,, 0.2642, -0.9063, -0.4102, 45.1050, 9.6436, -34.4849, -108.254, -8.937, 142.553, -115.180, -111.247, 108.473, 27.82,,,,,,,,,,,,,,,,
 18:02:08.264,COM12,, 0.3384, -0.9165, -0.2656, 20.2026, 31.5552, -28.6865, -105.046, -12.552, 140.982, -94.100, -202.887, 94.473, 27.79,,,,,,,,,,,,,,,,
 18:02:08.360,COM12,, 0.2861, -0.8984, -0.1597, 11.7798, 9.8877, -13.4277, -103.030, -15.029, 139.444, -67.060, -214.027, 91.553, 27.76,,,,,,,,,,,,,,,,
 18:02:08.454,COM12,, 0.3247, -0.9292, -0.1968, 1.2817, 9.3994, 0.9766, -102.426, -15.727, 138.620, -54.813, -215.380, 90.213, 27.82,,,,,,,,,,,,,,,,
 18:02:08.550,COM12,, 0.2891, -0.8975, -0.1514, 10.8643, 18.5547, -20.1416, -101.409, -16.897, 137.186, -48.827, -216.813, 87.993, 27.80,,,,,,,,,,,,,,,,
 18:02:08.661,COM12,, 0.3599, -0.8706, -0.1802, 52.1851, -70.1904, -19.7144, -99.624, -18.479, 138.214, -46.547, 122.780, 82.560, 27.76,,,,,,,,,,,,,,,,
 18:02:08.756,COM12,, 0.4209, -0.9214, -0.1104, -4.0894, 1.4038, 6.2256, -99.157, -18.759, 143.877, -32.653, 190.693, 75.627, 27.79,,,,,,,,,,,,,,,,
 18:02:08.850,COM12,, 0.2783, -0.9512, -0.0776, -4.2725, 56.6406, 11.9019, -99.470, -18.490, 139.147, -39.273, 209.113, 78.307, 27.80,,,,,,,,,,,,,,,,
 18:02:08.961,COM12,, 0.3491, -0.9429, -0.2056, 7.9956, -14.4043, -6.1646, -97.894, -19.160, 135.154, -71.213, 209.613, 61.060, 27.80,,,,,,,,,,,,,,,,
 18:02:09.056,COM12,, 0.3540, -0.9355, -0.1133, 2.8076, -3.5400, 3.6011, -97.619, -19.682, 137.736, -90.073, 205.653, 51.947, 27.79,,,,,,,,,,,,,,,,
 18:02:09.151,COM12,, 0.2412, -0.9390, -0.0913, -24.1699, -7.9346, 31.1279, -98.366, -18.133, 137.000, -97.367, 207.247, 49.600, 27.79,,,,,,,,,,,,,,,,
 18:02:09.247,COM12,, 0.2334, -0.9546, -0.2046, -37.2925, -2.9297, 34.3628, -102.030, -14.128, 137.368, -111.267, 212.960, 51.253, 27.83,,,,,,,,,,,,,,,,
 18:02:09.358,COM12,, 0.2725, -0.9712, -0.2222, 6.7749, -0.8545, -2.5024, -103.063, -12.849, 137.406, -123.860, -144.480, 50.867, 27.80,,,,,,,,,,,,,,,,
 18:02:09.454,COM12,, 0.2568, -0.9458, -0.1733, 5.0659, 0.1221, -3.7231, -102.151, -13.354, 137.681, -118.333, -206.927, 53.420, 27.77,,,,,,,,,,,,,,,,
