Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:17:15.392,COM12,, 0.2002, -0.9390, -0.2168, -28.2593, 9.5215, 35.0952, -102.805, -14.985, -85.248, -99.973, 138.113, 34.400, 29.36,,,,,,,,,,,,,,,,
 18:17:15.488,COM12,, 0.1992, -0.9341, -0.2349, -5.9814, 20.6909, 13.2446, -104.310, -12.854, -87.352, -105.573, 116.813, 25.373, 29.39,,,,,,,,,,,,,,,,
 18:17:15.599,COM12,, 0.2656, -0.9746, -0.2759, 14.8926, 5.8594, -9.0332, -103.898, -12.936, -90.049, -118.153, 106.033, 13.360, 29.36,,,,,,,,,,,,,,,,
 18:17:15.693,COM12,, 0.2905, -1.0063, -0.1802, 40.4663, -18.0664, -33.8745, -101.530, -14.886, -89.236, -114.240, 106.707, 14.560, 29.36,,,,,,,,,,,,,,,,
 18:17:15.789,COM12,, 0.2925, -0.9331, -0.1401, 32.9590, -14.1602, -23.9258, -97.685, -17.891, -87.308, -104.513, 118.727, 25.293, 29.33,,,,,,,,,,,,,,,,
 18:17:15.901,COM12,, 0.3086, -0.9619, -0.1274, 17.0898, 7.1411, -20.9961, -96.048, -19.819, -87.039, -103.413, 124.993, 29.207, 29.36,,,,,,,,,,,,,,,,
 18:17:15.996,COM12,, 0.4028, -0.9155, -0.0986, 15.1367, -3.9673, -0.6104, -94.406, -20.396, -87.567, -93.593, 127.027, 28.733, 29.36,,,,,,,,,,,,,,,,
 18:17:16.091,COM12,, 0.3438, -0.9009, -0.0137, 10.1929, 7.3853, -19.7144, -93.032, -21.709, -88.495, -84.540, 126.387, 27.413, 29.40,,,,,,,,,,,,,,,,
 18:17:16.188,COM12,, 0.2642, -0.9131, -0.0527, -2.8076, 8.9722, -9.7046, -92.631, -23.110, -89.055, -92.193, 113.167, 22.853, 29.36,,,,,,,,,,,,,,,,
 18:17:16.297,COM12,, 0.7241, -1.1089, -0.1714, 9.9487, 10.2539, -10.9863, -92.000, -24.582, -91.093, -106.647, 106.433, 14.987, 29.36,,,,,,,,,,,,,,,,
 18:17:16.393,COM12,, 0.3140, -0.8545, 0.1812, 18.9209, -29.1138, -2.9297, -89.725, -23.703, -88.006, -80.993, 126.467, 20.707, 29.36,,,,,,,,,,,,,,,,
 18:17:16.488,COM12,, 0.3301, -1.0093, -0.0454, 3.6621, -4.3335, -24.2310, -89.764, -25.670, -89.099, -83.087, 120.033, 21.220, 29.36,,,,,,,,,,,,,,,,
 18:17:16.601,COM12,, 0.5146, -1.0322, -0.0776, 47.7295, -32.8369, 14.2822, -87.764, -26.439, -85.919, -80.407, 122.620, 25.293, 29.37,,,,,,,,,,,,,,,,
 18:17:16.696,COM12,, 0.4316, -0.8027, 0.1660, -17.9443, 11.5356, 13.0615, -86.495, -24.939, -84.408, -54.713, 136.500, 28.720, 29.37,,,,,,,,,,,,,,,,
 18:17:16.791,COM12,, 0.3491, -0.9102, 0.0142, -40.7104, -10.1318, 19.1650, -89.643, -23.527, -84.573, -55.553, 146.100, 32.180, 29.34,,,,,,,,,,,,,,,,
 18:17:16.887,COM12,, 0.3047, -0.9478, -0.0952, -52.1240, -0.1831, 28.5034, -94.790, -20.253, -84.117, -74.533, 158.040, 41.873, 29.36,,,,,,,,,,,,,,,,
 18:17:16.997,COM12,, 0.3379, -0.9556, -0.1377, -4.6997, 2.7466, -2.0752, -96.905, -19.303, -84.446, -97.013, 162.780, 46.840, 29.36,,,,,,,,,,,,,,,,
 18:17:17.092,COM12,, 0.3325, -0.9375, -0.1074, -3.9063, -0.5493, -2.4414, -96.932, -19.759, -84.501, -103.760, 166.253, 48.427, 29.36,,,,,,,,,,,,,,,,
 18:17:17.186,COM12,, 0.3345, -0.9395, -0.1299, -2.6245, -0.8545, 1.7700, -97.361, -19.644, -84.353, -107.540, 169.767, 50.167, 29.34,,,,,,,,,,,,,,,,
 18:17:17.283,COM12,, 0.3306, -0.9375, -0.1240, -1.7090, -0.0610, 0.3052, -97.449, -19.605, -84.271, -108.753, 171.847, 51.200, 29.36,,,,,,,,,,,,,,,,
