Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:04:29.244,COM12,, 0.2183, -0.9375, -0.2661, -1.2817, -0.7324, 1.3428, -106.117, -12.898, 147.112, -216.287, -215.567, -216.673, 29.09,,,,,,,,,,,,,,,,
 21:04:29.340,COM12,, 0.2007, -0.9326, -0.2749, -5.3101, 1.2207, 8.4839, -106.458, -12.480, 147.063, -216.287, -215.567, -216.673, 29.10,,,,,,,,,,,,,,,,
 21:04:29.436,COM12,, 0.1709, -0.9502, -0.2964, -0.3052, -1.7090, 33.8135, -106.946, -11.063, 146.574, -216.287, -215.567, -134.427, 29.10,,,,,,,,,,,,,,,,
 21:04:29.547,COM12,, -0.0137, -1.0967, -0.3145, 23.9258, -14.0991, 28.7476, -106.727, -7.399, 146.272, -202.913, -215.567, 123.993, 29.13,,,,,,,,,,,,,,,,
 21:04:29.641,COM12,, 0.1162, -0.9224, -0.2773, -2.0142, 4.6387, 4.0894, -105.474, -5.147, 146.711, -158.493, -215.567, 75.067, 29.12,,,,,,,,,,,,,,,,
 21:04:29.735,COM12,, 0.1294, -0.8838, -0.1992, -0.5493, 18.1274, -21.3013, -104.667, -6.405, 145.953, -169.307, -215.567, 46.967, 29.12,,,,,,,,,,,,,,,,
 21:04:29.846,COM12,, 0.1465, -0.9819, -0.3154, -10.6201, 27.5269, 0.0000, -106.117, -8.113, 143.366, -208.340, -215.567, 32.713, 29.10,,,,,,,,,,,,,,,,
 21:04:29.941,COM12,, 0.1504, -0.9565, -0.2827, -1.4648, 6.3477, 4.4556, -106.666, -8.509, 141.773, -215.327, -215.567, 13.360, 29.10,,,,,,,,,,,,,,,,
 21:04:30.035,COM12,, 0.1338, -0.9551, -0.2861, 0.9155, 3.5400, 5.1270, -106.666, -8.102, 141.284, -216.173, -215.567, 9.753, 29.10,,,,,,,,,,,,,,,,
 21:04:30.145,COM12,, 0.1445, -0.9414, -0.2832, -1.5869, 3.0518, -1.8921, -106.815, -7.971, 141.021, -216.273, -215.567, 10.907, 29.12,,,,,,,,,,,,,,,,
 21:04:30.240,COM12,, 0.1553, -0.9180, -0.2446, 0.1831, 11.4136, -2.3804, -106.331, -9.047, 140.411, -216.287, -215.567, 9.807, 29.12,,,,,,,,,,,,,,,,
 21:04:30.333,COM12,, 0.3169, -0.9370, -0.3018, 58.8989, -56.4575, -48.2788, -104.628, -10.355, 143.388, -216.287, -215.567, 32.660, 29.13,,,,,,,,,,,,,,,,
 21:04:30.445,COM12,, 0.1104, -0.9292, -0.1426, 9.3384, 7.9956, -14.2212, -102.068, -13.041, 146.942, -216.287, -215.567, 68.807, 29.13,,,,,,,,,,,,,,,,
 21:04:30.539,COM12,, 0.1357, -0.9399, -0.2500, -11.3525, 10.2539, 12.1460, -102.184, -13.244, 143.965, -216.287, 65.707, 13.787, 29.12,,,,,,,,,,,,,,,,
 21:04:30.633,COM12,, 0.1230, -0.9360, -0.2261, -7.6294, -16.4185, 26.8555, -103.304, -10.811, 144.553, -216.287, 177.367, -3.920, 29.12,,,,,,,,,,,,,,,,
 21:04:30.744,COM12,, 0.1616, -0.9482, -0.2817, -1.8311, -3.4180, 7.9956, -104.249, -8.926, 144.838, -216.287, -140.580, 22.740, 29.15,,,,,,,,,,,,,,,,
