Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:58:18.768,COM12,, 0.3359, -0.8887, 0.3032, 4.0283, 10.2539, -9.9487, -71.581, -18.287, -144.487, -95.740, 132.133, -40.367, 27.97,,,,,,,,,,,,,,,,
 22:58:18.864,COM12,, 0.3433, -0.9072, 0.3101, 6.5308, 0.3662, -5.4932, -71.087, -18.798, -145.327, -93.620, 130.200, -41.660, 27.97,,,,,,,,,,,,,,,,
 22:58:19.036,COM12,, 0.3276, -0.8730, 0.3276, 7.5073, 2.6855, -7.1411, -70.115, -19.561, -145.701, -91.133, 125.293, -41.967, 27.98,,,,,,,,,,,,,,,,
 22:58:19.068,COM12,, 0.3579, -0.8784, 0.3398, 0.8545, 5.1270, -1.7090, -69.494, -19.880, -146.310, -89.320, 119.900, -41.987, 27.98,,,,,,,,,,,,,,,,
 22:58:19.162,COM12,, 0.3599, -0.8687, 0.3325, 6.6528, -5.1880, -5.8594, -69.175, -20.132, -146.288, -86.340, 116.827, -42.040, 27.98,,,,,,,,,,,,,,,,
 22:58:19.276,COM12,, 0.3516, -0.8687, 0.3511, 8.1177, 6.8970, -9.2773, -68.307, -20.901, -146.382, -85.907, 112.287, -42.087, 27.98,,,,,,,,,,,,,,,,
 22:58:19.370,COM12,, 0.3853, -0.8384, 0.3706, 5.0659, 0.7935, -3.5400, -67.088, -21.341, -147.458, -83.967, 104.707, -42.713, 27.94,,,,,,,,,,,,,,,,
 22:58:19.464,COM12,, 0.3496, -0.8540, 0.3784, -1.2817, 2.4414, -2.4414, -67.044, -21.396, -147.365, -81.133, 101.973, -42.753, 28.00,,,,,,,,,,,,,,,,
 22:58:19.561,COM12,, 0.3379, -0.8433, 0.3706, 12.3901, 24.5361, -28.0762, -65.951, -21.951, -149.310, -80.293, 98.733, -44.280, 27.97,,,,,,,,,,,,,,,,
 22:58:19.671,COM12,, 0.5732, -0.7310, 0.3862, 18.1885, -34.6069, -3.9063, -64.210, -23.489, -150.271, -77.847, 91.867, -45.553, 28.00,,,,,,,,,,,,,,,,
 22:58:19.765,COM12,, 0.3667, -0.7065, 0.4824, 0.1831, 1.0986, -12.0239, -63.951, -25.593, -145.151, -80.293, 91.693, -43.013, 27.97,,,,,,,,,,,,,,,,
 22:58:19.860,COM12,, 0.3975, -0.8589, 0.3730, -14.5264, 46.6919, 4.6387, -63.880, -24.719, -149.491, -88.440, 91.700, -46.033, 27.97,,,,,,,,,,,,,,,,
 22:58:19.970,COM12,, 0.4863, -0.8408, 0.3706, 6.7749, -10.0098, -6.3477, -63.649, -23.730, -151.155, -85.800, 89.393, -50.220, 27.98,,,,,,,,,,,,,,,,
 22:58:20.065,COM12,, 0.4561, -0.7861, 0.4370, 6.7749, -19.4702, -1.0376, -63.078, -26.378, -146.975, -91.507, 91.693, -49.240, 27.98,,,,,,,,,,,,,,,,
 22:58:20.170,COM12,, 0.3535, -0.8057, 0.4165, -12.3901, -4.2114, 20.5688, -63.875, -25.450, -145.937, -96.140, 97.620, -48.433, 27.98,,,,,,,,,,,,,,,,
 22:58:20.273,COM12,, 0.3525, -0.8618, 0.3481, -36.1938, 7.5684, 21.7896, -66.654, -22.780, -145.695, -101.700, 106.247, -48.433, 27.97,,,,,,,,,,,,,,,,
 22:58:20.367,COM12,, 0.3818, -0.9004, 0.3101, -9.7046, 5.7373, 4.3945, -69.077, -21.308, -145.585, -111.313, 117.680, -48.887, 27.95,,,,,,,,,,,,,,,,
 22:58:20.464,COM12,, 0.3687, -0.8506, 0.3555, 5.0049, 1.5869, -4.3945, -68.747, -21.456, -145.898, -113.980, 121.060, -49.673, 27.98,,,,,,,,,,,,,,,,
 22:58:20.559,COM12,, 0.3643, -0.8716, 0.3364, -2.7466, -0.1831, 0.7324, -68.758, -21.555, -146.041, -113.460, 121.647, -50.427, 27.98,,,,,,,,,,,,,,,,
 22:58:20.669,COM12,, 0.3672, -0.8672, 0.3389, 1.7090, 1.0986, -1.5259, -68.708, -21.616, -146.113, -113.833, 122.653, -50.813, 28.00,,,,,,,,,,,,,,,,
 22:58:20.761,COM12,, 0.3760, -0.8662, 0.3403, -1.9531, -0.4272, 1.4038, -68.785, -21.660, -146.074, -114.220, 123.453, -50.840, 27.98,,,,,,,,,,,,,,,,
 22:58:20.870,COM12,, 0.3672, -0.8682, 0.3364, 1.4038, -0.1221, -0.1831, -68.835, -21.660, -145.937, -114.467, 124.953, -50.987, 27.98,,,,,,,,,,,,,,,,
 22:58:20.965,COM12,, 0.3755, -0.8643, 0.3374, -0.9155, 0.3052, 0.6714, -68.840, -21.649, -145.964, -114.553, 125.073, -50.847, 27.98,,,,,,,,,,,,,,,,
