Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:47:04.171,COM12,, 0.2949, -0.9902, -0.0112, 14.4653, 6.0425, -8.1177, -89.083, -12.843, 103.453, -216.287, 76.780, -18.073, 23.24,,,,,,,,,,,,,,,,
 13:47:04.234,COM12,, 0.2451, -0.9399, 0.0664, 17.8833, 9.8267, -18.1274, -86.726, -14.480, 102.321, -216.287, 82.133, -11.613, 23.27,,,,,,,,,,,,,,,,
 13:47:04.375,COM12,, 0.2637, -0.9858, 0.0308, 8.2397, 14.6484, -7.0190, -86.182, -14.771, 101.124, -216.287, 79.053, -15.507, 23.29,,,,,,,,,,,,,,,,
 13:47:04.461,COM12,, 0.2632, -0.9517, 0.0952, 27.8320, 9.4604, -20.8740, -83.595, -16.331, 99.443, -215.700, 67.900, -23.340, 23.30,,,,,,,,,,,,,,,,
 13:47:04.524,COM12,, 0.3071, -0.8813, 0.1426, 1.8921, -2.1362, -2.1973, -80.634, -17.496, 98.157, -199.933, 55.040, -28.300, 23.29,,,,,,,,,,,,,,,,
 13:47:04.624,COM12,, 0.3428, -0.9897, 0.1284, 9.3384, 3.2349, -8.7280, -80.299, -17.721, 97.515, -197.893, 46.140, -34.067, 23.29,,,,,,,,,,,,,,,,
 13:47:04.750,COM12,, 0.3198, -0.9453, 0.1855, 3.8452, 2.1973, -4.3945, -79.590, -18.292, 97.311, -201.187, 48.173, -33.353, 23.29,,,,,,,,,,,,,,,,
 13:47:04.833,COM12,, 0.3442, -0.9131, 0.1772, -1.0376, 5.7983, -1.0986, -79.167, -18.254, 96.729, -197.707, 46.813, -33.793, 23.26,,,,,,,,,,,,,,,,
 13:47:04.932,COM12,, 0.3228, -0.9463, 0.1953, 7.0190, 8.1177, -4.6997, -78.772, -18.226, 96.086, -194.107, 48.527, -32.107, 23.32,,,,,,,,,,,,,,,,
 13:47:05.027,COM12,, 0.3877, -0.9409, 0.1782, 16.4185, -17.9443, -13.5498, -77.569, -18.973, 95.724, -188.700, 52.353, -29.060, 23.29,,,,,,,,,,,,,,,,
 13:47:05.121,COM12,, 0.3784, -0.9419, 0.2617, 11.8408, -10.9253, -10.6812, -76.080, -20.572, 97.575, -184.540, 52.400, -25.913, 23.30,,,,,,,,,,,,,,,,
 13:47:05.271,COM12,, 0.3755, -0.9014, 0.2432, -5.9204, 5.7983, -2.3804, -75.745, -21.275, 97.394, -187.220, 48.567, -28.480, 23.33,,,,,,,,,,,,,,,,
 13:47:05.335,COM12,, 0.3062, -0.9268, 0.2554, -8.2397, 13.2446, -0.7935, -76.141, -21.171, 96.405, -193.273, 38.107, -36.940, 23.26,,,,,,,,,,,,,,,,
 13:47:05.431,COM12,, 0.3164, -0.8921, 0.1553, -19.1650, 5.0049, 17.3950, -77.750, -19.589, 95.916, -193.253, 19.220, -46.767, 23.26,,,,,,,,,,,,,,,,
 13:47:05.527,COM12,, 0.3325, -0.9058, 0.1826, -22.4609, -5.4932, 7.2021, -79.843, -18.649, 96.202, -201.820, 3.713, -55.587, 23.29,,,,,,,,,,,,,,,,
 13:47:05.622,COM12,, 0.2466, -0.9668, 0.1313, -28.6865, -11.0474, 24.9634, -82.705, -17.485, 97.075, -214.353, -10.640, -73.407, 23.26,,,,,,,,,,,,,,,,
 13:47:05.732,COM12,, 0.2290, -0.9966, 0.0151, -31.5552, -22.8882, 27.7710, -86.589, -14.557, 98.624, -216.053, -22.780, -98.360, 23.29,,,,,,,,,,,,,,,,
 13:47:05.850,COM12,, 0.2251, -0.9873, -0.0039, -6.3477, 11.8408, 6.1035, -88.363, -13.085, 99.454, -216.260, -32.947, -117.147, 23.29,,,,,,,,,,,,,,,,
 13:47:05.934,COM12,, 0.2095, -0.9688, 0.0249, -0.2441, 1.8921, 1.0376, -88.336, -12.991, 99.382, -216.287, -32.260, -121.273, 23.29,,,,,,,,,,,,,,,,
 13:47:06.029,COM12,, 0.1973, -0.9727, 0.0151, -3.1128, -0.6104, 2.9907, -88.665, -12.695, 99.393, -216.287, -32.480, -124.293, 23.27,,,,,,,,,,,,,,,,
 13:47:06.228,COM12,, 0.2090, -0.9712, 0.0234, -2.3193, 7.1411, 1.2817, -88.874, -12.502, 99.481, -216.287, -31.800, -125.707, 23.32,,,,,,,,,,,,,,,,
 13:47:06.228,COM12,, 0.2021, -0.9746, 0.0044, -4.0894, -2.8076, 3.7842, -89.286, -12.151, 99.701, -216.287, -30.647, -127.767, 23.30,,,,,,,,,,,,,,,,
 13:47:06.322,COM12,, 0.2031, -0.9854, -0.0044, 0.7935, 2.0752, -0.5493, -89.500, -11.975, 99.586, -216.287, -30.887, -130.660, 23.29,,,,,,,,,,,,,,,,
 13:47:06.432,COM12,, 0.1973, -0.9751, 0.0059, -1.4648, 0.7324, 0.9155, -89.412, -12.030, 99.404, -216.287, -29.200, -131.233, 23.30,,,,,,,,,,,,,,,,
