Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:15:12.154,COM12,, 0.2090, -0.9756, -0.0928, -3.2349, -0.7324, 4.4556, -96.015, -11.854, 42.506, -216.273, -215.567, 79.873, 24.29,,,,,,,,,,,,,,,,
 14:15:12.270,COM12,, 0.1753, -0.9902, -0.1133, -25.4517, -0.0610, 21.6064, -96.691, -11.146, 42.484, -216.287, -215.567, 78.180, 24.27,,,,,,,,,,,,,,,,
 14:15:12.350,COM12,, 0.0356, -0.9658, -0.1401, -15.6860, -34.4849, 10.9253, -98.394, -9.250, 44.072, -216.287, -215.567, 73.547, 24.26,,,,,,,,,,,,,,,,
 14:15:12.462,COM12,, 0.4058, -0.8496, -0.1719, -4.1504, -11.8408, -30.2734, -99.305, -9.470, 47.714, -210.327, 88.080, 74.080, 24.26,,,,,,,,,,,,,,,,
 14:15:12.557,COM12,, 0.2720, -1.0024, 0.0830, 114.4409, 17.5781, -93.7500, -95.065, -15.007, 48.768, -211.327, 144.400, 74.473, 24.24,,,,,,,,,,,,,,,,
 14:15:12.652,COM12,, 0.2993, -1.0356, -0.1685, -17.4561, 1.4648, 17.5171, -94.669, -15.903, 49.422, -215.687, 194.153, 42.453, 24.26,,,,,,,,,,,,,,,,
 14:15:12.761,COM12,, 0.2524, -0.9741, -0.0664, 29.1748, 11.9019, -8.1787, -93.203, -16.216, 48.175, -216.213, 187.987, 26.173, 24.26,,,,,,,,,,,,,,,,
 14:15:12.855,COM12,, 0.2964, -0.9399, -0.0190, 10.1929, 4.6387, -1.4038, -91.170, -16.436, 47.906, -216.280, 172.840, 22.407, 24.26,,,,,,,,,,,,,,,,
 14:15:12.951,COM12,, 0.3794, -0.9692, 0.0005, 7.1411, -2.3804, -5.8594, -90.110, -17.051, 47.263, -216.287, 167.720, 21.967, 24.27,,,,,,,,,,,,,,,,
 14:15:13.063,COM12,, 0.2910, -0.9302, 0.1123, 17.7612, 0.4272, -8.7280, -87.352, -18.842, 48.576, -216.287, 177.253, 26.633, 24.26,,,,,,,,,,,,,,,,
 14:15:13.157,COM12,, 0.3403, -0.9180, 0.1050, -31.7993, 17.9443, 19.8975, -88.033, -17.897, 47.840, -216.287, 162.780, 21.120, 24.29,,,,,,,,,,,,,,,,
 14:15:13.251,COM12,, 0.3809, -0.9668, -0.0098, 41.4429, -32.8369, -15.0757, -88.253, -17.292, 48.851, -216.287, 152.680, 16.180, 24.24,,,,,,,,,,,,,,,,
 14:15:13.361,COM12,, 0.3091, -0.9048, 0.1284, -6.7139, 5.3711, 4.9438, -86.611, -18.402, 49.005, -216.287, 150.700, 15.260, 24.24,,,,,,,,,,,,,,,,
 14:15:13.454,COM12,, 0.2871, -1.0132, -0.0464, -26.9165, 1.4648, 14.7705, -89.346, -16.919, 47.725, -216.287, 131.093, 9.300, 24.26,,,,,,,,,,,,,,,,
 14:15:13.549,COM12,, 0.2402, -0.9419, 0.0010, -12.0239, -7.2632, 9.0332, -90.582, -16.117, 48.186, -216.287, 129.347, 8.340, 24.29,,,,,,,,,,,,,,,,
 14:15:13.659,COM12,, 0.2197, -0.9727, -0.0571, -35.4614, -12.5732, 24.9634, -93.549, -14.046, 49.274, -216.287, 121.773, 10.587, 24.24,,,,,,,,,,,,,,,,
 14:15:13.753,COM12,, 0.2231, -0.9976, -0.1147, -6.1646, -3.9063, 4.4556, -95.685, -12.805, 49.966, -216.287, 110.907, 12.560, 24.26,,,,,,,,,,,,,,,,
 14:15:13.849,COM12,, 0.2056, -0.9673, -0.0928, -3.1128, -1.5259, 4.1504, -95.795, -12.530, 50.158, -216.287, 112.907, 12.700, 24.27,,,,,,,,,,,,,,,,
 14:15:13.959,COM12,, 0.2104, -0.9761, -0.1099, 2.1973, -1.5869, -0.6104, -96.010, -12.294, 50.268, -216.287, 113.160, 12.887, 24.24,,,,,,,,,,,,,,,,
 14:15:14.054,COM12,, 0.2134, -0.9712, -0.1035, 0.9155, -1.2207, -0.7935, -95.872, -12.387, 50.444, -216.287, 117.153, 12.653, 24.26,,,,,,,,,,,,,,,,
