Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:00:43.342,COM12,, 0.3208, -0.8354, 0.0542, -24.1699, -4.3335, 26.2451, -90.439, -25.686, 127.590, -93.147, 9.427, 97.220, 26.69,,,,,,,,,,,,,,,,
 01:00:43.453,COM12,, 0.4116, -0.9458, -0.0679, 17.0898, -13.4277, 1.8921, -91.846, -23.379, 127.831, -96.920, 176.227, 92.113, 26.69,,,,,,,,,,,,,,,,
 01:00:43.548,COM12,, 0.4995, -0.8516, 0.0464, 25.8789, 8.4229, -24.4141, -89.868, -24.873, 128.469, -91.140, 170.227, 72.913, 26.69,,,,,,,,,,,,,,,,
 01:00:43.644,COM12,, 0.4570, -0.9028, 0.0962, 2.0752, 9.6436, -3.0518, -87.792, -26.202, 126.771, -86.233, 168.980, 68.000, 26.69,,,,,,,,,,,,,,,,
 01:00:43.755,COM12,, 0.4678, -0.9238, 0.0239, 9.7046, -7.6904, -2.9297, -87.682, -26.433, 126.859, -85.373, 172.253, 67.780, 26.66,,,,,,,,,,,,,,,,
 01:00:43.850,COM12,, 0.4771, -0.8750, 0.0815, 11.3525, 0.6714, 2.1362, -86.287, -26.625, 127.332, -80.007, 167.207, 62.713, 26.67,,,,,,,,,,,,,,,,
 01:00:43.946,COM12,, 0.5684, -0.9067, 0.0918, 9.0942, 15.5029, -18.8599, -86.056, -26.329, 126.425, -72.867, 162.560, 60.887, 26.70,,,,,,,,,,,,,,,,
 01:00:44.041,COM12,, 0.4932, -0.8530, 0.1841, 34.9121, -17.1509, -33.2642, -83.958, -28.636, 126.573, -75.347, 155.707, 53.320, 26.69,,,,,,,,,,,,,,,,
 01:00:44.153,COM12,, 0.5884, -0.8813, 0.0913, 2.9297, -7.0190, 0.3052, -82.408, -31.091, 128.458, -89.853, 152.400, 43.487, 26.69,,,,,,,,,,,,,,,,
 01:00:44.249,COM12,, 0.3838, -0.8452, 0.1816, -53.2837, 8.7891, 31.7993, -84.331, -29.350, 128.518, -92.040, 158.913, 48.727, 26.66,,,,,,,,,,,,,,,,
 01:00:44.343,COM12,, 0.4795, -0.8936, -0.0225, -34.0576, 22.7051, -2.0142, -89.132, -26.917, 127.436, -102.673, 177.860, 67.140, 26.73,,,,,,,,,,,,,,,,
 01:00:44.455,COM12,, 0.6641, -0.8853, 0.0444, 46.3867, -16.8457, -13.9160, -87.737, -28.416, 126.376, -112.333, 186.447, 72.380, 26.69,,,,,,,,,,,,,,,,
 01:00:44.551,COM12,, 0.5239, -0.6807, 0.2773, 76.1108, -16.8457, -23.1323, -80.673, -30.822, 128.595, -91.113, 167.467, 51.420, 26.69,,,,,,,,,,,,,,,,
 01:00:44.647,COM12,, 0.5327, -0.8154, 0.1807, -17.3950, -1.3428, 10.9863, -80.266, -30.701, 129.166, -81.887, 156.653, 40.253, 26.69,,,,,,,,,,,,,,,,
 01:00:44.742,COM12,, 0.4961, -0.8418, 0.1484, -28.8696, -1.2207, 19.1040, -82.562, -29.471, 129.798, -80.520, 164.907, 46.820, 26.72,,,,,,,,,,,,,,,,
 01:00:44.853,COM12,, 0.4912, -0.8745, 0.1040, -13.8550, -1.0376, 8.9722, -84.666, -28.361, 130.204, -83.140, 173.867, 55.940, 26.67,,,,,,,,,,,,,,,,
