Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:06:42.988,COM12,, 0.3589, -0.8760, 0.3594, -0.4883, 1.2207, 0.7324, -67.928, -18.913, -114.955, -139.473, 71.380, -52.333, 28.75,,,,,,,,,,,,,,,,
 23:06:43.083,COM12,, 0.3091, -0.9243, 0.3540, -1.4648, 7.0801, 12.9395, -68.049, -18.413, -115.131, -137.513, 69.427, -51.607, 28.75,,,,,,,,,,,,,,,,
 23:06:43.193,COM12,, 0.2617, -0.9668, 0.3745, -16.1133, 2.9297, 10.7422, -68.818, -17.457, -115.186, -128.067, 60.840, -47.047, 28.75,,,,,,,,,,,,,,,,
 23:06:43.289,COM12,, 0.2964, -0.8853, 0.3408, -4.1504, 12.3901, -2.7466, -68.967, -16.793, -116.164, -118.747, 50.367, -43.647, 28.72,,,,,,,,,,,,,,,,
 23:06:43.383,COM12,, 0.2881, -0.9277, 0.3398, 3.4180, 11.1694, 0.9766, -68.939, -16.617, -117.202, -118.113, 49.153, -45.413, 28.71,,,,,,,,,,,,,,,,
 23:06:43.479,COM12,, 0.3179, -0.8745, 0.3672, 5.4321, 10.9253, -6.5308, -68.324, -16.501, -117.719, -114.767, 57.100, -48.953, 28.71,,,,,,,,,,,,,,,,
 23:06:43.635,COM12,, 0.3335, -0.8892, 0.3657, 5.6763, 4.0894, -10.0708, -67.527, -16.946, -118.746, -109.407, 63.993, -52.227, 28.72,,,,,,,,,,,,,,,,
 23:06:43.687,COM12,, 0.3062, -0.8721, 0.3945, 1.3428, 7.9956, -10.0098, -67.143, -17.430, -119.619, -105.467, 66.393, -54.353, 28.71,,,,,,,,,,,,,,,,
 23:06:43.783,COM12,, 0.3042, -0.9077, 0.3696, 11.7188, 9.9487, -19.1040, -66.412, -18.105, -121.146, -103.493, 63.560, -56.340, 28.74,,,,,,,,,,,,,,,,
 23:06:43.879,COM12,, 0.5400, -0.8154, 0.4214, 20.3247, -7.2632, -0.9155, -64.204, -19.330, -122.283, -97.913, 64.313, -58.893, 28.77,,,,,,,,,,,,,,,,
 23:06:43.988,COM12,, 0.2642, -0.7256, 0.5200, 16.3574, -14.2822, -17.3950, -62.908, -21.022, -119.174, -95.847, 71.340, -56.407, 28.69,,,,,,,,,,,,,,,,
 23:06:44.083,COM12,, 0.4209, -0.8843, 0.3618, -28.3203, 31.6162, -2.9907, -62.737, -20.951, -123.052, -96.253, 48.533, -52.600, 28.75,,,,,,,,,,,,,,,,
 23:06:44.178,COM12,, 0.1362, -0.7832, 0.4360, 10.3149, -48.6450, 7.2021, -63.155, -20.435, -123.580, -93.247, 39.293, -52.347, 28.72,,,,,,,,,,,,,,,,
 23:06:44.293,COM12,, 0.5952, -1.0010, 0.3120, 32.7148, -54.3823, 6.7749, -62.666, -22.588, -118.691, -105.347, 40.687, -48.660, 28.75,,,,,,,,,,,,,,,,
 23:06:44.389,COM12,, 0.5215, -0.6372, 0.5557, 26.0010, -11.7798, 9.0332, -60.529, -23.544, -114.164, -102.580, 70.620, -47.493, 28.72,,,,,,,,,,,,,,,,
 23:06:44.488,COM12,, 0.2061, -0.8047, 0.4951, -61.0962, 1.7090, 60.9131, -63.946, -20.242, -112.967, -99.760, 88.933, -47.780, 28.75,,,,,,,,,,,,,,,,
 23:06:44.588,COM12,, 0.2710, -1.0122, 0.2832, -40.7715, 8.1177, 27.9541, -69.192, -16.534, -113.066, -117.573, 73.973, -44.427, 28.72,,,,,,,,,,,,,,,,
 23:06:44.683,COM12,, 0.2798, -0.9199, 0.3345, 8.4839, 7.5073, -6.0425, -69.395, -15.941, -113.571, -121.700, 62.373, -42.113, 28.72,,,,,,,,,,,,,,,,
 23:06:44.856,COM12,, 0.2588, -0.8682, 0.3638, -0.8545, 0.8545, -2.5024, -68.807, -16.359, -113.994, -116.973, 60.973, -42.840, 28.72,,,,,,,,,,,,,,,,
 23:06:44.887,COM12,, 0.2935, -0.9058, 0.3301, 0.5493, 0.8545, -0.1221, -69.099, -16.227, -114.022, -118.547, 60.367, -43.607, 28.72,,,,,,,,,,,,,,,,
 23:06:44.983,COM12,, 0.2847, -0.8921, 0.3423, -2.2583, 1.0986, 0.1221, -69.142, -16.276, -113.961, -120.267, 62.160, -44.453, 28.75,,,,,,,,,,,,,,,,
 23:06:45.082,COM12,, 0.2813, -0.9146, 0.3354, 0.1221, -2.1362, -0.1831, -69.362, -16.243, -113.840, -122.700, 62.760, -45.053, 28.74,,,,,,,,,,,,,,,,
 23:06:45.183,COM12,, 0.2739, -0.8989, 0.3447, 0.0610, -0.6714, -1.2817, -69.274, -16.408, -113.807, -124.773, 63.013, -45.520, 28.75,,,,,,,,,,,,,,,,
