Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:25:02.512,COM12,, 0.3682, -0.8555, 0.3745, -0.2441, 0.1831, 0.0000, -66.484, -21.121, -151.655, -46.707, 37.620, -61.647, 29.52,,,,,,,,,,,,,,,,
 23:25:02.606,COM12,, 0.3267, -0.8594, 0.3774, -2.1362, 1.8921, 0.0000, -66.539, -21.105, -151.754, -46.853, 37.453, -61.647, 29.55,,,,,,,,,,,,,,,,
 23:25:02.715,COM12,, 0.3765, -0.8491, 0.3643, 0.0000, 4.9438, 0.8545, -66.412, -20.912, -152.221, -46.873, 36.053, -62.340, 29.52,,,,,,,,,,,,,,,,
 23:25:02.808,COM12,, 0.3550, -0.8555, 0.3857, -1.8311, 2.0752, -1.9531, -66.324, -20.989, -152.419, -47.047, 34.807, -63.547, 29.54,,,,,,,,,,,,,,,,
 23:25:02.918,COM12,, 0.3032, -0.8604, 0.3804, -6.4087, 8.3008, -3.6011, -66.418, -21.055, -152.853, -49.060, 34.013, -64.547, 29.55,,,,,,,,,,,,,,,,
 23:25:03.012,COM12,, 0.2988, -0.8613, 0.3511, -0.1831, 9.3384, -4.1504, -66.253, -21.061, -153.759, -51.220, 31.700, -66.553, 29.57,,,,,,,,,,,,,,,,
 23:25:03.107,COM12,, 0.3667, -0.8418, 0.3540, 8.9722, -1.2207, 1.8311, -65.852, -20.912, -153.913, -50.480, 31.733, -67.713, 29.55,,,,,,,,,,,,,,,,
 23:25:03.216,COM12,, 0.5259, -0.8330, 0.4092, 11.1694, -3.1738, -8.4839, -64.907, -21.379, -153.441, -48.087, 34.300, -67.800, 29.52,,,,,,,,,,,,,,,,
 23:25:03.311,COM12,, 0.3081, -0.7266, 0.5132, 0.4883, 23.9868, -18.2495, -63.578, -22.714, -154.495, -48.740, 35.433, -68.900, 29.55,,,,,,,,,,,,,,,,
 23:25:03.406,COM12,, 0.5303, -0.9199, 0.2939, 7.2632, -8.7280, 0.1221, -64.067, -23.368, -156.088, -55.827, 29.187, -72.520, 29.54,,,,,,,,,,,,,,,,
 23:25:03.516,COM12,, 0.5078, -0.7148, 0.4697, 44.6167, -45.4102, 10.8643, -62.792, -23.719, -151.765, -52.627, 31.980, -68.487, 29.57,,,,,,,,,,,,,,,,
 23:25:03.612,COM12,, 0.3428, -0.6758, 0.5161, -10.1318, 19.0430, -22.0947, -61.661, -24.944, -152.117, -50.233, 31.320, -65.787, 29.55,,,,,,,,,,,,,,,,
 23:25:03.705,COM12,, 0.3530, -0.8721, 0.3516, 4.3945, -10.1929, 10.9253, -62.496, -25.016, -153.364, -58.007, 26.573, -67.940, 29.54,,,,,,,,,,,,,,,,
 23:25:03.816,COM12,, 0.3804, -0.8032, 0.4111, -16.2964, 15.9912, 25.3906, -63.303, -23.209, -152.759, -54.953, 29.267, -67.040, 29.55,,,,,,,,,,,,,,,,
 23:25:03.910,COM12,, 0.5693, -0.8101, 0.4102, 6.0425, 2.6245, 4.2725, -64.039, -21.478, -152.622, -48.607, 34.093, -66.753, 29.55,,,,,,,,,,,,,,,,
 23:25:04.007,COM12,, 0.3325, -0.6392, 0.5708, -0.1221, 21.0571, -38.9404, -62.199, -23.242, -153.864, -47.560, 33.307, -67.673, 29.54,,,,,,,,,,,,,,,,
 23:25:04.100,COM12,, 0.4414, -0.9019, 0.3281, -9.4604, -0.4272, 4.5166, -62.578, -24.472, -156.742, -56.753, 23.033, -72.207, 29.51,,,,,,,,,,,,,,,,
 23:25:04.211,COM12,, 0.3901, -0.7803, 0.4507, -0.7324, -0.8545, 13.2446, -63.127, -23.489, -155.945, -57.693, 22.253, -72.607, 29.52,,,,,,,,,,,,,,,,
 23:25:04.306,COM12,, 0.3564, -0.8408, 0.4111, -12.6953, 1.7090, 11.9629, -64.358, -22.516, -155.204, -55.320, 23.913, -71.207, 29.54,,,,,,,,,,,,,,,,
 23:25:04.401,COM12,, 0.3589, -0.8618, 0.3809, 0.9766, -2.3804, 1.7700, -65.028, -21.973, -154.995, -55.313, 24.353, -70.640, 29.55,,,,,,,,,,,,,,,,
 23:25:04.512,COM12,, 0.3662, -0.8223, 0.3994, 1.4038, -1.2817, 1.0376, -64.803, -21.929, -154.825, -54.373, 25.033, -70.127, 29.54,,,,,,,,,,,,,,,,
 23:25:04.608,COM12,, 0.3687, -0.8232, 0.3955, 2.9907, -1.0986, 1.3428, -64.627, -21.824, -154.748, -53.293, 26.273, -70.100, 29.55,,,,,,,,,,,,,,,,
 23:25:04.702,COM12,, 0.3789, -0.8286, 0.4009, 0.4883, -0.3052, 0.0000, -64.545, -21.890, -154.611, -52.720, 27.107, -69.620, 29.54,,,,,,,,,,,,,,,,
