Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:57:28.563,COM12,, 0.3979, -0.9258, 0.0977, 2.6245, 0.1221, -0.1221, -85.946, -21.780, 35.101, -209.800, 121.300, -14.620, 28.41,,,,,,,,,,,,,,,,
 17:57:28.657,COM12,, 0.3882, -0.9141, 0.0864, 1.4648, 0.4883, 0.4272, -85.913, -21.654, 35.228, -205.840, 119.687, -15.067, 28.38,,,,,,,,,,,,,,,,
 17:57:28.752,COM12,, 0.3657, -0.9341, 0.0972, 5.6763, -1.4038, -2.4414, -85.853, -21.478, 35.294, -200.813, 116.133, -16.593, 28.41,,,,,,,,,,,,,,,,
 17:57:28.863,COM12,, 0.4038, -0.9272, 0.0830, 13.1226, -1.7090, -5.4321, -85.062, -21.698, 35.475, -192.160, 114.807, -15.280, 28.38,,,,,,,,,,,,,,,,
 17:57:28.958,COM12,, 0.5854, -0.9023, 0.1304, 19.0430, -13.4888, -18.2495, -83.595, -22.928, 36.205, -175.067, 117.260, -7.127, 28.38,,,,,,,,,,,,,,,,
 17:57:29.052,COM12,, 0.4673, -0.7432, 0.2993, 15.2588, -0.7324, -24.9634, -80.392, -26.664, 35.870, -155.780, 121.233, 1.880, 28.42,,,,,,,,,,,,,,,,
 17:57:29.151,COM12,, 0.3862, -0.8838, 0.2134, -13.0005, 57.0679, 15.0757, -79.876, -25.818, 33.596, -148.580, 118.713, -7.233, 28.39,,,,,,,,,,,,,,,,
 17:57:29.261,COM12,, 0.4668, -0.8569, 0.1416, 1.3428, 0.9766, -1.8921, -78.228, -24.395, 28.537, -145.060, 92.173, -45.607, 28.38,,,,,,,,,,,,,,,,
 17:57:29.356,COM12,, 0.4536, -0.9019, 0.2114, 8.1177, -60.9741, -20.5078, -78.431, -26.642, 31.635, -151.727, 75.067, -54.507, 28.39,,,,,,,,,,,,,,,,
 17:57:29.452,COM12,, 0.3633, -0.8916, 0.2041, 2.4414, -11.2915, 14.2822, -79.492, -27.713, 34.980, -166.947, 73.407, -41.393, 28.39,,,,,,,,,,,,,,,,
 17:57:29.571,COM12,, 0.4272, -0.9229, 0.1431, -25.4517, 14.5874, 34.2407, -81.535, -23.665, 35.535, -160.313, 94.360, -28.267, 28.39,,,,,,,,,,,,,,,,
 17:57:29.652,COM12,, 0.4795, -0.8638, 0.1567, 21.9116, 10.9253, -33.4473, -80.250, -24.846, 34.695, -150.307, 114.427, -16.773, 28.38,,,,,,,,,,,,,,,,
 17:57:29.748,COM12,, 0.4180, -0.8374, 0.1704, -21.4233, 17.9443, -6.9580, -80.294, -26.246, 32.426, -164.600, 78.707, -45.707, 28.38,,,,,,,,,,,,,,,,
 17:57:29.856,COM12,, 0.4302, -0.9307, 0.1191, -2.5024, 1.1597, 4.5776, -81.837, -25.692, 32.910, -184.780, 19.260, -91.240, 28.38,,,,,,,,,,,,,,,,
 17:57:29.976,COM12,, 0.3896, -0.8701, 0.1611, -4.3335, -4.7607, 18.9819, -82.112, -24.505, 33.322, -191.733, 15.107, -97.820, 28.38,,,,,,,,,,,,,,,,
 17:57:30.054,COM12,, 0.3892, -0.9263, 0.1201, -10.4980, -2.3193, 12.8174, -83.375, -22.989, 34.047, -197.980, 19.753, -99.353, 28.39,,,,,,,,,,,,,,,,
 17:57:30.151,COM12,, 0.3828, -0.9248, 0.1187, 0.3052, -2.8076, 3.7842, -83.688, -22.363, 34.360, -199.313, 20.993, -100.627, 28.38,,,,,,,,,,,,,,,,
 17:57:30.261,COM12,, 0.3809, -0.9253, 0.1191, -1.4038, 1.5259, 3.8452, -83.820, -21.984, 34.552, -199.680, 24.013, -99.760, 28.36,,,,,,,,,,,,,,,,
 17:57:30.356,COM12,, 0.3882, -0.9063, 0.1235, 0.1831, -2.1973, 0.3052, -83.727, -21.863, 34.662, -199.913, 25.007, -100.020, 28.39,,,,,,,,,,,,,,,,
