Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:03:02.617,COM12,, 0.1895, -0.9775, -0.0957, -0.6714, -0.9155, 1.8311, -95.812, -10.267, -10.596, -177.873, 118.913, -85.033, 28.92,,,,,,,,,,,,,,,,
 18:03:02.728,COM12,, 0.1729, -0.9692, -0.0830, -1.2817, -1.2817, 4.2114, -95.702, -10.146, -10.596, -175.007, 118.033, -84.993, 28.95,,,,,,,,,,,,,,,,
 18:03:02.823,COM12,, 0.1899, -0.9683, -0.0845, 5.0049, -1.7090, -2.0142, -95.746, -9.921, -10.421, -173.560, 118.080, -85.167, 28.94,,,,,,,,,,,,,,,,
 18:03:02.920,COM12,, 0.2695, -0.9771, -0.0742, 14.0381, -9.7046, -13.0005, -95.081, -10.486, -9.794, -173.793, 118.267, -80.887, 28.91,,,,,,,,,,,,,,,,
 18:03:03.015,COM12,, 0.3115, -0.9624, -0.0522, 21.1792, -16.9067, -21.4844, -93.307, -12.365, -8.344, -176.293, 122.680, -60.020, 28.94,,,,,,,,,,,,,,,,
 18:03:03.142,COM12,, 0.3101, -0.9385, 0.0024, 26.9775, -23.4985, -21.5454, -91.379, -14.480, -6.037, -171.493, 132.493, -26.760, 28.94,,,,,,,,,,,,,,,,
 18:03:03.222,COM12,, 0.2891, -0.9478, 0.0435, 10.4980, -12.8174, -10.6812, -90.033, -15.919, -4.202, -160.127, 141.400, -1.987, 28.92,,,,,,,,,,,,,,,,
 18:03:03.319,COM12,, 0.1826, -0.9673, -0.0415, -9.4604, 9.1553, 28.1372, -90.357, -15.227, -3.466, -159.127, 143.953, -0.273, 28.92,,,,,,,,,,,,,,,,
 18:03:03.414,COM12,, 0.2598, -0.9800, 0.0210, 28.4424, 28.1372, -5.0659, -88.358, -14.425, -5.768, -151.427, 126.447, -26.393, 28.94,,,,,,,,,,,,,,,,
 18:03:03.510,COM12,, 0.2310, -0.9883, 0.0674, -26.1230, 12.3291, 20.0806, -87.352, -13.420, -7.806, -136.627, 117.520, -39.713, 28.92,,,,,,,,,,,,,,,,
 18:03:03.652,COM12,, 0.2422, -0.9805, -0.0190, 8.4839, -12.2681, 3.7842, -88.259, -12.288, -7.784, -132.807, 129.340, -35.487, 28.94,,,,,,,,,,,,,,,,
 18:03:03.715,COM12,, 0.2568, -0.9912, 0.1128, 24.3530, 3.6621, -12.2070, -86.633, -12.821, -7.141, -115.827, 140.080, -17.613, 28.94,,,,,,,,,,,,,,,,
 18:03:03.824,COM12,, 0.2603, -0.9619, 0.1240, -14.6484, 8.8501, 7.0190, -85.688, -13.381, -7.828, -108.300, 148.113, -16.033, 28.95,,,,,,,,,,,,,,,,
 18:03:03.913,COM12,, 0.2759, -0.9380, -0.0088, -1.7090, -4.2725, 4.1504, -85.798, -12.761, -8.937, -108.147, 156.060, -25.507, 28.94,,,,,,,,,,,,,,,,
 18:03:04.024,COM12,, 0.2246, -0.9644, 0.1514, 12.2681, -45.2271, -12.7563, -85.452, -13.821, -5.768, -100.107, 153.080, -16.367, 28.92,,,,,,,,,,,,,,,,
 18:03:04.119,COM12,, 0.2417, -0.9658, 0.0947, -6.1035, 29.7852, 10.0708, -84.776, -14.046, -5.894, -99.027, 148.633, -13.087, 28.94,,,,,,,,,,,,,,,,
