Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:10:28.614,COM12,, 0.5112, -0.7407, 0.4282, -0.6714, 0.3052, 0.6714, -59.925, -31.273, -116.411, -62.487, 167.267, -51.613, 28.45,,,,,,,,,,,,,,,,
 18:10:28.767,COM12,, 0.5220, -0.7393, 0.4224, -1.1597, 1.8311, 2.0752, -59.958, -31.196, -116.433, -62.620, 166.607, -51.347, 28.45,,,,,,,,,,,,,,,,
 18:10:28.815,COM12,, 0.5059, -0.7427, 0.4385, 0.7935, 4.1504, 0.6104, -59.815, -30.932, -116.675, -62.713, 165.660, -51.727, 28.42,,,,,,,,,,,,,,,,
 18:10:28.915,COM12,, 0.5122, -0.7744, 0.4326, -1.8311, 10.0098, 7.0190, -59.925, -30.130, -116.993, -63.180, 164.280, -51.847, 28.45,,,,,,,,,,,,,,,,
 18:10:29.011,COM12,, 0.4775, -0.7769, 0.4497, 1.4648, 27.5879, 1.9531, -59.343, -28.998, -118.207, -63.200, 156.780, -52.460, 28.48,,,,,,,,,,,,,,,,
 18:10:29.122,COM12,, 0.4644, -0.7295, 0.4917, 10.2539, 9.6436, -12.8784, -57.299, -28.790, -120.361, -60.587, 138.960, -54.833, 28.42,,,,,,,,,,,,,,,,
 18:10:29.236,COM12,, 0.5479, -0.7266, 0.5034, 26.3062, 5.9204, -31.6772, -54.849, -29.927, -122.399, -56.700, 122.153, -58.460, 28.45,,,,,,,,,,,,,,,,
 18:10:29.315,COM12,, 0.5522, -0.6279, 0.5264, 29.4189, -0.7935, -29.2969, -50.999, -32.333, -124.563, -50.767, 106.367, -63.453, 28.45,,,,,,,,,,,,,,,,
 18:10:29.411,COM12,, 0.5894, -0.6270, 0.5586, 27.8320, -2.1362, -23.9868, -47.802, -33.992, -126.409, -45.640, 93.687, -67.507, 28.45,,,,,,,,,,,,,,,,
 18:10:29.538,COM12,, 0.6895, -0.5166, 0.5996, 27.8320, -4.2725, -22.0947, -43.495, -36.041, -128.436, -39.613, 83.513, -71.153, 28.45,,,,,,,,,,,,,,,,
 18:10:29.617,COM12,, 0.5894, -0.4497, 0.6177, -0.0610, 4.6387, -12.9395, -40.919, -37.321, -130.314, -35.467, 80.813, -74.713, 28.42,,,,,,,,,,,,,,,,
 18:10:29.712,COM12,, 0.6689, -0.5171, 0.6143, 2.0752, 1.0986, -25.5127, -40.237, -38.002, -132.495, -39.533, 78.753, -75.033, 28.42,,,,,,,,,,,,,,,,
 18:10:29.821,COM12,, 0.5977, -0.5220, 0.6323, 20.1416, 1.6479, -25.4517, -36.766, -40.243, -136.357, -45.513, 74.047, -76.607, 28.47,,,,,,,,,,,,,,,,
 18:10:29.916,COM12,, 0.7217, -0.4995, 0.5908, 39.9170, -15.3198, 16.9678, -34.629, -40.106, -137.137, -39.040, 69.740, -78.787, 28.44,,,,,,,,,,,,,,,,
 18:10:30.012,COM12,, 0.7676, -0.2998, 0.6284, 28.1982, -28.8696, 25.2075, -33.497, -40.781, -133.319, -29.480, 67.407, -81.380, 28.44,,,,,,,,,,,,,,,,
 18:10:30.121,COM12,, 0.6221, -0.2119, 0.6797, -16.4795, 0.8545, -16.3574, -33.283, -42.056, -131.759, -32.980, 68.113, -79.053, 28.45,,,,,,,,,,,,,,,,
 18:10:30.219,COM12,, 0.6719, -0.5737, 0.6021, -25.9399, 8.0566, -6.4697, -34.618, -42.369, -134.742, -48.380, 70.193, -74.667, 28.45,,,,,,,,,,,,,,,,
 18:10:30.317,COM12,, 0.6787, -0.3994, 0.6094, -3.4790, 0.5493, 2.1362, -34.761, -42.127, -135.439, -55.000, 70.187, -74.520, 28.44,,,,,,,,,,,,,,,,
 18:10:30.415,COM12,, 0.6704, -0.4175, 0.6138, -2.0142, -1.2817, 5.0049, -35.414, -41.962, -134.863, -57.347, 71.507, -74.580, 28.47,,,,,,,,,,,,,,,,
 18:10:30.510,COM12,, 0.5928, -0.3550, 0.6284, -37.6587, 9.8877, 45.6543, -38.414, -40.237, -132.803, -60.413, 74.527, -73.793, 28.42,,,,,,,,,,,,,,,,
 18:10:30.620,COM12,, 0.6187, -0.6025, 0.5713, -25.2686, 3.2959, 24.9634, -44.006, -37.425, -129.276, -68.807, 81.847, -70.613, 28.44,,,,,,,,,,,,,,,,
 18:10:30.723,COM12,, 0.6021, -0.5640, 0.5771, 6.4697, 0.0000, -4.0894, -44.264, -37.271, -129.034, -73.160, 84.720, -69.540, 28.41,,,,,,,,,,,,,,,,
 18:10:30.817,COM12,, 0.6113, -0.5571, 0.5737, -3.1738, -0.2441, 1.8311, -44.209, -37.150, -128.952, -73.033, 85.493, -69.667, 28.45,,,,,,,,,,,,,,,,
 18:10:30.915,COM12,, 0.6006, -0.5488, 0.5742, 0.9766, 0.9155, -0.6714, -44.225, -37.205, -128.886, -73.267, 86.020, -69.413, 28.41,,,,,,,,,,,,,,,,
 18:10:31.009,COM12,, 0.6182, -0.5464, 0.5684, -0.3052, 0.4883, -0.1831, -44.187, -37.200, -128.914, -73.347, 85.900, -69.380, 28.45,,,,,,,,,,,,,,,,
