Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:51:01.380,COM12,, 0.3604, -0.8193, 0.4570, 0.0000, 0.6714, -0.1221, -61.100, -21.094, 177.539, -27.340, 52.813, -48.360, 29.92,,,,,,,,,,,,,,,,
 21:51:01.491,COM12,, 0.3496, -0.8208, 0.4595, -1.3428, 0.0000, 1.3428, -61.183, -21.017, 177.803, -27.100, 52.840, -48.400, 29.93,,,,,,,,,,,,,,,,
 21:51:01.585,COM12,, 0.3579, -0.8179, 0.4536, -1.4038, 0.1831, 0.7324, -61.298, -20.912, 178.061, -27.100, 52.653, -48.047, 29.96,,,,,,,,,,,,,,,,
 21:51:01.681,COM12,, 0.3511, -0.8208, 0.4570, 2.3193, -0.5493, -1.0376, -61.144, -20.973, 178.319, -27.040, 52.467, -48.267, 29.98,,,,,,,,,,,,,,,,
 21:51:01.791,COM12,, 0.3555, -0.8096, 0.4595, 2.1362, -0.8545, -0.6714, -60.897, -21.039, 178.572, -26.893, 52.200, -48.653, 29.93,,,,,,,,,,,,,,,,
 21:51:01.887,COM12,, 0.3599, -0.8120, 0.4604, 1.3428, -0.4272, -1.4648, -60.727, -21.121, 178.715, -26.700, 51.967, -48.900, 29.98,,,,,,,,,,,,,,,,
 21:51:01.984,COM12,, 0.3779, -0.8086, 0.4678, 8.1177, 0.1831, -5.8594, -60.216, -21.346, 178.610, -26.493, 51.153, -49.213, 29.96,,,,,,,,,,,,,,,,
 21:51:02.081,COM12,, 0.4146, -0.8315, 0.4844, 38.3301, -5.1880, -2.1362, -57.920, -22.110, 178.555, -26.600, 47.613, -50.773, 29.96,,,,,,,,,,,,,,,,
 21:51:02.177,COM12,, 0.4209, -0.7861, 0.5381, 30.7007, 0.8545, -13.6108, -55.404, -22.989, 178.638, -25.747, 42.713, -53.120, 29.93,,,,,,,,,,,,,,,,
 21:51:02.278,COM12,, 0.4458, -0.7104, 0.5747, 28.3203, 4.1504, -33.5693, -51.932, -24.763, 176.666, -24.680, 36.887, -57.200, 29.96,,,,,,,,,,,,,,,,
