Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:51:49.768,COM12,, 0.2598, -0.9214, 0.3076, 0.2441, -0.0610, 0.0610, -71.246, -14.738, -98.476, -98.393, 106.880, 9.553, 29.84,,,,,,,,,,,,,,,,
 21:51:49.864,COM12,, 0.3862, -0.9063, 0.3115, -0.5493, 2.1973, 2.8076, -71.219, -14.628, -98.536, -97.893, 106.600, 9.280, 29.83,,,,,,,,,,,,,,,,
 21:51:49.959,COM12,, 0.1494, -0.9351, 0.3774, -5.3101, 34.3628, -2.8687, -71.120, -14.112, -99.141, -97.753, 102.980, 7.433, 29.81,,,,,,,,,,,,,,,,
 21:51:50.071,COM12,, 0.2222, -0.8857, 0.2046, 1.1597, 26.2451, -11.5356, -71.428, -15.040, -101.992, -100.693, 94.040, 3.587, 29.83,,,,,,,,,,,,,,,,
 21:51:50.156,COM12,, 0.2744, -0.8604, 0.2949, -5.5542, 22.4609, -12.2070, -70.417, -15.480, -103.975, -101.340, 95.700, 2.007, 29.81,,,,,,,,,,,,,,,,
 21:51:50.266,COM12,, 0.2285, -0.8545, 0.3408, 28.2593, 2.9907, -5.1270, -69.027, -16.024, -104.442, -99.420, 90.233, -1.913, 29.75,,,,,,,,,,,,,,,,
 21:51:50.361,COM12,, 0.3223, -0.8477, 0.3350, 15.0757, -22.9492, 4.6387, -66.522, -16.556, -102.903, -91.120, 74.347, -13.667, 29.80,,,,,,,,,,,,,,,,
 21:51:50.457,COM12,, 0.3442, -0.8877, 0.4038, 14.9536, 2.0142, -6.1646, -65.264, -17.628, -102.085, -88.753, 74.987, -17.367, 29.84,,,,,,,,,,,,,,,,
 21:51:50.568,COM12,, 0.3086, -0.8389, 0.4307, -12.6953, 16.2964, -5.8594, -64.704, -17.803, -103.563, -87.620, 74.367, -19.647, 29.81,,,,,,,,,,,,,,,,
 21:51:50.664,COM12,, 0.3428, -0.9023, 0.3955, 5.4321, 11.8408, -8.9722, -65.072, -17.935, -105.079, -90.613, 72.573, -21.153, 29.78,,,,,,,,,,,,,,,,
