Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:18:05.397,COM12,, 0.3057, -0.9204, 0.2461, 28.3203, -39.6729, 1.0376, -74.718, -19.325, -139.362, 185.740, -86.993, 48.413, 28.78,,,,,,,,,,,,,,,,
 20:18:05.476,COM12,, 0.4463, -0.8896, 0.2549, 14.4653, -3.7842, 0.0000, -72.762, -20.341, -138.060, 171.307, -100.300, 24.000, 28.75,,,,,,,,,,,,,,,,
 20:18:05.592,COM12,, 0.3628, -0.9463, 0.3828, 33.3252, 12.8174, -28.1982, -70.593, -20.594, -139.092, 198.487, -139.467, 1.147, 28.80,,,,,,,,,,,,,,,,
 20:18:05.672,COM12,, 0.3306, -0.9185, 0.3159, -10.3760, 18.7988, 4.8828, -69.955, -20.462, -140.598, 204.927, -150.140, -3.640, 28.78,,,,,,,,,,,,,,,,
 20:18:05.808,COM12,, 0.3481, -0.8896, 0.3228, -2.7466, 13.2446, -4.0894, -69.972, -19.962, -142.614, 196.853, -130.893, 5.287, 28.80,,,,,,,,,,,,,,,,
 20:18:05.871,COM12,, 0.3730, -0.8750, 0.3281, 6.8970, 8.1177, -8.4229, -69.263, -20.380, -143.822, 180.507, -124.600, 7.993, 28.75,,,,,,,,,,,,,,,,
 20:18:05.971,COM12,, 0.3877, -0.8794, 0.3540, 11.7798, 5.1880, -15.9302, -68.066, -21.220, -144.948, 161.787, -124.320, 5.800, 28.78,,,,,,,,,,,,,,,,
 20:18:06.082,COM12,, 0.3921, -0.8394, 0.3745, 13.5498, 2.1973, -14.3433, -66.308, -22.516, -146.255, 149.173, -123.067, 5.920, 28.77,,,,,,,,,,,,,,,,
 20:18:06.178,COM12,, 0.4146, -0.8311, 0.4009, 19.4092, 0.9766, -18.6157, -64.528, -23.632, -147.294, 142.087, -123.040, 5.993, 28.75,,,,,,,,,,,,,,,,
 20:18:06.420,COM12,, 0.4614, -0.7261, 0.4204, 8.3008, 2.0752, -4.8828, -62.155, -25.450, -148.189, 134.300, -128.687, 1.840, 28.78,,,,,,,,,,,,,,,,
 20:18:06.420,COM12,, 0.4839, -0.7598, 0.4546, 24.9023, -25.4517, 0.4883, -60.809, -26.422, -145.854, 125.700, -136.620, -8.227, 28.75,,,,,,,,,,,,,,,,
 20:18:06.483,COM12,, 0.4326, -0.7642, 0.4746, -15.0146, 6.8970, 8.2397, -60.793, -26.323, -144.717, 117.873, -144.980, -19.813, 28.78,,,,,,,,,,,,,,,,
 20:18:06.577,COM12,, 0.4253, -0.7778, 0.4468, -24.1699, 17.8833, 2.8687, -62.089, -25.208, -145.574, 125.140, -142.047, -17.040, 28.75,,,,,,,,,,,,,,,,
 20:18:06.672,COM12,, 0.4409, -0.8130, 0.4141, -6.8359, 5.7373, 1.9531, -63.391, -24.560, -146.761, 138.567, -140.127, -7.747, 28.78,,,,,,,,,,,,,,,,
 20:18:06.783,COM12,, 0.4399, -0.8008, 0.4209, -3.1128, 0.0610, -6.7139, -63.671, -24.686, -147.162, 145.447, -140.140, -2.527, 28.81,,,,,,,,,,,,,,,,
 20:18:06.900,COM12,, 0.4297, -0.7915, 0.4136, -13.2446, 3.6621, -6.1035, -64.067, -25.499, -148.002, 158.907, -123.900, 7.427, 28.80,,,,,,,,,,,,,,,,
 20:18:06.979,COM12,, 0.3799, -0.8457, 0.3784, -15.6860, -6.7139, 31.4941, -65.429, -24.780, -147.310, 175.407, -103.147, 19.413, 28.80,,,,,,,,,,,,,,,,
 20:18:07.075,COM12,, 0.4175, -0.8506, 0.3560, 17.5171, -6.2866, 3.9063, -66.385, -22.610, -145.333, 173.320, -108.500, 16.233, 28.77,,,,,,,,,,,,,,,,
 20:18:07.171,COM12,, 0.5313, -0.8198, 0.4146, 20.1416, -1.4648, -18.8599, -64.797, -23.121, -145.300, 153.640, -132.280, -1.440, 28.80,,,,,,,,,,,,,,,,
 20:18:07.300,COM12,, 0.4302, -0.7383, 0.4976, 10.0098, -2.7466, -17.0898, -62.688, -25.054, -145.805, 135.773, -144.767, -13.900, 28.78,,,,,,,,,,,,,,,,
 20:18:07.379,COM12,, 0.4248, -0.7964, 0.4023, -14.7705, 12.3901, -13.1226, -62.814, -26.175, -146.832, 149.140, -128.780, -3.933, 28.75,,,,,,,,,,,,,,,,
 20:18:07.475,COM12,, 0.4038, -0.8076, 0.3970, -11.2915, -2.9297, 14.0381, -63.792, -25.565, -146.519, 168.453, -109.513, 9.213, 28.80,,,,,,,,,,,,,,,,
 20:18:07.625,COM12,, 0.3208, -0.8521, 0.3579, -43.8232, -6.6528, 39.2456, -67.983, -22.725, -144.624, 186.313, -100.587, 16.700, 28.80,,,,,,,,,,,,,,,,
 20:18:07.672,COM12,, 0.3696, -0.9219, 0.2744, -8.5449, -1.4648, 6.7139, -70.895, -20.759, -143.487, 201.433, -88.393, 25.087, 28.77,,,,,,,,,,,,,,,,
 20:18:07.769,COM12,, 0.3496, -0.8672, 0.3130, -1.0986, -0.4883, 2.2583, -70.724, -20.934, -143.454, 209.267, -90.747, 25.820, 28.77,,,,,,,,,,,,,,,,
 20:18:07.899,COM12,, 0.3511, -0.8916, 0.3008, 1.5869, -0.9155, -0.9766, -70.856, -20.792, -143.339, 212.987, -92.613, 25.187, 28.78,,,,,,,,,,,,,,,,
 20:18:07.980,COM12,, 0.3555, -0.8906, 0.2998, -1.4648, -2.2583, 1.5869, -70.961, -20.726, -143.113, 215.193, -94.887, 24.400, 28.81,,,,,,,,,,,,,,,,
