Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:15:47.743,COM12,, 0.2329, -0.9727, -0.2314, -4.6997, 16.2964, 3.3569, -102.892, -13.596, -64.177, -158.167, 97.553, 120.587, 23.82,,,,,,,,,,,,,,,,
 09:15:47.855,COM12,, 0.2480, -0.9468, -0.2368, -7.5684, 22.3999, -3.7231, -102.794, -14.277, -65.457, -172.820, 95.747, 108.147, 23.83,,,,,,,,,,,,,,,,
 09:15:47.950,COM12,, 0.2686, -0.9321, -0.2183, 1.1597, 14.9536, -4.5776, -102.634, -15.276, -66.934, -189.580, 93.887, 91.367, 23.85,,,,,,,,,,,,,,,,
 09:15:48.045,COM12,, 0.2944, -0.9424, -0.2305, 10.2539, 12.8174, -1.5259, -101.926, -15.507, -68.066, -196.660, 97.340, 83.007, 23.80,,,,,,,,,,,,,,,,
 09:15:48.139,COM12,, 0.3481, -0.9492, -0.1719, 17.5781, 14.3433, -13.5498, -100.085, -16.606, -69.340, -188.340, 101.240, 75.867, 23.83,,,,,,,,,,,,,,,,
 09:15:48.249,COM12,, 0.2871, -0.9375, -0.1055, 27.0386, 5.0659, -21.4233, -98.080, -18.364, -69.884, -177.260, 100.407, 64.593, 23.85,,,,,,,,,,,,,,,,
 09:15:48.343,COM12,, 0.3604, -0.9814, -0.1382, 18.4937, 10.4370, -30.1514, -95.828, -21.022, -70.362, -182.793, 96.400, 48.040, 23.83,,,,,,,,,,,,,,,,
 09:15:48.439,COM12,, 0.4087, -0.9414, -0.1133, 32.6538, 20.7520, -24.5972, -92.104, -24.489, -72.087, -194.047, 90.227, 27.173, 23.83,,,,,,,,,,,,,,,,
 09:15:48.549,COM12,, 0.6860, -0.8989, -0.0454, 43.9453, -18.3105, 3.7842, -88.846, -24.500, -71.966, -168.607, 92.987, 20.067, 23.83,,,,,,,,,,,,,,,,
 09:15:48.644,COM12,, 0.3955, -0.8423, 0.2642, 40.2222, -32.1045, -20.9351, -86.078, -25.637, -68.516, -132.740, 90.793, 18.213, 23.80,,,,,,,,,,,,,,,,
 09:15:48.738,COM12,, 0.3252, -0.8901, 0.1050, -30.8228, 16.0522, -3.9063, -84.523, -28.422, -68.560, -133.413, 83.000, 19.580, 23.83,,,,,,,,,,,,,,,,
 09:15:48.850,COM12,, 0.4507, -1.0195, -0.1523, 14.2822, -14.2822, 19.1040, -87.687, -26.439, -69.011, -155.100, 85.973, 24.100, 23.86,,,,,,,,,,,,,,,,
 09:15:48.945,COM12,, 0.5298, -0.8677, 0.0996, -22.5220, 1.2817, -4.1504, -87.127, -26.241, -68.549, -148.553, 91.287, 24.560, 23.80,,,,,,,,,,,,,,,,
 09:15:49.045,COM12,, 0.4775, -0.8784, 0.0562, -23.9868, 2.6245, -8.1787, -88.874, -27.103, -68.747, -168.980, 88.420, 25.760, 23.85,,,,,,,,,,,,,,,,
 09:15:49.167,COM12,, 0.4297, -0.8779, -0.0010, 4.5166, -3.7842, 8.8501, -90.082, -26.878, -68.505, -199.853, 82.413, 20.033, 23.85,,,,,,,,,,,,,,,,
 09:15:49.246,COM12,, 0.3882, -0.8647, 0.0161, -40.5884, -19.3481, 36.5601, -92.461, -24.456, -67.044, -208.807, 83.653, 22.293, 23.82,,,,,,,,,,,,,,,,
 09:15:49.342,COM12,, 0.3931, -0.9443, -0.1113, -1.0986, -1.2207, 6.1035, -94.894, -22.440, -65.869, -215.380, 85.920, 25.907, 23.85,,,,,,,,,,,,,,,,
 09:15:49.436,COM12,, 0.3955, -0.8804, -0.0342, 0.7935, -2.2583, 2.8076, -94.191, -22.654, -66.072, -216.180, 86.780, 27.493, 23.83,,,,,,,,,,,,,,,,
 09:15:49.547,COM12,, 0.3975, -0.9111, -0.0630, -6.7139, -5.4321, 6.4087, -94.818, -22.220, -65.616, -216.273, 87.333, 29.867, 23.83,,,,,,,,,,,,,,,,
