Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:36:04.621,COM12,, 0.0757, -0.9043, -0.3379, -9.7046, -3.1128, 6.0425, -111.753, -11.673, 94.878, -216.287, -215.567, 107.073, 27.77,,,,,,,,,,,,,,,,
 09:36:04.715,COM12,, 0.0659, -0.8462, -0.4883, -70.3735, -16.4185, 27.2827, -116.999, -9.437, 95.845, -216.287, -215.753, 77.420, 27.77,,,,,,,,,,,,,,,,
 09:36:04.826,COM12,, 0.2100, -0.7861, -0.5449, -40.7104, 2.1973, 28.9917, -122.563, -6.443, 94.779, -216.287, 151.707, 47.213, 27.76,,,,,,,,,,,,,,,,
 09:36:04.920,COM12,, 0.2031, -0.9111, -0.4863, 45.8984, 1.2817, -25.3296, -121.251, -7.059, 94.796, -216.287, -101.960, 66.360, 27.77,,,,,,,,,,,,,,,,
 09:36:05.016,COM12,, 0.2900, -0.9380, -0.4570, 68.2373, 9.8877, -36.0107, -116.477, -9.866, 95.988, -216.287, -202.340, 87.647, 27.76,,,,,,,,,,,,,,,,
 09:36:05.111,COM12,, 0.2822, -0.8584, -0.2778, 37.9639, 15.0757, -20.0195, -110.797, -13.859, 96.509, -216.287, 140.513, 111.547, 27.80,,,,,,,,,,,,,,,,
 09:36:05.221,COM12,, 0.2500, -0.9121, -0.2988, -11.4746, 10.0708, 18.9819, -110.775, -13.420, 95.477, -216.287, 194.227, 138.973, 27.76,,,,,,,,,,,,,,,,
 09:36:05.316,COM12,, 0.2549, -0.9321, -0.3413, 42.6636, 7.2632, -12.2070, -108.979, -13.288, 94.521, -216.287, 192.393, 129.553, 27.77,,,,,,,,,,,,,,,,
 09:36:05.425,COM12,, 0.2515, -0.9111, -0.2183, -10.0098, 6.6528, 9.6436, -107.254, -13.277, 93.763, -202.873, 177.993, 112.373, 27.76,,,,,,,,,,,,,,,,
 09:36:05.518,COM12,, 0.4141, -0.9365, -0.3154, 8.3618, 0.5493, -17.7612, -107.364, -13.464, 93.093, -200.220, 175.233, 109.800, 27.79,,,,,,,,,,,,,,,,
 09:36:05.613,COM12,, 0.2842, -0.9976, -0.1597, 18.3716, -4.8218, -9.0942, -104.068, -16.908, 96.108, -191.480, 168.753, 108.660, 27.74,,,,,,,,,,,,,,,,
 09:36:05.722,COM12,, 0.2036, -0.9585, -0.2627, -78.9795, 5.3101, 44.3726, -107.968, -14.249, 95.482, -204.047, 166.233, 109.240, 27.76,,,,,,,,,,,,,,,,
 09:36:05.817,COM12,, 0.3091, -0.9854, -0.5015, -0.6714, 22.8882, -9.5215, -111.605, -13.140, 94.059, -214.800, 172.593, 85.653, 27.77,,,,,,,,,,,,,,,,
 09:36:05.913,COM12,, 0.3096, -0.8345, -0.1982, 70.0684, -3.4790, -51.8799, -106.271, -16.425, 95.526, -216.107, 168.013, 76.767, 27.76,,,,,,,,,,,,,,,,
 09:36:06.025,COM12,, 0.2617, -0.9404, -0.2456, -39.7949, -3.6011, 34.7290, -105.474, -16.776, 96.196, -216.267, 163.547, 77.680, 27.76,,,,,,,,,,,,,,,,
 09:36:06.123,COM12,, 0.3804, -0.9531, -0.3306, 12.0239, -1.4038, 12.9395, -108.435, -12.832, 97.141, -211.187, 162.987, 94.053, 27.79,,,,,,,,,,,,,,,,
 09:36:06.217,COM12,, 0.3384, -0.9185, -0.1353, 25.9399, 19.8975, -12.5122, -104.930, -13.398, 96.075, -169.947, 151.873, 103.900, 27.77,,,,,,,,,,,,,,,,
 09:36:06.313,COM12,, 0.2163, -0.9678, -0.1899, -18.1885, -14.7095, -9.3994, -105.381, -14.826, 95.334, -186.833, 147.420, 87.933, 27.76,,,,,,,,,,,,,,,,
