Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:46:37.307,COM12,, 0.2314, -0.9619, 0.1333, -7.5684, -0.6104, 16.1743, -83.265, -14.277, 7.256, -112.907, 150.467, -2.820, 28.39,,,,,,,,,,,,,,,,
 09:46:37.402,COM12,, 0.2212, -0.9966, 0.0938, -2.2583, -5.8594, 2.6245, -84.117, -13.381, 7.191, -111.680, 152.760, 0.340, 28.45,,,,,,,,,,,,,,,,
 09:46:37.514,COM12,, 0.2495, -0.9478, 0.1226, 18.3716, -9.2163, 2.4414, -83.177, -13.134, 7.943, -108.967, 153.587, 1.420, 28.42,,,,,,,,,,,,,,,,
 09:46:37.610,COM12,, 0.2656, -0.9814, 0.1670, 23.6206, -10.9863, -7.9956, -81.447, -13.563, 8.959, -105.927, 157.333, 2.973, 28.42,,,,,,,,,,,,,,,,
 09:46:37.707,COM12,, 0.2598, -0.9746, 0.2012, 43.2739, -10.1929, -8.5449, -77.959, -14.771, 9.855, -105.773, 158.620, 2.827, 28.41,,,,,,,,,,,,,,,,
 09:46:37.802,COM12,, 0.3242, -0.8306, 0.2759, 44.3115, -7.7515, -21.2402, -73.449, -16.408, 10.195, -103.660, 152.020, -2.687, 28.41,,,,,,,,,,,,,,,,
 09:46:37.914,COM12,, 0.3218, -0.9106, 0.3340, 4.5776, 7.4463, -6.5308, -71.323, -17.809, 9.805, -104.413, 150.740, -6.813, 28.42,,,,,,,,,,,,,,,,
 09:46:38.009,COM12,, 0.3555, -0.8857, 0.3379, 17.3340, 0.3052, -12.3901, -69.884, -18.424, 9.003, -105.327, 150.067, -10.167, 28.42,,,,,,,,,,,,,,,,
 09:46:38.103,COM12,, 0.3550, -0.8306, 0.3955, 4.5776, 7.9956, -4.2725, -68.099, -19.232, 8.102, -105.200, 148.447, -13.953, 28.45,,,,,,,,,,,,,,,,
 09:46:38.214,COM12,, 0.3965, -0.9189, 0.3164, -3.6011, 0.9766, -23.6206, -68.313, -19.660, 6.855, -105.867, 147.913, -17.047, 28.44,,,,,,,,,,,,,,,,
