Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 10:43:59.474,COM12,, 0.2842, -0.9463, -0.1436, 0.5493, 1.0986, -1.8921, -99.234, -16.941, 23.533, -95.753, 137.447, 57.420, 27.58,,,,,,,,,,,,,,,,
 10:43:59.570,COM12,, 0.3032, -0.9448, -0.1538, -1.4648, -0.3662, 0.6104, -99.245, -16.974, 23.264, -89.500, 135.120, 59.120, 27.58,,,,,,,,,,,,,,,,
 10:43:59.665,COM12,, 0.3096, -0.9351, -0.1533, 7.1411, 16.2964, -5.0049, -98.707, -17.150, 22.126, -81.313, 134.060, 59.227, 27.61,,,,,,,,,,,,,,,,
 10:43:59.760,COM12,, 0.2905, -0.9561, -0.1274, 13.9771, 18.3716, -9.1553, -97.295, -17.990, 20.786, -72.560, 133.280, 60.000, 27.58,,,,,,,,,,,,,,,,
 10:43:59.871,COM12,, 0.3223, -0.9170, -0.0854, -0.9766, 18.3105, -2.9907, -95.927, -18.765, 18.875, -64.973, 132.300, 64.127, 27.56,,,,,,,,,,,,,,,,
 10:43:59.966,COM12,, 0.3696, -0.9575, -0.1118, 9.9487, 4.1504, -7.4463, -95.680, -19.094, 18.111, -57.813, 133.780, 70.273, 27.58,,,,,,,,,,,,,,,,
 10:44:00.063,COM12,, 0.3838, -0.9360, -0.0264, 28.0762, 12.1460, -19.1040, -93.334, -20.490, 17.639, -57.967, 134.807, 69.733, 27.58,,,,,,,,,,,,,,,,
 10:44:00.157,COM12,, 0.3525, -0.9365, -0.0117, 0.8545, 10.1929, 4.1504, -91.489, -21.149, 16.408, -59.253, 135.733, 67.247, 27.56,,,,,,,,,,,,,,,,
 10:44:00.269,COM12,, 0.3750, -0.9971, -0.0264, 1.1597, 16.8457, 0.0610, -91.516, -20.792, 15.287, -56.427, 138.900, 70.953, 27.56,,,,,,,,,,,,,,,,
 10:44:00.365,COM12,, 0.3862, -0.9614, 0.0000, 14.6484, 21.4844, -21.6064, -89.995, -21.270, 13.332, -56.733, 140.907, 70.633, 27.56,,,,,,,,,,,,,,,,
 10:44:00.459,COM12,, 0.4370, -0.8364, 0.0537, 33.5693, -24.3530, -23.9868, -86.863, -23.115, 11.904, -64.160, 136.960, 62.780, 27.56,,,,,,,,,,,,,,,,
 10:44:00.570,COM12,, 0.5010, -1.0142, 0.0146, 49.3164, -37.0483, -18.3716, -85.221, -26.169, 16.639, -74.007, 132.947, 56.373, 27.58,,,,,,,,,,,,,,,,
 10:44:00.666,COM12,, 0.4526, -0.7578, 0.2476, -22.9492, 27.3438, 27.5269, -83.188, -25.807, 19.199, -86.013, 125.133, 43.873, 27.55,,,,,,,,,,,,,,,,
 10:44:00.761,COM12,, 0.3027, -0.9556, 0.0688, -64.0259, 7.3853, 41.1987, -87.308, -23.236, 18.204, -87.953, 127.007, 44.573, 27.56,,,,,,,,,,,,,,,,
 10:44:00.857,COM12,, 0.5186, -1.0063, -0.1025, -1.4038, 39.8560, 10.4980, -90.379, -20.336, 15.540, -69.453, 131.233, 54.660, 27.55,,,,,,,,,,,,,,,,
 10:44:00.970,COM12,, 0.4189, -0.9292, 0.1699, 22.0947, 6.8970, -18.0054, -87.286, -21.248, 12.832, -68.107, 131.180, 48.047, 27.58,,,,,,,,,,,,,,,,
 10:44:01.083,COM12,, 0.3130, -0.8745, 0.0620, -25.4517, 9.1553, -16.5405, -86.451, -23.544, 10.421, -68.213, 132.047, 51.120, 27.53,,,,,,,,,,,,,,,,
 10:44:01.163,COM12,, 0.4004, -0.9722, -0.0981, -30.8228, 0.7324, 1.4038, -89.297, -24.115, 9.717, -81.220, 162.487, 83.767, 27.55,,,,,,,,,,,,,,,,
 10:44:01.257,COM12,, 0.3550, -0.9019, 0.0049, -5.4321, -3.8452, 9.6436, -90.906, -23.011, 10.563, -93.067, 186.260, 106.033, 27.56,,,,,,,,,,,,,,,,
 10:44:01.355,COM12,, 0.3135, -0.9150, -0.0400, -36.5601, -14.6484, 20.9961, -93.702, -21.171, 11.514, -98.233, 161.467, 128.027, 27.53,,,,,,,,,,,,,,,,
 10:44:01.467,COM12,, 0.3247, -0.9473, -0.1333, -13.6108, -6.4697, 9.2163, -96.454, -19.649, 12.508, -110.033, -169.767, 162.593, 27.56,,,,,,,,,,,,,,,,
 10:44:01.562,COM12,, 0.3315, -0.9390, -0.1143, 5.3101, 1.2817, -2.1973, -96.504, -19.473, 12.706, -109.027, -210.000, 175.427, 27.56,,,,,,,,,,,,,,,,
 10:44:01.658,COM12,, 0.3330, -0.9380, -0.1025, -0.1831, -1.7700, -1.0376, -96.290, -19.649, 12.772, -105.220, -214.893, 174.820, 27.56,,,,,,,,,,,,,,,,
