Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:28:24.668,COM12,, 0.4077, -0.8975, 0.1543, 0.7324, -0.6104, 1.5259, -80.299, -23.494, 103.436, -216.287, 88.060, -200.153, 26.49,,,,,,,,,,,,,,,,
 23:28:24.765,COM12,, 0.4312, -0.9360, 0.1094, 5.1880, -1.5869, 5.1880, -80.239, -23.318, 103.524, -216.287, 88.373, -199.287, 26.52,,,,,,,,,,,,,,,,
 23:28:24.859,COM12,, 0.3770, -0.8853, 0.1914, 6.9580, -39.8560, 28.5645, -79.667, -22.061, 109.495, -216.287, 120.713, -176.373, 26.50,,,,,,,,,,,,,,,,
 23:28:24.956,COM12,, 0.3403, -0.9478, 0.1382, -9.3994, -13.7329, 17.3340, -81.436, -20.083, 113.060, -216.287, 137.947, -149.447, 26.49,,,,,,,,,,,,,,,,
 23:28:25.059,COM12,, 0.2339, -0.8364, 0.1162, -41.9922, 78.3081, 10.9253, -82.700, -19.034, 110.901, -216.287, 117.653, -134.500, 26.49,,,,,,,,,,,,,,,,
 23:28:25.154,COM12,, 0.2593, -0.9604, -0.0977, -132.8735, 92.8955, 37.4756, -89.555, -15.776, 102.986, -191.280, 104.727, -110.380, 26.52,,,,,,,,,,,,,,,,
 23:28:25.265,COM12,, 0.2866, -1.0190, -0.0718, -16.4185, 12.9395, 8.0566, -93.713, -13.030, 93.735, -152.933, 151.373, -68.273, 26.50,,,,,,,,,,,,,,,,
 23:28:25.361,COM12,, 0.3291, -0.8945, 0.0757, 133.4839, -57.5562, -56.0913, -89.143, -14.172, 95.427, -127.033, 154.480, -61.547, 26.50,,,,,,,,,,,,,,,,
 23:28:25.456,COM12,, 0.3887, -0.9067, 0.1025, 18.5547, -28.3203, -8.1177, -83.979, -19.006, 101.904, -118.860, 135.867, -79.687, 26.53,,,,,,,,,,,,,,,,
 23:28:25.550,COM12,, 0.3613, -1.0625, 0.1045, -11.1694, 36.1938, -9.5215, -84.644, -19.451, 100.772, -142.280, 183.133, -66.473, 26.50,,,,,,,,,,,,,,,,
 23:28:25.664,COM12,, 0.3315, -0.9355, 0.0977, 22.8271, 1.7700, -9.5825, -83.167, -19.265, 98.108, -139.647, 189.940, -71.607, 26.50,,,,,,,,,,,,,,,,
 23:28:25.759,COM12,, 0.3931, -0.8887, 0.1567, 10.6812, 8.7280, -4.2725, -81.573, -19.473, 96.894, -125.413, 170.447, -76.213, 26.50,,,,,,,,,,,,,,,,
 23:28:25.855,COM12,, 0.4077, -0.9229, 0.1274, 27.5269, -4.4556, -19.9585, -80.283, -20.468, 96.339, -114.833, 156.527, -76.227, 26.50,,,,,,,,,,,,,,,,
 23:28:25.950,COM12,, 0.4761, -0.7910, 0.1646, 80.9937, -43.6401, -23.7427, -76.212, -22.934, 99.641, -101.580, 130.633, -77.640, 26.50,,,,,,,,,,,,,,,,
 23:28:26.061,COM12,, 0.5103, -0.8193, 0.3555, 9.2773, -23.9868, 1.0376, -73.273, -26.153, 103.151, -96.960, 109.873, -75.147, 26.50,,,,,,,,,,,,,,,,
 23:28:26.157,COM12,, 0.3237, -0.9272, 0.2749, -92.7124, 27.1606, 49.4385, -79.426, -22.511, 102.936, -113.687, 129.187, -67.427, 26.50,,,,,,,,,,,,,,,,
 23:28:26.253,COM12,, 0.4395, -0.9668, 0.0151, -32.1655, 37.5977, 5.8594, -83.326, -18.940, 97.971, -157.753, 121.027, -104.820, 26.52,,,,,,,,,,,,,,,,
 23:28:26.364,COM12,, 0.4629, -1.0059, 0.1084, 39.0015, -2.4414, -3.2349, -81.683, -20.479, 95.949, -184.553, 116.607, -128.947, 26.52,,,,,,,,,,,,,,,,
 23:28:26.459,COM12,, 0.4453, -0.7847, 0.3853, 49.1943, -31.0669, -8.9722, -75.624, -23.033, 101.190, -154.527, 119.867, -104.340, 26.50,,,,,,,,,,,,,,,,
 23:28:26.556,COM12,, 0.4023, -0.9097, 0.2368, -74.5850, 31.6162, 7.6294, -78.690, -22.220, 99.668, -156.900, 125.193, -100.453, 26.50,,,,,,,,,,,,,,,,
 23:28:26.652,COM12,, 0.3877, -0.8530, 0.1499, 7.3853, -2.1973, 0.1831, -80.140, -21.769, 97.438, -187.313, 97.147, -135.227, 26.50,,,,,,,,,,,,,,,,
 23:28:26.747,COM12,, 0.4673, -0.9365, 0.1899, 53.9551, -17.4561, -18.7988, -77.964, -22.928, 98.531, -191.053, 42.647, -151.987, 26.52,,,,,,,,,,,,,,,,
 23:28:26.859,COM12,, 0.5112, -1.0376, 0.2002, 53.6499, -64.9414, -3.2349, -75.394, -24.846, 103.436, -204.340, 12.093, -153.480, 26.52,,,,,,,,,,,,,,,,
 23:28:26.956,COM12,, 0.5093, -0.7681, 0.3374, 0.0000, -0.9155, 1.2207, -73.400, -26.060, 105.936, -214.840, 40.587, -147.273, 26.53,,,,,,,,,,,,,,,,
 23:28:27.052,COM12,, 0.3311, -0.8550, 0.2847, -57.8003, -13.2446, 46.9971, -76.344, -24.318, 107.040, -216.113, 44.073, -154.100, 26.50,,,,,,,,,,,,,,,,
 23:28:27.146,COM12,, 0.3315, -0.9448, 0.1079, -39.9780, -8.4229, 34.8511, -82.271, -20.034, 108.457, -216.267, 12.260, -165.867, 26.50,,,,,,,,,,,,,,,,
 23:28:27.257,COM12,, 0.3589, -0.9702, 0.0786, 2.0142, 1.0376, -6.1646, -84.232, -18.918, 108.924, -216.287, -9.613, -173.987, 26.49,,,,,,,,,,,,,,,,
 23:28:27.351,COM12,, 0.3364, -0.9194, 0.1216, -0.1831, 0.7935, -1.8311, -83.688, -19.655, 108.649, -216.287, -7.600, -178.927, 26.53,,,,,,,,,,,,,,,,
 23:28:27.460,COM12,, 0.3481, -0.9365, 0.0908, -0.2441, 0.0000, -0.7324, -83.859, -19.775, 108.754, -216.287, -8.367, -181.720, 26.50,,,,,,,,,,,,,,,,
 23:28:27.554,COM12,, 0.3594, -0.9312, 0.1011, 0.4883, -1.2207, -1.7090, -83.831, -19.891, 108.924, -216.287, -7.233, -182.967, 26.52,,,,,,,,,,,,,,,,
