Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:35:16.566,COM12,, 0.4712, -0.8794, 0.2026, -0.0610, -1.2817, 0.5493, -78.118, -25.439, 177.567, -39.073, -215.553, -215.380, 27.86,,,,,,,,,,,,,,,,
 23:35:16.675,COM12,, 0.3379, -0.8779, 0.2026, -15.4419, 1.0986, 21.9727, -78.651, -24.725, 177.567, -35.147, -215.553, -215.500, 27.86,,,,,,,,,,,,,,,,
 23:35:16.772,COM12,, 0.3633, -0.9497, 0.0918, -20.9961, 27.4658, 4.3335, -80.678, -23.132, 177.759, -21.533, -215.553, -215.613, 27.86,,,,,,,,,,,,,,,,
 23:35:16.866,COM12,, 0.3926, -0.8711, 0.1274, -32.1655, 0.3662, 20.9961, -82.573, -22.187, 177.501, -40.400, -166.567, -191.340, 27.86,,,,,,,,,,,,,,,,
 23:35:16.978,COM12,, 0.4116, -0.6304, 0.3496, 78.6133, -98.4497, -12.1460, -82.820, -21.583, 179.478, -94.380, -74.973, -171.627, 27.83,,,,,,,,,,,,,,,,
 23:35:17.073,COM12,, 0.5151, -0.8457, 0.2090, 5.1270, 7.7515, -4.9438, -81.590, -22.917, -178.308, -144.167, -5.040, -144.747, 27.85,,,,,,,,,,,,,,,,
 23:35:17.169,COM12,, 0.3779, -1.0186, 0.1782, 3.1128, 21.1792, -9.1553, -79.360, -23.159, 178.687, -175.473, 17.653, -148.440, 27.86,,,,,,,,,,,,,,,,
 23:35:17.262,COM12,, 0.3755, -0.9712, 0.1484, -8.3618, 11.2305, 1.2207, -80.349, -21.984, 177.435, -181.313, 20.200, -159.113, 27.86,,,,,,,,,,,,,,,,
 23:35:17.374,COM12,, 0.3779, -0.8887, 0.1929, 15.1978, 16.0522, -17.5781, -78.959, -22.385, 175.463, -175.660, 17.153, -164.553, 27.82,,,,,,,,,,,,,,,,
 23:35:17.469,COM12,, 0.5396, -0.8784, 0.2056, 4.7607, -5.9814, -10.2539, -77.602, -23.500, 174.298, -172.707, 19.553, -162.473, 27.88,,,,,,,,,,,,,,,,
 23:35:17.564,COM12,, 0.5347, -0.8120, 0.2642, 78.8574, -44.5557, -32.5317, -73.301, -27.433, 178.478, -177.847, 27.993, -139.720, 27.82,,,,,,,,,,,,,,,,
 23:35:17.676,COM12,, 0.5649, -0.7905, 0.3364, 0.7324, -0.6714, 6.3477, -71.065, -29.130, -179.478, -175.847, 37.807, -112.287, 27.83,,,,,,,,,,,,,,,,
 23:35:17.772,COM12,, 0.4941, -0.7490, 0.3613, -1.4038, -1.2817, -6.5308, -71.147, -29.141, -179.203, -172.307, 33.880, -108.920, 27.83,,,,,,,,,,,,,,,,
 23:35:17.867,COM12,, 0.5112, -0.7534, 0.3145, -27.1606, 21.0571, -12.8174, -71.060, -30.037, 177.693, -159.427, -6.220, -133.573, 27.83,,,,,,,,,,,,,,,,
 23:35:17.961,COM12,, 0.4697, -0.8794, 0.2134, -27.2827, 3.3569, -8.5449, -72.812, -30.416, 175.320, -93.693, -99.033, -179.453, 27.86,,,,,,,,,,,,,,,,
 23:35:18.070,COM12,, 0.5264, -0.8384, 0.2090, -12.6343, -8.6670, 1.2817, -74.454, -30.921, 175.018, -3.480, -168.513, -196.347, 27.82,,,,,,,,,,,,,,,,
 23:35:18.165,COM12,, 0.4985, -0.8223, 0.2334, -3.3569, -1.8921, 4.5166, -75.487, -30.460, 175.754, 36.780, -201.753, -204.800, 27.85,,,,,,,,,,,,,,,,
 23:35:18.274,COM12,, 0.5635, -0.8389, 0.2095, -5.8594, -0.6714, 21.6675, -75.899, -29.844, 176.006, 48.273, -213.793, -212.633, 27.89,,,,,,,,,,,,,,,,
 23:35:18.370,COM12,, 0.4170, -0.8823, 0.2983, -36.9873, -30.5176, 38.8794, -79.288, -27.059, 178.544, 45.733, -215.340, -216.180, 27.86,,,,,,,,,,,,,,,,
 23:35:18.467,COM12,, 0.4165, -0.9131, 0.0938, -15.6250, -2.5024, 11.5356, -82.831, -24.917, -179.401, 78.980, -215.533, -216.613, 27.86,,,,,,,,,,,,,,,,
 23:35:18.563,COM12,, 0.4390, -0.8779, 0.1362, 11.4746, 2.2583, -4.2114, -82.040, -25.400, -179.703, 88.393, -215.553, -216.660, 27.86,,,,,,,,,,,,,,,,
 23:35:18.674,COM12,, 0.4507, -0.8979, 0.1372, -2.7466, -3.4180, 2.5635, -81.974, -25.356, -179.324, 77.333, -215.553, -216.667, 27.85,,,,,,,,,,,,,,,,
 23:35:18.771,COM12,, 0.4346, -0.8862, 0.1494, 2.5635, 0.4883, 0.3052, -81.766, -25.345, -179.286, 71.360, -215.553, -216.667, 27.86,,,,,,,,,,,,,,,,
 23:35:18.867,COM12,, 0.4517, -0.8882, 0.1411, 0.1221, -0.9155, 0.4272, -81.777, -25.307, -179.110, 68.553, -215.553, -216.667, 27.85,,,,,,,,,,,,,,,,
 23:35:18.961,COM12,, 0.4272, -0.8906, 0.1519, 3.0518, -0.4272, -0.6714, -81.563, -25.439, -178.989, 65.840, -215.553, -216.667, 27.86,,,,,,,,,,,,,,,,
 23:35:19.075,COM12,, 0.4419, -0.8848, 0.1523, 1.3428, -4.5776, 0.3052, -81.431, -25.488, -178.770, 60.127, -215.553, -216.667, 27.83,,,,,,,,,,,,,,,,
 23:35:19.170,COM12,, 0.4497, -0.8828, 0.1519, 0.4883, -1.2207, -0.4883, -81.370, -25.576, -178.605, 55.853, -215.553, -216.667, 27.86,,,,,,,,,,,,,,,,
 23:35:19.264,COM12,, 0.4448, -0.8862, 0.1533, 0.3662, -0.5493, -0.3662, -81.260, -25.664, -178.500, 52.247, -215.553, -216.667, 27.83,,,,,,,,,,,,,,,,
 23:35:19.358,COM12,, 0.4453, -0.8853, 0.1514, -0.0610, -0.0610, 0.3052, -81.260, -25.670, -178.401, 52.307, -215.553, -216.667, 27.86,,,,,,,,,,,,,,,,
