Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:53:14.848,COM12,, 0.3569, -0.9141, 0.2026, 1.2817, 0.1221, -0.3052, -77.459, -20.297, -144.937, -136.493, -215.553, -18.867, 27.73,,,,,,,,,,,,,,,,
 23:53:14.941,COM12,, 0.2456, -0.8677, 0.2617, -25.3906, -3.8452, 52.4902, -77.997, -18.303, -144.723, -134.180, -215.553, -26.033, 27.73,,,,,,,,,,,,,,,,
 23:53:15.052,COM12,, 0.3198, -1.0454, 0.1060, 28.5034, 4.3335, -18.7988, -79.519, -16.804, -143.970, -120.673, -215.553, -36.707, 27.70,,,,,,,,,,,,,,,,
 23:53:15.146,COM12,, 0.3169, -0.8872, 0.1592, 43.0908, -21.9116, -17.8223, -76.097, -18.880, -143.778, -156.007, -161.140, -86.740, 27.68,,,,,,,,,,,,,,,,
 23:53:15.239,COM12,, 0.4111, -0.8149, 0.2632, 32.5317, -16.9067, -9.9487, -75.443, -19.803, -141.301, -188.000, 7.807, -115.567, 27.73,,,,,,,,,,,,,,,,
 23:53:15.350,COM12,, 0.4312, -0.8691, 0.3945, 47.5464, -17.0898, -28.0762, -71.993, -21.577, -139.927, -185.387, 97.780, -97.827, 27.74,,,,,,,,,,,,,,,,
 23:53:15.444,COM12,, 0.3521, -0.8276, 0.3955, 21.7285, 7.5073, -20.5078, -66.984, -24.769, -140.702, -191.620, 117.093, -92.147, 27.71,,,,,,,,,,,,,,,,
 23:53:15.540,COM12,, 0.4092, -0.8530, 0.3584, -28.5034, 76.1719, -8.3618, -66.973, -22.961, -146.574, -185.973, 100.067, -108.140, 27.71,,,,,,,,,,,,,,,,
 23:53:15.649,COM12,, 0.4238, -0.8398, 0.2515, 14.8315, -30.0903, 0.4883, -66.912, -22.247, -148.239, -174.660, 63.653, -124.540, 27.70,,,,,,,,,,,,,,,,
 23:53:15.744,COM12,, 0.4277, -0.7373, 0.4414, 12.2070, -34.4849, -4.9438, -65.544, -25.757, -143.311, -194.473, 38.527, -121.653, 27.73,,,,,,,,,,,,,,,,
 23:53:15.838,COM12,, 0.3540, -0.8706, 0.4077, -50.0488, 65.6738, 14.5264, -67.901, -23.719, -144.196, -206.280, -4.627, -127.960, 27.65,,,,,,,,,,,,,,,,
 23:53:15.948,COM12,, 0.3481, -0.8799, 0.2344, -27.5269, 45.4712, 11.2305, -69.642, -21.929, -148.997, -181.473, -61.440, -124.720, 27.68,,,,,,,,,,,,,,,,
 23:53:16.043,COM12,, 0.4170, -0.8906, 0.2729, 40.4663, -57.0068, -3.2959, -69.681, -21.863, -147.442, -162.507, -98.133, -109.500, 27.70,,,,,,,,,,,,,,,,
 23:53:16.138,COM12,, 0.4463, -0.8604, 0.3853, 28.1372, -27.5269, -7.5684, -67.473, -24.269, -143.179, -167.953, -112.687, -104.613, 27.71,,,,,,,,,,,,,,,,
 23:53:16.246,COM12,, 0.2998, -0.8223, 0.3735, -25.8789, 1.0986, 26.8555, -68.264, -23.456, -141.652, -181.940, -117.960, -108.840, 27.73,,,,,,,,,,,,,,,,
 23:53:16.341,COM12,, 0.2744, -0.9253, 0.2490, -59.8755, 8.1177, 44.9829, -73.779, -19.166, -140.559, -179.327, -167.460, -108.673, 27.73,,,,,,,,,,,,,,,,
 23:53:16.437,COM12,, 0.3052, -0.9604, 0.1880, -5.7983, 3.8452, 3.1128, -76.641, -17.133, -140.268, -167.593, -209.367, -103.153, 27.74,,,,,,,,,,,,,,,,
 23:53:16.546,COM12,, 0.2886, -0.9243, 0.2314, -0.2441, 2.5024, -1.2817, -76.322, -17.479, -140.636, -165.267, -214.807, -104.247, 27.71,,,,,,,,,,,,,,,,
 23:53:16.641,COM12,, 0.3042, -0.9414, 0.2036, 0.1831, -0.1831, -1.7700, -76.514, -17.402, -140.614, -165.160, -215.467, -104.993, 27.73,,,,,,,,,,,,,,,,
