Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:03:09.616,COM12,, 0.3184, -0.9727, 0.0864, -13.4888, -7.8125, 13.4277, -82.375, -20.610, 23.390, 46.707, -215.553, 76.580, 27.67,,,,,,,,,,,,,,,,
 00:03:09.728,COM12,, 0.3247, -0.8779, 0.0894, -5.2490, -13.6108, 5.0049, -82.452, -20.264, 24.939, 52.387, -215.553, 51.900, 27.68,,,,,,,,,,,,,,,,
 00:03:09.824,COM12,, 0.4326, -0.9258, 0.1060, 68.1763, -39.0015, -39.9780, -81.041, -21.116, 27.202, 28.533, -215.553, 1.380, 27.67,,,,,,,,,,,,,,,,
 00:03:09.919,COM12,, 0.3994, -0.9180, 0.1890, 7.7515, -6.5308, 2.0752, -78.959, -23.082, 29.410, -31.647, -213.533, -56.493, 27.67,,,,,,,,,,,,,,,,
 00:03:10.030,COM12,, 0.3794, -0.8735, 0.2451, 2.8687, 14.8926, -5.9814, -77.948, -22.978, 28.295, -90.013, -193.813, -108.113, 27.68,,,,,,,,,,,,,,,,
 00:03:10.125,COM12,, 0.4233, -0.8594, 0.2046, 3.6621, 0.9766, -1.4648, -76.767, -23.384, 27.482, -118.547, -192.920, -132.140, 27.65,,,,,,,,,,,,,,,,
 00:03:10.221,COM12,, 0.4028, -0.8691, 0.2456, 22.5830, 11.9629, -26.3062, -74.729, -24.911, 26.658, -129.287, -186.600, -137.773, 27.62,,,,,,,,,,,,,,,,
 00:03:10.316,COM12,, 0.4048, -0.8706, 0.2690, -35.8887, 39.6729, 10.4980, -74.141, -25.065, 23.879, -126.087, -182.107, -135.913, 27.65,,,,,,,,,,,,,,,,
 00:03:10.427,COM12,, 0.3877, -0.9185, 0.2397, -8.7280, 37.5977, 8.4229, -74.872, -23.297, 20.555, -109.407, -179.913, -116.013, 27.64,,,,,,,,,,,,,,,,
 00:03:10.523,COM12,, 0.4751, -0.8765, 0.2012, 4.9438, -11.9019, -7.8125, -74.542, -22.819, 19.094, -103.060, -164.667, -98.200, 27.68,,,,,,,,,,,,,,,,
