Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:34:06.053,COM12,, 0.2969, -0.9360, 0.1895, -1.2207, -0.3052, 1.5869, -78.338, -17.836, 58.969, 84.553, -146.967, 120.833, 27.00,,,,,,,,,,,,,,,,
 00:34:06.163,COM12,, 0.2788, -0.9463, 0.1616, -24.9634, -3.2349, 15.5029, -79.865, -16.891, 59.420, 84.800, -141.473, 116.420, 26.99,,,,,,,,,,,,,,,,
 00:34:06.256,COM12,, 0.2905, -0.9512, 0.1382, -0.1831, -2.7466, 6.0425, -81.293, -16.100, 60.046, 86.820, -134.460, 108.553, 26.99,,,,,,,,,,,,,,,,
 00:34:06.350,COM12,, 0.2837, -0.9541, 0.1631, 12.3291, 5.1880, -7.3853, -80.788, -16.221, 59.733, 87.260, -132.913, 95.927, 26.97,,,,,,,,,,,,,,,,
 00:34:06.461,COM12,, 0.2471, -0.9487, 0.1621, -12.3901, 5.6152, 4.5776, -80.733, -15.996, 58.975, 83.033, -134.767, 83.447, 26.99,,,,,,,,,,,,,,,,
 00:34:06.556,COM12,, 0.2764, -0.9937, 0.0928, 2.6855, 3.6621, -7.9956, -81.848, -15.540, 58.947, 76.813, -119.027, 69.280, 26.99,,,,,,,,,,,,,,,,
 00:34:06.651,COM12,, 0.2754, -0.8857, 0.2041, 35.3394, 17.7002, -6.2256, -77.668, -17.265, 57.299, 70.180, -110.660, 51.727, 26.99,,,,,,,,,,,,,,,,
 00:34:06.759,COM12,, 0.3364, -0.9424, 0.2056, 21.2402, 2.2583, 8.1787, -76.306, -16.606, 56.591, 60.500, -134.547, 34.393, 27.02,,,,,,,,,,,,,,,,
 00:34:06.854,COM12,, 0.3335, -0.9307, 0.3135, 33.2031, -35.5835, 8.5449, -74.564, -15.936, 57.870, 48.553, -174.420, 17.087, 26.97,,,,,,,,,,,,,,,,
 00:34:06.948,COM12,, 0.3672, -0.8740, 0.3623, 23.1934, -15.4419, -8.8501, -71.125, -17.534, 59.930, 40.993, -198.993, -1.313, 26.99,,,,,,,,,,,,,,,,
