Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:19:38.828,COM12,, 0.2256, -0.9756, -0.1270, 5.7373, -3.4790, 2.8076, -96.487, -13.046, -48.027, -208.267, -173.487, -210.093, 26.81,,,,,,,,,,,,,,,,
 01:19:38.925,COM12,, 0.1934, -0.9590, -0.1006, -9.5215, 0.7935, 12.9395, -96.735, -12.189, -47.780, -212.027, -160.687, -209.973, 26.82,,,,,,,,,,,,,,,,
 01:19:39.022,COM12,, 0.0947, -1.0112, -0.1587, 6.2866, -15.1978, 11.1694, -97.240, -10.816, -46.752, -215.620, -138.453, -209.867, 26.81,,,,,,,,,,,,,,,,
 01:19:39.115,COM12,, 0.1084, -0.6807, -0.1470, -34.4238, -25.9399, 31.1279, -97.668, -8.163, -44.934, -214.753, -58.280, -209.887, 26.82,,,,,,,,,,,,,,,,
 01:19:39.225,COM12,, 0.1206, -1.0098, -0.1406, 14.4043, 20.8130, 4.3945, -98.383, -7.174, -45.461, -214.960, 39.220, -209.880, 26.81,,,,,,,,,,,,,,,,
 01:19:39.319,COM12,, 0.1133, -0.9731, -0.1255, 3.7231, 16.7236, 9.5215, -97.350, -6.614, -47.516, -208.633, 72.207, -210.080, 26.79,,,,,,,,,,,,,,,,
 01:19:39.416,COM12,, 0.1138, -0.9697, -0.1235, 12.9395, -1.2817, -2.9297, -96.866, -6.432, -48.109, -202.300, 75.807, -210.280, 26.81,,,,,,,,,,,,,,,,
 01:19:39.525,COM12,, 0.1201, -0.9712, -0.0771, 30.1514, 7.5073, -24.2920, -94.850, -7.641, -48.164, -195.713, 78.880, -210.480, 26.81,,,,,,,,,,,,,,,,
 01:19:39.619,COM12,, 0.1724, -0.9673, -0.0488, 12.6343, -4.3945, -4.9438, -92.499, -9.624, -48.680, -186.380, 70.533, -210.773, 26.78,,,,,,,,,,,,,,,,
 01:19:39.713,COM12,, 0.1396, -0.9531, 0.0288, 44.6167, -25.6958, -8.2397, -88.561, -10.415, -45.192, -190.467, 70.893, -206.573, 26.81,,,,,,,,,,,,,,,,
