Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:58:01.550,COM12,, 0.1685, -0.9775, 0.0845, -2.9907, -1.7700, 19.2871, -87.363, -15.298, -65.484, -198.353, 160.553, -44.887, 22.66,,,,,,,,,,,,,,,,
 11:58:01.645,COM12,, 0.2202, -0.9883, -0.1323, -44.4336, -1.5869, 12.0239, -90.720, -12.662, -64.770, -191.233, 143.873, -41.087, 22.62,,,,,,,,,,,,,,,,
 11:58:01.754,COM12,, 0.2852, -1.0181, -0.0522, 18.2495, -29.6631, -11.7188, -92.593, -12.519, -64.034, -188.927, 119.340, -37.773, 22.66,,,,,,,,,,,,,,,,
 11:58:01.850,COM12,, 0.3223, -1.0283, -0.0220, 40.2832, -2.7466, -25.3296, -90.775, -14.117, -63.918, -183.860, 122.100, -35.420, 22.66,,,,,,,,,,,,,,,,
 11:58:01.943,COM12,, 0.3599, -0.9478, 0.1284, 10.0708, 6.1035, -8.1787, -87.858, -15.743, -64.611, -177.087, 146.780, -32.887, 22.62,,,,,,,,,,,,,,,,
 11:58:02.053,COM12,, 0.2310, -0.9785, 0.1025, 15.9912, 2.9907, -7.8735, -86.995, -16.304, -65.045, -172.027, 149.447, -33.487, 22.66,,,,,,,,,,,,,,,,
 11:58:02.149,COM12,, 0.2964, -1.0068, 0.0493, 22.5220, 9.7656, -22.7051, -84.831, -18.089, -66.154, -172.427, 133.067, -41.680, 22.64,,,,,,,,,,,,,,,,
 11:58:02.245,COM12,, 0.3882, -0.8955, 0.0542, 74.0967, -12.1460, 21.9727, -81.260, -18.320, -66.956, -159.013, 142.427, -45.027, 22.66,,,,,,,,,,,,,,,,
 11:58:02.340,COM12,, 0.0859, -0.8159, 0.3115, -20.3857, 18.8599, -31.3110, -78.525, -19.072, -64.363, -127.233, 152.480, -33.847, 22.62,,,,,,,,,,,,,,,,
 11:58:02.449,COM12,, 0.5586, -1.2070, -0.1353, -45.4102, 32.3486, 20.0806, -80.964, -20.901, -67.115, -159.653, 120.573, -48.327, 22.59,,,,,,,,,,,,,,,,
 11:58:02.543,COM12,, 0.1250, -0.8979, 0.4150, -8.5449, -24.4141, 4.2114, -79.332, -17.798, -66.116, -140.073, 132.800, -47.867, 22.62,,,,,,,,,,,,,,,,
 11:58:02.638,COM12,, 0.3291, -0.8896, 0.0576, 2.3804, -9.6436, 4.8218, -82.018, -17.205, -63.644, -138.840, 130.087, -40.327, 22.61,,,,,,,,,,,,,,,,
 11:58:02.749,COM12,, 0.3906, -0.9360, 0.1577, 35.4004, 26.4893, -39.6729, -79.217, -18.864, -65.143, -141.300, 132.800, -41.180, 22.66,,,,,,,,,,,,,,,,
 11:58:02.844,COM12,, 0.4165, -0.9883, 0.2012, -18.6768, -11.4746, -27.6489, -78.333, -21.259, -64.462, -149.247, 139.587, -41.880, 22.62,,,,,,,,,,,,,,,,
 11:58:02.944,COM12,, 0.2759, -0.9570, 0.2183, -30.3345, -5.9814, 24.8413, -79.980, -20.418, -63.682, -168.993, 145.900, -41.760, 22.59,,,,,,,,,,,,,,,,
 11:58:03.077,COM12,, 0.3286, -1.0190, 0.0298, -21.1182, 1.5259, 7.8735, -83.688, -18.292, -63.122, -183.240, 138.760, -42.807, 22.64,,,,,,,,,,,,,,,,
