Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:02:03.097,COM12,, 0.3740, -0.9292, 0.0410, -1.7090, 1.8921, 1.7700, -87.929, -21.973, -0.731, -216.287, 205.073, -27.267, 23.12,,,,,,,,,,,,,,,,
 12:02:03.193,COM12,, 0.3643, -0.9365, 0.0391, -2.6855, 0.0000, 2.1362, -88.006, -21.824, -0.868, -216.287, 203.180, -28.200, 23.08,,,,,,,,,,,,,,,,
 12:02:03.291,COM12,, 0.3848, -0.9692, 0.0107, 9.0942, -3.3569, -1.7700, -87.962, -21.709, -0.615, -216.287, 197.473, -26.240, 23.06,,,,,,,,,,,,,,,,
 12:02:03.438,COM12,, 0.3662, -0.9219, 0.1060, 12.0239, 4.0894, -1.4038, -85.946, -21.720, -1.016, -189.480, 182.120, -19.760, 23.05,,,,,,,,,,,,,,,,
 12:02:03.485,COM12,, 0.3877, -0.8867, 0.1074, 7.4463, 12.0239, -10.0708, -84.551, -22.011, -2.049, -147.447, 177.373, -15.673, 23.09,,,,,,,,,,,,,,,,
 12:02:03.594,COM12,, 0.3906, -0.9224, 0.0952, -3.1738, 2.4414, 4.3335, -84.589, -21.890, -2.692, -120.267, 181.213, -12.980, 23.08,,,,,,,,,,,,,,,,
 12:02:03.691,COM12,, 0.3892, -0.9238, 0.1172, 3.2959, 7.6294, -1.4038, -84.023, -21.890, -3.466, -97.360, 182.047, -10.540, 23.08,,,,,,,,,,,,,,,,
 12:02:03.791,COM12,, 0.4082, -0.9546, 0.1108, 30.0903, -5.8594, -13.1836, -81.876, -23.170, -4.587, -85.713, 180.173, -12.993, 23.05,,,,,,,,,,,,,,,,
 12:02:03.887,COM12,, 0.4609, -0.9487, 0.1948, 1.0376, -2.7466, 7.1411, -79.958, -25.203, -2.302, -82.280, 181.647, -10.380, 23.06,,,,,,,,,,,,,,,,
 12:02:03.980,COM12,, 0.3003, -0.9116, 0.1895, -41.2598, 33.9355, 2.6245, -82.062, -23.126, -4.691, -82.273, 184.860, -9.320, 23.08,,,,,,,,,,,,,,,,
 12:02:04.138,COM12,, 0.4966, -0.9438, -0.0098, 18.4326, -39.9170, -9.2773, -83.375, -24.417, -4.883, -118.747, 177.553, -21.967, 23.11,,,,,,,,,,,,,,,,
 12:02:04.187,COM12,, 0.4370, -0.7861, 0.2866, 11.1084, 2.0752, 4.4556, -81.716, -23.791, -3.219, -107.740, 181.620, -16.960, 23.05,,,,,,,,,,,,,,,,
 12:02:04.294,COM12,, 0.4346, -0.9028, 0.1299, 24.5361, -19.4702, -30.2124, -80.656, -25.444, -3.274, -102.580, 181.360, -16.400, 23.08,,,,,,,,,,,,,,,,
 12:02:04.445,COM12,, 0.4580, -0.8633, 0.1860, -2.9907, -4.8828, -1.5869, -79.651, -27.806, -2.829, -122.507, 181.413, -18.600, 23.08,,,,,,,,,,,,,,,,
 12:02:04.529,COM12,, 0.3198, -0.8516, 0.1655, -22.5830, -4.9438, 23.4985, -80.793, -27.076, -2.214, -136.027, 192.220, -17.633, 23.08,,,,,,,,,,,,,,,,
 12:02:04.600,COM12,, 0.3647, -0.9307, -0.0103, -69.5190, -10.4370, 43.3350, -87.100, -22.972, -0.165, -162.133, 209.500, -14.287, 23.08,,,,,,,,,,,,,,,,
 12:02:04.680,COM12,, 0.3726, -0.9238, 0.0171, 24.3530, 8.5449, -9.1553, -88.863, -21.451, 0.104, -188.520, 213.360, -18.440, 23.06,,,,,,,,,,,,,,,,
 12:02:04.790,COM12,, 0.3701, -0.9375, 0.0400, -13.3057, -2.2583, 5.0049, -87.902, -22.110, -0.417, -185.327, 216.120, -17.320, 23.11,,,,,,,,,,,,,,,,
 12:02:04.885,COM12,, 0.3682, -0.9326, 0.0215, 4.5776, 2.1362, -2.3804, -88.544, -21.874, -0.242, -192.000, -144.973, -18.300, 23.09,,,,,,,,,,,,,,,,
 12:02:04.978,COM12,, 0.3804, -0.9165, 0.0386, 0.3662, 0.3052, 0.9155, -88.143, -22.022, -0.357, -190.427, -208.667, -17.693, 23.12,,,,,,,,,,,,,,,,
