Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:15:31.428,COM12,, 0.3950, -0.9136, -0.1284, -0.9155, 0.0000, 1.5259, -97.608, -23.483, -100.338, -112.180, -215.567, 69.867, 24.36,,,,,,,,,,,,,,,,
 12:15:31.538,COM12,, 0.4048, -0.9121, -0.1284, -2.2583, 1.4038, 0.0610, -97.894, -23.264, -100.267, -113.027, -215.567, 72.393, 24.38,,,,,,,,,,,,,,,,
 12:15:31.634,COM12,, 0.4146, -0.9028, -0.1147, -25.2686, -5.4932, 4.3945, -99.086, -22.978, -100.129, -112.893, -215.567, 77.493, 24.33,,,,,,,,,,,,,,,,
 12:15:31.727,COM12,, 0.5444, -0.8203, -0.1919, 38.3911, 28.9307, -11.7798, -101.596, -21.819, -98.712, -110.040, -215.567, 71.227, 24.36,,,,,,,,,,,,,,,,
 12:15:31.836,COM12,, 0.3862, -0.9644, -0.1665, 19.5313, 22.2168, -29.9072, -99.871, -24.384, -98.201, -118.567, -215.567, 28.667, 24.36,,,,,,,,,,,,,,,,
 12:15:31.931,COM12,, 0.4907, -0.8145, -0.0850, 19.3481, 6.1646, -20.1416, -96.350, -26.779, -99.778, -103.507, -68.993, -4.387, 24.38,,,,,,,,,,,,,,,,
 12:15:32.027,COM12,, 0.5786, -1.2378, -0.3364, -5.9204, 0.4883, 5.6763, -98.531, -26.142, -100.256, -85.000, 155.533, -26.260, 24.36,,,,,,,,,,,,,,,,
 12:15:32.137,COM12,, 0.4048, -0.8823, -0.0566, 42.2363, -14.7095, -20.6909, -96.427, -25.922, -99.641, -86.527, -40.547, -35.553, 24.36,,,,,,,,,,,,,,,,
 12:15:32.231,COM12,, 0.3960, -0.9097, -0.0566, 8.1177, -2.7466, -36.1938, -94.471, -28.911, -99.338, -94.967, -46.640, -32.020, 24.36,,,,,,,,,,,,,,,,
 12:15:32.327,COM12,, 0.5576, -0.9121, -0.1157, 48.0347, -18.3716, -36.3159, -92.175, -32.734, -98.015, -116.380, 177.380, -35.720, 24.41,,,,,,,,,,,,,,,,
 12:15:32.437,COM12,, 0.4932, -0.6431, 0.1484, -17.2729, 7.7515, 64.4531, -88.423, -31.042, -98.322, -108.593, -155.520, -39.147, 24.39,,,,,,,,,,,,,,,,
 12:15:32.532,COM12,, 0.4028, -0.9385, -0.0615, -46.8750, -9.7046, 19.3481, -92.999, -27.790, -97.619, -113.467, -208.267, -34.153, 24.36,,,,,,,,,,,,,,,,
 12:15:32.625,COM12,, 0.4272, -0.9404, -0.1201, -27.0386, 0.7935, 13.2446, -96.086, -25.851, -97.224, -128.560, -214.680, -26.133, 24.38,,,,,,,,,,,,,,,,
 12:15:32.735,COM12,, 0.4170, -0.8970, -0.1040, -6.8970, -1.2207, 1.4648, -96.855, -25.615, -97.174, -135.633, -215.460, -20.880, 24.39,,,,,,,,,,,,,,,,
