Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:20:01.535,COM12,, 0.4194, -0.9058, -0.0015, 0.0000, 0.3052, -0.4883, -90.648, -24.758, 176.567, -191.113, -215.567, 10.120, 24.53,,,,,,,,,,,,,,,,
 12:20:01.629,COM12,, 0.4575, -0.8911, 0.0010, -8.3008, -1.4038, 6.3477, -90.868, -24.626, 176.616, -191.360, -215.567, 10.980, 24.54,,,,,,,,,,,,,,,,
 12:20:01.724,COM12,, 0.3379, -0.8770, 0.0039, -38.3301, -0.3052, 22.4609, -92.203, -23.654, 176.512, -190.160, -215.567, 18.660, 24.47,,,,,,,,,,,,,,,,
 12:20:01.854,COM12,, 0.4800, -1.0117, -0.1631, 10.7422, -9.8877, -13.6719, -95.087, -22.313, 176.825, -184.187, -215.567, 36.980, 24.47,,,,,,,,,,,,,,,,
 12:20:01.932,COM12,, 0.3447, -0.8516, 0.0552, 20.3857, 4.1504, -5.9814, -91.637, -24.708, 177.495, -152.953, -215.567, 34.873, 24.54,,,,,,,,,,,,,,,,
 12:20:02.027,COM12,, 0.2920, -0.8755, -0.0361, -1.4648, 2.5024, -10.6812, -91.313, -24.516, 176.737, -126.347, 73.527, 27.307, 24.51,,,,,,,,,,,,,,,,
 12:20:02.169,COM12,, 0.5786, -0.8960, -0.1089, 78.4912, -13.1226, -31.2500, -87.034, -27.367, 175.182, -120.913, 77.220, 18.300, 24.50,,,,,,,,,,,,,,,,
 12:20:02.241,COM12,, 0.5093, -0.8174, 0.2524, 27.1606, -3.9673, -12.7563, -82.227, -31.113, 177.314, -125.733, 184.440, 21.280, 24.51,,,,,,,,,,,,,,,,
 12:20:02.322,COM12,, 0.4263, -0.9194, 0.0654, -96.7407, 20.7520, 47.8516, -86.808, -28.163, 176.484, -131.287, 203.853, 29.507, 24.51,,,,,,,,,,,,,,,,
 12:20:02.437,COM12,, 0.4751, -0.7578, 0.0142, 20.0806, 18.4326, -22.5220, -88.770, -25.571, 175.655, -118.187, 129.933, 33.573, 24.50,,,,,,,,,,,,,,,,
 12:20:02.531,COM12,, 0.4424, -0.9702, 0.0562, -6.5918, -20.0806, -31.0059, -87.429, -28.647, 175.012, -122.733, 169.073, 24.947, 24.53,,,,,,,,,,,,,,,,
 12:20:02.625,COM12,, 0.4800, -0.9116, -0.0063, -6.9580, 0.2441, 4.8828, -87.539, -28.834, 174.507, -129.140, 190.700, 8.873, 24.48,,,,,,,,,,,,,,,,
 12:20:02.721,COM12,, 0.4146, -0.8438, 0.0479, -12.4512, -10.5591, 12.0850, -88.478, -27.949, 175.139, -132.907, 192.880, 3.593, 24.54,,,,,,,,,,,,,,,,
 12:20:02.832,COM12,, 0.3862, -0.8794, -0.0083, -36.9263, -24.9023, 46.4478, -92.280, -25.203, 177.385, -142.807, 202.560, 9.127, 24.56,,,,,,,,,,,,,,,,
 12:20:02.928,COM12,, 0.3911, -0.9585, -0.1196, -13.1226, -10.1318, 13.3667, -95.922, -22.165, 179.626, -155.160, -32.220, 16.513, 24.50,,,,,,,,,,,,,,,,
