Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:26:38.489,COM12,, 0.2739, -0.9702, 0.0195, -9.0942, -0.7935, 3.9063, -88.879, -15.167, 51.169, -22.140, -215.553, -29.900, 23.33,,,,,,,,,,,,,,,,
 13:26:38.582,COM12,, 0.2822, -0.9639, 0.0308, 14.2212, 4.3335, -9.0942, -88.544, -15.348, 51.015, -22.400, -215.553, 31.400, 23.33,,,,,,,,,,,,,,,,
 13:26:38.677,COM12,, 0.2549, -0.9707, 0.0381, 0.3052, -1.5259, -3.8452, -88.044, -15.985, 50.795, -27.273, -214.600, 187.847, 23.33,,,,,,,,,,,,,,,,
 13:26:38.788,COM12,, 0.2964, -0.9717, 0.0400, 7.3242, 0.5493, -5.4321, -87.814, -16.155, 50.960, -18.087, -205.773, 201.993, 23.32,,,,,,,,,,,,,,,,
 13:26:38.885,COM12,, 0.2915, -0.9028, 0.0889, 18.9209, 13.1226, -10.5591, -85.941, -17.084, 50.246, -26.127, -190.160, 188.887, 23.32,,,,,,,,,,,,,,,,
 13:26:38.981,COM12,, 0.3789, -0.9912, 0.0669, 35.6445, 15.1978, -32.9590, -83.809, -18.523, 48.367, -40.453, -167.393, 171.367, 23.32,,,,,,,,,,,,,,,,
 13:26:39.076,COM12,, 0.4180, -0.9736, 0.1558, 33.3252, -17.7002, -22.7661, -80.222, -20.599, 48.060, -57.487, -151.733, 147.940, 23.32,,,,,,,,,,,,,,,,
 13:26:39.187,COM12,, 0.3760, -0.8750, 0.2598, -0.8545, 13.1836, -10.3760, -78.140, -22.791, 48.230, -58.360, -140.913, 133.713, 23.32,,,,,,,,,,,,,,,,
 13:26:39.280,COM12,, 0.3794, -0.9106, 0.2178, 2.3193, 20.9961, 7.1411, -77.563, -22.236, 46.005, -49.320, -118.447, 126.213, 23.32,,,,,,,,,,,,,,,,
 13:26:39.376,COM12,, 0.3965, -0.9019, 0.2183, -8.9722, -5.3711, 4.6387, -77.294, -20.934, 45.302, -52.913, -95.700, 117.733, 23.32,,,,,,,,,,,,,,,,
 13:26:39.473,COM12,, 0.4150, -0.8657, 0.2588, 0.6714, -27.8931, -18.4326, -77.520, -22.115, 47.071, -51.873, -102.713, 127.780, 23.32,,,,,,,,,,,,,,,,
 13:26:39.580,COM12,, 0.4058, -0.8784, 0.2275, -2.0752, -5.7373, 2.6245, -77.899, -23.121, 47.966, -45.300, -120.287, 147.880, 23.33,,,,,,,,,,,,,,,,
 13:26:39.686,COM12,, 0.3320, -0.9180, 0.1851, -26.4893, -11.6577, 29.3579, -80.140, -21.484, 49.120, -39.573, -132.007, 168.240, 23.32,,,,,,,,,,,,,,,,
 13:26:39.782,COM12,, 0.2803, -0.9619, 0.0928, -27.7710, -8.4839, 31.4941, -83.903, -18.419, 50.823, -27.300, -139.013, 189.347, 23.35,,,,,,,,,,,,,,,,
 13:26:39.877,COM12,, 0.3091, -0.9795, 0.0693, -4.6387, -0.9155, 3.6621, -85.369, -17.221, 51.361, -12.533, -143.113, 198.720, 23.32,,,,,,,,,,,,,,,,
 13:26:39.973,COM12,, 0.2734, -0.9248, 0.1104, 0.0000, -1.5869, 4.7607, -84.798, -17.095, 51.460, -12.353, -147.427, 196.367, 23.33,,,,,,,,,,,,,,,,
 13:26:40.108,COM12,, 0.2622, -0.9570, 0.0781, -12.8784, -3.5400, 11.1084, -85.798, -16.183, 51.899, -8.313, -150.233, 198.027, 23.32,,,,,,,,,,,,,,,,
 13:26:40.170,COM12,, 0.2813, -0.9697, 0.0576, -2.6245, -1.8921, 0.4272, -86.512, -15.699, 52.339, -0.573, -152.460, 202.587, 23.33,,,,,,,,,,,,,,,,
 13:26:40.280,COM12,, 0.2861, -0.9565, 0.0693, 3.9673, -0.4272, -5.3711, -86.320, -15.985, 52.410, 2.813, -155.247, 203.240, 23.32,,,,,,,,,,,,,,,,
 13:26:40.375,COM12,, 0.2827, -0.9619, 0.0698, 3.1738, 1.5869, -6.1035, -85.952, -16.507, 52.295, 3.900, -159.540, 203.273, 23.32,,,,,,,,,,,,,,,,
