Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:38:28.678,COM12,, 0.3457, -0.9390, 0.0532, 2.9907, -0.9155, 6.2866, -86.655, -20.550, 36.601, -54.353, -215.567, 89.300, 24.77,,,,,,,,,,,,,,,,
 13:38:28.773,COM12,, 0.3149, -0.9189, 0.0518, 4.8828, 0.3052, 3.3569, -86.380, -20.187, 36.623, -62.147, -215.567, 92.327, 24.81,,,,,,,,,,,,,,,,
 13:38:28.871,COM12,, 0.3511, -0.9507, 0.0479, 11.2915, -7.9956, 4.3945, -85.853, -19.731, 37.029, -73.027, -215.567, 91.673, 24.78,,,,,,,,,,,,,,,,
 13:38:28.998,COM12,, 0.3286, -0.9468, 0.0957, 33.6304, -6.4087, -16.6016, -83.941, -20.490, 37.991, -71.707, -215.567, 77.807, 24.80,,,,,,,,,,,,,,,,
 13:38:29.077,COM12,, 0.3760, -0.9126, 0.1172, 17.3340, 0.1221, -7.3853, -81.227, -21.687, 37.551, -66.953, -215.620, 53.313, 24.74,,,,,,,,,,,,,,,,
 13:38:29.173,COM12,, 0.4077, -0.8994, 0.1787, 15.0146, 9.0332, -10.6812, -79.316, -22.264, 37.337, -66.493, 142.807, 34.267, 24.80,,,,,,,,,,,,,,,,
 13:38:29.284,COM12,, 0.4019, -0.8726, 0.2241, 11.2305, 17.3950, -29.3579, -77.031, -23.730, 35.513, -71.420, 186.333, 21.013, 24.81,,,,,,,,,,,,,,,,
 13:38:29.379,COM12,, 0.5020, -0.9839, 0.1689, 8.8501, -12.0850, -3.3569, -75.959, -24.615, 34.069, -75.567, 185.133, 13.240, 24.80,,,,,,,,,,,,,,,,
 13:38:29.474,COM12,, 0.4692, -0.8398, 0.2925, 21.4233, -4.2114, -12.0239, -74.075, -26.691, 36.359, -79.580, 174.093, 0.707, 24.74,,,,,,,,,,,,,,,,
 13:38:29.592,COM12,, 0.4204, -0.8491, 0.2637, -18.6768, 10.4370, 2.4414, -74.119, -26.862, 35.870, -81.420, 169.680, -5.067, 24.78,,,,,,,,,,,,,,,,
 13:38:29.673,COM12,, 0.4507, -0.9155, 0.1802, -29.2969, 23.9868, -4.9438, -76.009, -26.142, 33.283, -80.267, 186.060, 8.473, 24.77,,,,,,,,,,,,,,,,
 13:38:29.770,COM12,, 0.4336, -0.8730, 0.2222, -12.6343, 1.2207, -0.7935, -76.838, -25.922, 31.948, -83.100, 203.100, 20.693, 24.75,,,,,,,,,,,,,,,,
 13:38:29.881,COM12,, 0.4399, -0.8804, 0.1958, -1.8311, 2.5024, -0.9155, -77.525, -25.878, 31.822, -84.893, 214.140, 28.193, 24.78,,,,,,,,,,,,,,,,
 13:38:29.993,COM12,, 0.4312, -0.8813, 0.2002, -2.7466, 0.1221, 1.9531, -77.673, -25.851, 31.740, -85.073, 38.700, 30.393, 24.81,,,,,,,,,,,,,,,,
 13:38:30.072,COM12,, 0.4438, -0.8784, 0.1953, -2.5024, -1.2207, 1.1597, -77.866, -25.785, 31.767, -85.493, -185.573, 32.033, 24.78,,,,,,,,,,,,,,,,
 13:38:30.181,COM12,, 0.3833, -0.8867, 0.1870, -2.5635, -1.5259, 2.4414, -78.239, -25.670, 31.976, -84.993, -211.927, 35.067, 24.77,,,,,,,,,,,,,,,,
 13:38:30.295,COM12,, 0.3784, -0.7441, 0.2637, -21.6064, -12.5732, 22.2778, -79.008, -24.197, 32.805, -85.880, -215.360, 35.993, 24.78,,,,,,,,,,,,,,,,
 13:38:30.374,COM12,, 0.4102, -0.9331, 0.0972, -0.6714, -4.7607, -0.9155, -82.018, -23.104, 34.162, -90.233, -215.547, 52.160, 24.77,,,,,,,,,,,,,,,,
 13:38:30.469,COM12,, 0.3926, -0.8774, 0.1636, 10.9253, 1.9531, -7.5073, -81.079, -23.698, 34.074, -88.300, -215.567, 55.027, 24.75,,,,,,,,,,,,,,,,
 13:38:30.600,COM12,, 0.4185, -0.9121, 0.1367, 0.1831, -1.7700, -2.3804, -80.914, -23.983, 34.156, -85.940, -215.567, 53.633, 24.81,,,,,,,,,,,,,,,,
 13:38:30.679,COM12,, 0.4116, -0.8960, 0.1582, 3.4790, 1.2817, -1.1597, -80.436, -24.357, 34.096, -83.560, -215.567, 51.987, 24.77,,,,,,,,,,,,,,,,
 13:38:30.774,COM12,, 0.4185, -0.9033, 0.1504, 0.3052, -0.1221, -0.5493, -80.442, -24.351, 34.140, -83.107, -215.567, 51.167, 24.77,,,,,,,,,,,,,,,,
