Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:15:31.010,COM12,, 0.1875, -1.0054, -0.2021, 21.4233, -16.7847, -17.8833, -94.999, -11.728, 50.471, -216.287, 188.880, 19.313, 24.16,,,,,,,,,,,,,,,,
 14:15:31.105,COM12,, 0.2856, -0.8657, -0.0098, 32.9590, -7.6294, -12.2070, -93.235, -12.338, 50.032, -203.727, 199.653, 53.840, 24.13,,,,,,,,,,,,,,,,
 14:15:31.200,COM12,, 0.3086, -0.9834, 0.0425, 41.8091, 1.3428, -25.6348, -89.742, -14.491, 50.065, -155.280, 193.707, 71.800, 24.16,,,,,,,,,,,,,,,,
 14:15:31.308,COM12,, 0.2700, -0.9214, 0.1318, 11.7188, 0.9155, -10.6201, -86.759, -16.315, 50.394, -127.867, 181.333, 69.387, 24.16,,,,,,,,,,,,,,,,
 14:15:31.402,COM12,, 0.2466, -0.9438, 0.0698, -2.5635, 13.7329, -0.0610, -86.688, -16.194, 49.565, -123.280, 178.467, 67.553, 24.16,,,,,,,,,,,,,,,,
 14:15:31.496,COM12,, 0.2754, -0.9658, 0.0396, 26.9775, 14.5264, -22.0337, -85.133, -17.144, 47.670, -125.613, 175.767, 61.753, 24.16,,,,,,,,,,,,,,,,
 14:15:31.607,COM12,, 0.4268, -0.9043, 0.1050, 52.6123, -4.4556, -28.7476, -81.332, -19.221, 48.406, -120.813, 168.253, 50.813, 24.13,,,,,,,,,,,,,,,,
 14:15:31.700,COM12,, 0.2271, -0.9082, 0.2627, -16.9678, 17.2119, 8.2397, -79.920, -19.567, 48.257, -120.513, 162.147, 42.440, 24.12,,,,,,,,,,,,,,,,
 14:15:31.795,COM12,, 0.4224, -0.9780, 0.0591, -27.7710, 17.8833, 11.7798, -80.865, -18.748, 45.511, -129.780, 155.753, 33.307, 24.15,,,,,,,,,,,,,,,,
 14:15:31.906,COM12,, 0.4097, -0.9849, 0.2422, 22.8271, -10.4370, -13.0615, -79.942, -19.462, 47.263, -134.193, 161.133, 33.007, 24.18,,,,,,,,,,,,,,,,
 14:15:32.001,COM12,, 0.2871, -0.9043, 0.2422, -24.7192, 21.2402, 4.8218, -79.788, -19.825, 46.763, -139.427, 166.133, 32.353, 24.18,,,,,,,,,,,,,,,,
 14:15:32.094,COM12,, 0.3311, -0.9316, 0.0840, -40.7715, 8.8501, 16.4185, -82.903, -18.397, 45.406, -153.747, 165.700, 30.253, 24.19,,,,,,,,,,,,,,,,
 14:15:32.205,COM12,, 0.2573, -0.9409, 0.1143, -24.4141, -6.3477, 12.0850, -85.375, -17.336, 45.703, -168.080, 177.773, 35.007, 24.15,,,,,,,,,,,,,,,,
 14:15:32.301,COM12,, 0.2451, -0.9683, 0.0122, -27.4658, -5.7373, 17.0898, -88.423, -15.584, 46.489, -183.773, 191.140, 42.420, 24.16,,,,,,,,,,,,,,,,
 14:15:32.396,COM12,, 0.2607, -0.9805, -0.0107, 0.4272, 0.9155, -2.3193, -89.561, -14.980, 46.741, -195.693, 199.033, 46.360, 24.15,,,,,,,,,,,,,,,,
 14:15:32.507,COM12,, 0.2520, -0.9575, 0.0176, -3.0518, 0.9155, 0.7935, -89.407, -15.150, 46.604, -198.047, 202.180, 47.393, 24.13,,,,,,,,,,,,,,,,
 14:15:32.601,COM12,, 0.2651, -0.9673, -0.0024, -1.2207, 0.0610, 0.8545, -89.731, -15.024, 46.626, -200.633, 204.547, 48.287, 24.16,,,,,,,,,,,,,,,,
