Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:56:19.246,COM12,, 0.4487, -0.9365, -0.0562, 10.7422, -0.9766, 3.9673, -94.521, -24.994, 132.704, -108.873, -215.567, 81.827, 25.99,,,,,,,,,,,,,,,,
 00:56:19.356,COM12,, 0.4229, -0.8950, -0.0181, 21.3623, -7.1411, -14.5874, -93.082, -25.411, 132.968, -119.060, -215.567, 58.147, 25.99,,,,,,,,,,,,,,,,
 00:56:19.452,COM12,, 0.5234, -0.8721, -0.0078, 41.0767, 4.6387, -22.5830, -89.731, -27.625, 132.869, -134.667, -215.567, 32.947, 25.96,,,,,,,,,,,,,,,,
 00:56:19.546,COM12,, 0.5059, -0.8745, 0.0854, -8.4229, 26.4893, 13.4277, -87.621, -28.141, 131.105, -129.933, -215.567, 21.227, 25.99,,,,,,,,,,,,,,,,
 00:56:19.642,COM12,, 0.5347, -0.8618, 0.0439, 3.1128, 5.7983, -3.6621, -87.962, -26.922, 129.825, -119.520, -215.567, 19.833, 25.98,,,,,,,,,,,,,,,,
 00:56:19.753,COM12,, 0.5269, -0.8784, 0.1489, 85.8765, -24.1699, -48.7061, -82.969, -30.652, 128.859, -106.693, -40.887, 14.793, 25.99,,,,,,,,,,,,,,,,
 00:56:19.851,COM12,, 0.6348, -0.7559, 0.1665, 13.3057, -7.1411, -7.6294, -78.975, -33.920, 127.463, -102.680, 166.333, 0.100, 25.99,,,,,,,,,,,,,,,,
 00:56:19.945,COM12,, 0.4297, -0.7354, 0.2397, -88.5010, -2.4414, 57.4951, -83.095, -31.086, 129.287, -105.293, 29.633, 2.260, 25.98,,,,,,,,,,,,,,,,
 00:56:20.040,COM12,, 0.4097, -0.9653, -0.0864, -25.3296, 23.8647, -6.1646, -90.005, -28.729, 128.046, -159.440, -185.760, 3.960, 26.01,,,,,,,,,,,,,,,,
 00:56:20.151,COM12,, 0.5918, -0.8130, -0.0044, 96.8628, -40.8936, -24.2920, -84.820, -31.487, 127.831, -151.300, -211.947, 4.713, 25.99,,,,,,,,,,,,,,,,
 00:56:20.246,COM12,, 0.5190, -0.6133, 0.3057, 24.9634, -7.8735, 4.3335, -79.343, -32.800, 131.924, -87.133, -55.993, 7.887, 26.01,,,,,,,,,,,,,,,,
 00:56:20.341,COM12,, 0.4658, -0.8467, 0.1177, -59.9365, -6.0425, 39.1846, -83.804, -30.542, 133.270, -78.027, -196.193, 17.993, 25.99,,,,,,,,,,,,,,,,
 00:56:20.453,COM12,, 0.4966, -0.8921, 0.0190, -28.7476, 0.7324, 11.1694, -88.160, -28.158, 134.143, -93.100, -213.213, 33.720, 25.98,,,,,,,,,,,,,,,,
 00:56:20.548,COM12,, 0.4995, -0.8604, 0.0483, 5.6152, -2.1362, -9.3994, -88.500, -28.570, 134.308, -102.680, -215.287, 40.367, 25.99,,,,,,,,,,,,,,,,
