Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:15:34.201,COM12,, 0.3984, -0.8555, 0.3276, -0.9766, -0.0610, 0.7324, -69.329, -23.577, 123.201, -73.307, 165.020, -8.613, 25.81,,,,,,,,,,,,,,,,
 11:15:34.310,COM12,, 0.3882, -0.8574, 0.3242, -0.8545, 0.9766, 3.9673, -69.390, -23.417, 123.195, -73.313, 164.913, -8.427, 25.86,,,,,,,,,,,,,,,,
 11:15:34.406,COM12,, 0.3989, -0.8604, 0.3286, -0.4883, -0.3662, 1.0376, -69.456, -23.247, 123.256, -72.713, 164.153, -8.653, 25.87,,,,,,,,,,,,,,,,
 11:15:34.500,COM12,, 0.4375, -0.8682, 0.3213, -0.6104, 1.4648, 0.8545, -69.521, -23.126, 123.245, -72.247, 163.860, -8.593, 25.86,,,,,,,,,,,,,,,,
 11:15:34.610,COM12,, 0.3633, -0.9443, 0.3203, -6.7749, 6.4087, -1.5259, -69.686, -22.906, 122.981, -71.793, 162.407, -8.647, 25.84,,,,,,,,,,,,,,,,
 11:15:34.704,COM12,, 0.3555, -0.8594, 0.3091, -8.3008, 9.1553, 11.1084, -69.879, -22.044, 122.448, -68.320, 156.140, -8.840, 25.83,,,,,,,,,,,,,,,,
 11:15:34.798,COM12,, 0.3613, -0.8979, 0.3057, -6.7749, 10.5591, 9.6436, -70.609, -20.836, 121.877, -60.793, 151.080, -7.993, 25.84,,,,,,,,,,,,,,,,
 11:15:34.908,COM12,, 0.4443, -0.8926, 0.3330, 10.6812, 8.9111, 1.6479, -70.285, -19.830, 121.251, -52.627, 148.413, -8.120, 25.84,,,,,,,,,,,,,,,,
 11:15:35.002,COM12,, 0.4072, -0.8901, 0.3931, 4.2114, -0.3662, -1.9531, -69.467, -20.028, 120.586, -46.867, 148.980, -9.087, 25.84,,,,,,,,,,,,,,,,
 11:15:35.111,COM12,, 0.4009, -0.7588, 0.3901, 23.0103, -17.4561, -34.9121, -68.313, -21.841, 120.767, -50.800, 147.667, -11.480, 25.87,,,,,,,,,,,,,,,,
 11:15:35.206,COM12,, 0.4468, -0.8433, 0.3589, 1.9531, 2.6245, 4.6387, -67.308, -23.692, 120.872, -64.033, 145.000, -16.347, 25.86,,,,,,,,,,,,,,,,
 11:15:35.299,COM12,, 0.2407, -0.8359, 0.3979, -34.4849, 3.5400, 15.8081, -68.253, -22.698, 120.888, -65.500, 144.807, -16.153, 25.84,,,,,,,,,,,,,,,,
 11:15:35.410,COM12,, 0.2495, -0.8447, 0.2358, -32.8369, 24.6582, -3.0518, -71.444, -20.852, 120.081, -70.433, 144.567, -12.427, 25.84,,,,,,,,,,,,,,,,
 11:15:35.506,COM12,, 0.4277, -0.9580, 0.1699, -5.8594, 4.3335, -18.7988, -72.779, -21.011, 117.773, -84.080, 143.347, -13.993, 25.86,,,,,,,,,,,,,,,,
 11:15:35.601,COM12,, 0.4072, -0.9111, 0.3384, 49.9268, -45.7764, -13.0615, -70.219, -22.786, 120.861, -80.767, 150.607, -12.980, 25.84,,,,,,,,,,,,,,,,
 11:15:35.696,COM12,, 0.3555, -0.8066, 0.3862, -0.2441, 0.7935, 6.7749, -68.472, -22.648, 121.278, -71.527, 153.293, -14.693, 25.87,,,,,,,,,,,,,,,,
 11:15:35.805,COM12,, 0.3394, -0.8657, 0.3110, -19.1650, 3.8452, 9.3994, -70.126, -21.863, 121.229, -71.987, 154.840, -12.913, 25.84,,,,,,,,,,,,,,,,
 11:15:35.899,COM12,, 0.3975, -0.9092, 0.2856, 13.9160, -4.0894, -0.2441, -70.181, -21.830, 121.536, -73.113, 154.793, -12.160, 25.87,,,,,,,,,,,,,,,,
 11:15:36.007,COM12,, 0.3496, -0.8647, 0.3525, -4.3945, 7.1411, 4.1504, -69.285, -21.885, 121.701, -69.700, 153.027, -13.833, 25.86,,,,,,,,,,,,,,,,
 11:15:36.099,COM12,, 0.3545, -0.8989, 0.2993, 8.1177, 2.9297, -20.8130, -69.357, -22.220, 120.943, -69.660, 151.993, -13.853, 25.89,,,,,,,,,,,,,,,,
 11:15:36.207,COM12,, 0.4541, -0.8374, 0.3101, 27.6489, -31.0669, -15.2588, -67.434, -23.478, 121.575, -68.693, 151.687, -17.007, 25.83,,,,,,,,,,,,,,,,
 11:15:36.303,COM12,, 0.4189, -0.7822, 0.4302, 21.1182, -10.6812, -2.8076, -65.012, -24.692, 123.272, -66.920, 152.140, -23.473, 25.83,,,,,,,,,,,,,,,,
 11:15:36.396,COM12,, 0.4155, -0.8262, 0.3823, -1.0986, 0.5493, 1.7700, -64.962, -24.791, 123.646, -66.667, 151.960, -25.567, 25.87,,,,,,,,,,,,,,,,
 11:15:36.506,COM12,, 0.3730, -0.7983, 0.4028, -4.8218, 2.3193, 8.0566, -65.083, -24.324, 123.805, -65.453, 151.547, -25.360, 25.84,,,,,,,,,,,,,,,,
 11:15:36.601,COM12,, 0.3662, -0.8652, 0.3525, -20.7520, 3.7231, 9.2163, -66.885, -23.011, 124.030, -63.987, 153.087, -22.073, 25.84,,,,,,,,,,,,,,,,
 11:15:36.695,COM12,, 0.3877, -0.8276, 0.3599, -5.6152, 2.1973, 2.5635, -67.489, -22.516, 124.047, -63.960, 153.913, -19.253, 25.87,,,,,,,,,,,,,,,,
 11:15:36.804,COM12,, 0.3779, -0.8506, 0.3564, 1.2817, 0.0000, -3.6011, -67.626, -22.615, 123.915, -64.113, 154.313, -18.347, 25.86,,,,,,,,,,,,,,,,
 11:15:36.898,COM12,, 0.3940, -0.8662, 0.3452, -3.4790, 1.2817, 0.8545, -67.857, -22.571, 123.777, -64.900, 155.000, -17.593, 25.87,,,,,,,,,,,,,,,,
 11:15:36.991,COM12,, 0.3779, -0.8584, 0.3516, -1.6479, 0.4883, 1.2207, -67.961, -22.500, 123.788, -65.120, 155.393, -17.127, 25.87,,,,,,,,,,,,,,,,
