Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:22:06.179,COM12,, 0.2334, -0.9531, 0.1963, 1.7700, 0.9766, 0.7324, -78.558, -13.672, 130.078, -75.500, 86.287, -73.753, 26.17,,,,,,,,,,,,,,,,
 11:22:06.274,COM12,, 0.2046, -0.9478, 0.1973, 2.2583, 1.1597, 4.9438, -78.382, -13.354, 130.062, -72.093, 85.033, -72.753, 26.19,,,,,,,,,,,,,,,,
 11:22:06.370,COM12,, 0.2056, -0.9424, 0.2046, 6.2256, 1.6479, 7.5684, -77.882, -12.799, 130.100, -63.613, 82.853, -70.993, 26.17,,,,,,,,,,,,,,,,
 11:22:06.465,COM12,, 0.2031, -0.9531, 0.2007, 9.0332, -2.9297, 3.3569, -77.382, -12.299, 130.281, -53.020, 82.940, -67.793, 26.17,,,,,,,,,,,,,,,,
 11:22:06.577,COM12,, 0.2056, -0.9248, 0.2441, 3.9673, -0.7935, -0.1831, -76.586, -12.189, 130.463, -43.373, 86.020, -64.520, 26.17,,,,,,,,,,,,,,,,
 11:22:06.672,COM12,, 0.1997, -0.9409, 0.2319, 2.8076, -2.1362, -1.7700, -76.295, -12.354, 130.545, -39.627, 89.607, -62.633, 26.14,,,,,,,,,,,,,,,,
 11:22:06.768,COM12,, 0.2109, -0.9858, 0.2261, 7.5684, -4.2725, 0.0610, -75.839, -12.733, 130.748, -37.680, 93.993, -61.120, 26.17,,,,,,,,,,,,,,,,
 11:22:06.864,COM12,, 0.3569, -0.9297, 0.2510, 17.2729, -3.4790, -5.4321, -74.608, -12.947, 131.138, -33.493, 97.627, -59.820, 26.16,,,,,,,,,,,,,,,,
 11:22:06.975,COM12,, 0.2207, -0.9028, 0.3970, 5.6152, 8.1787, -5.8594, -72.729, -14.128, 130.479, -30.633, 100.453, -60.440, 26.17,,,,,,,,,,,,,,,,
 11:22:07.070,COM12,, 0.2007, -0.9688, 0.2119, -16.3574, 2.5635, -2.8687, -73.987, -14.749, 128.881, -38.027, 94.913, -63.613, 26.17,,,,,,,,,,,,,,,,
 11:22:07.165,COM12,, 0.3125, -1.0215, 0.1963, 30.0293, -32.7148, 1.4038, -73.817, -15.095, 129.792, -43.947, 92.293, -65.613, 26.17,,,,,,,,,,,,,,,,
 11:22:07.261,COM12,, 0.3501, -0.8213, 0.3921, 0.5493, -7.6294, -5.3101, -71.631, -15.974, 132.578, -35.447, 98.553, -62.507, 26.17,,,,,,,,,,,,,,,,
 11:22:07.392,COM12,, 0.2783, -0.9077, 0.3574, -23.6816, 22.9492, -17.8833, -72.422, -17.018, 131.572, -42.167, 95.747, -64.027, 26.14,,,,,,,,,,,,,,,,
 11:22:07.472,COM12,, 0.2563, -1.0273, 0.1782, -1.0376, -0.1221, 1.8311, -74.257, -17.314, 129.902, -59.613, 75.600, -73.407, 26.14,,,,,,,,,,,,,,,,
 11:22:07.569,COM12,, 0.2134, -0.9731, 0.2510, -13.8550, -5.8594, 28.6865, -74.251, -16.133, 130.430, -60.480, 73.947, -74.047, 26.17,,,,,,,,,,,,,,,,
 11:22:07.666,COM12,, 0.3516, -0.9321, 0.2339, 29.6631, -3.2959, 3.1738, -74.910, -13.678, 131.962, -48.193, 90.167, -66.087, 26.16,,,,,,,,,,,,,,,,
 11:22:07.763,COM12,, 0.2051, -0.9126, 0.3965, -5.1270, 4.6997, -10.7422, -72.482, -14.502, 131.765, -33.633, 100.693, -61.500, 26.16,,,,,,,,,,,,,,,,
 11:22:07.874,COM12,, 0.2280, -0.9194, 0.2139, -25.8789, 23.0713, -10.6812, -74.251, -15.716, 129.282, -44.960, 94.173, -66.273, 26.17,,,,,,,,,,,,,,,,
 11:22:07.970,COM12,, 0.2734, -0.9741, 0.1816, -7.1411, 8.7280, -2.0142, -76.020, -16.100, 127.579, -62.713, 71.247, -77.060, 26.16,,,,,,,,,,,,,,,,
 11:22:08.065,COM12,, 0.2695, -0.9395, 0.2402, 3.0518, -4.3945, 6.0425, -75.981, -15.787, 127.661, -66.987, 63.253, -80.513, 26.14,,,,,,,,,,,,,,,,
 11:22:08.161,COM12,, 0.2373, -0.9722, 0.2456, -13.0005, -5.0049, 14.4043, -76.487, -14.980, 128.386, -68.147, 63.827, -80.387, 26.14,,,,,,,,,,,,,,,,
 11:22:08.273,COM12,, 0.2319, -0.9927, 0.1929, -0.7935, -5.1880, 5.3101, -77.481, -13.958, 129.243, -69.513, 64.347, -79.940, 26.19,,,,,,,,,,,,,,,,
