Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:52:42.739,COM12,, 0.3008, -0.8647, 0.4214, 0.0000, -0.3052, 0.0000, -64.363, -17.205, -94.460, -89.527, 99.207, -16.653, 29.63,,,,,,,,,,,,,,,,
 21:52:42.835,COM12,, 0.2925, -0.8604, 0.4233, 0.3662, 0.0000, 0.5493, -64.325, -17.194, -94.444, -89.327, 99.033, -16.660, 29.66,,,,,,,,,,,,,,,,
 21:52:42.932,COM12,, 0.2520, -0.8726, 0.4194, -1.4648, -0.1221, 2.0752, -64.418, -17.089, -94.362, -89.047, 98.493, -16.567, 29.63,,,,,,,,,,,,,,,,
 21:52:43.029,COM12,, 0.3086, -0.8584, 0.4116, 12.6343, -8.9111, 8.2397, -63.990, -16.716, -93.510, -86.940, 95.027, -15.653, 29.64,,,,,,,,,,,,,,,,
 21:52:43.124,COM12,, 0.2798, -0.8672, 0.4463, 5.9204, -4.6997, 0.9766, -63.171, -16.529, -92.692, -84.087, 92.627, -14.353, 29.64,,,,,,,,,,,,,,,,
 21:52:43.236,COM12,, 0.3032, -0.8643, 0.4341, -9.2773, -0.4272, 1.4038, -63.391, -16.683, -92.439, -85.407, 91.987, -13.647, 29.63,,,,,,,,,,,,,,,,
 21:52:43.330,COM12,, 0.2783, -0.8315, 0.4580, 4.8828, 0.4883, -4.5166, -63.144, -16.941, -92.450, -87.607, 91.580, -13.627, 29.66,,,,,,,,,,,,,,,,
 21:52:43.427,COM12,, 0.3154, -0.8613, 0.4277, 0.6104, 5.8594, -8.9722, -62.726, -17.276, -93.274, -88.047, 90.567, -14.313, 29.66,,,,,,,,,,,,,,,,
 21:52:43.522,COM12,, 0.3008, -0.8257, 0.4741, 4.9438, 3.1128, -5.5542, -61.815, -17.831, -94.175, -86.887, 88.807, -14.887, 29.64,,,,,,,,,,,,,,,,
 21:52:43.634,COM12,, 0.3423, -0.8296, 0.4541, -4.2114, 0.3662, -6.7139, -61.826, -18.062, -94.559, -86.240, 89.093, -14.820, 29.64,,,,,,,,,,,,,,,,
 21:52:43.729,COM12,, 0.4756, -0.8516, 0.4775, 4.3945, -0.7935, -8.4229, -61.699, -18.836, -95.290, -88.027, 90.033, -14.887, 29.64,,,,,,,,,,,,,,,,
 21:52:43.825,COM12,, 0.3726, -0.7480, 0.5630, 38.9404, -43.7012, 3.6621, -59.183, -19.896, -91.115, -85.740, 87.900, -14.693, 29.64,,,,,,,,,,,,,,,,
 21:52:43.938,COM12,, 0.3213, -0.7593, 0.5645, -34.1187, 42.2974, -5.0049, -58.793, -20.149, -90.516, -85.613, 85.520, -14.320, 29.66,,,,,,,,,,,,,,,,
 21:52:44.032,COM12,, 0.5068, -0.8760, 0.3813, -5.3711, 29.1138, -2.4414, -60.919, -18.929, -95.125, -85.707, 88.400, -15.180, 29.66,,,,,,,,,,,,,,,,
 21:52:44.127,COM12,, 0.3647, -0.6978, 0.6201, -21.6064, -5.7983, -31.5552, -60.936, -20.006, -95.691, -85.527, 88.753, -15.647, 29.63,,,,,,,,,,,,,,,,
 21:52:44.221,COM12,, 0.2598, -0.9282, 0.3711, -22.5830, -4.0283, 9.5825, -63.232, -21.132, -96.405, -101.353, 73.987, -21.267, 29.67,,,,,,,,,,,,,,,,
