Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:53:35.095,COM12,, 0.3521, -0.8745, 0.3789, -1.5259, -17.0898, 7.3853, -66.720, -18.419, -72.043, -100.100, 69.273, -15.747, 29.63,,,,,,,,,,,,,,,,
 21:53:35.195,COM12,, 0.3115, -0.8823, 0.4097, -13.7939, 10.2539, -5.2490, -67.418, -18.528, -72.032, -100.460, 62.487, -15.620, 29.63,,,,,,,,,,,,,,,,
 21:53:35.305,COM12,, 0.2974, -0.8491, 0.3550, 8.6060, -7.9346, 6.0425, -67.604, -18.550, -72.405, -96.333, 51.100, -16.620, 29.60,,,,,,,,,,,,,,,,
 21:53:35.400,COM12,, 0.3560, -0.8789, 0.3647, 5.1270, -1.3428, 2.0752, -67.308, -18.259, -72.285, -94.013, 48.993, -18.393, 29.63,,,,,,,,,,,,,,,,
 21:53:35.497,COM12,, 0.3550, -0.9043, 0.4053, -10.2539, -3.7842, 2.6245, -67.659, -18.155, -72.367, -97.540, 60.180, -19.013, 29.63,,,,,,,,,,,,,,,,
 21:53:35.593,COM12,, 0.3052, -0.8584, 0.3975, 6.0425, 12.8174, -12.2681, -67.220, -18.666, -73.147, -101.887, 69.360, -18.540, 29.64,,,,,,,,,,,,,,,,
 21:53:35.705,COM12,, 0.3657, -0.8154, 0.3765, 4.2725, 2.1362, -3.4790, -65.380, -19.545, -74.740, -104.533, 68.347, -20.973, 29.63,,,,,,,,,,,,,,,,
 21:53:35.800,COM12,, 0.3760, -0.9063, 0.4048, 0.2441, 12.7563, -11.4746, -65.336, -19.698, -75.580, -108.040, 69.460, -22.847, 29.66,,,,,,,,,,,,,,,,
 21:53:35.917,COM12,, 0.3730, -0.8398, 0.4482, 13.5498, 7.2021, -16.5405, -63.611, -20.748, -77.536, -109.827, 68.387, -24.800, 29.67,,,,,,,,,,,,,,,,
 21:53:35.995,COM12,, 0.3022, -0.8311, 0.4316, -12.0239, 3.8452, -10.0708, -63.347, -21.555, -78.398, -110.627, 65.953, -25.513, 29.60,,,,,,,,,,,,,,,,
 21:53:36.091,COM12,, 0.3081, -0.8169, 0.3896, 5.2490, 10.9253, -21.0571, -62.743, -22.654, -79.574, -112.953, 58.367, -27.767, 29.66,,,,,,,,,,,,,,,,
 21:53:36.203,COM12,, 0.4043, -0.9126, 0.4102, 14.4043, 9.7656, 0.6104, -61.100, -23.401, -81.129, -110.040, 55.740, -28.333, 29.64,,,,,,,,,,,,,,,,
 21:53:36.297,COM12,, 0.5283, -0.6973, 0.4849, 67.0776, -30.7617, 45.9595, -57.711, -21.725, -79.113, -89.407, 68.267, -23.093, 29.63,,,,,,,,,,,,,,,,
