Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:54:25.469,COM12,, 0.2979, -0.8755, 0.4136, 5.4932, -8.6670, 5.1880, -65.583, -18.446, -109.995, -75.180, 79.107, -13.647, 29.66,,,,,,,,,,,,,,,,
 21:54:25.581,COM12,, 0.2925, -0.8394, 0.3843, -1.4038, 4.0283, -3.9673, -65.572, -18.402, -110.945, -75.673, 77.420, -12.300, 29.71,,,,,,,,,,,,,,,,
 21:54:25.677,COM12,, 0.3184, -0.8564, 0.3647, -36.6821, 7.5073, -1.8921, -67.187, -18.550, -112.648, -79.027, 74.153, -11.920, 29.72,,,,,,,,,,,,,,,,
 21:54:25.774,COM12,, 0.2451, -0.9116, 0.3184, -26.5503, -1.7090, 6.5308, -70.768, -17.908, -114.208, -81.007, 73.093, -9.927, 29.67,,,,,,,,,,,,,,,,
 21:54:25.869,COM12,, 0.2686, -0.8599, 0.2920, 0.0000, -4.5776, -4.1504, -71.620, -18.342, -115.126, -78.653, 72.267, -7.713, 29.71,,,,,,,,,,,,,,,,
 21:54:25.981,COM12,, 0.3350, -0.9648, 0.2783, 21.8506, 21.6064, -16.8457, -70.258, -19.111, -117.394, -83.400, 76.840, -8.247, 29.69,,,,,,,,,,,,,,,,
 21:54:26.075,COM12,, 0.3804, -0.8848, 0.3389, 13.8550, 9.3384, -10.1929, -67.088, -20.072, -120.569, -85.380, 83.400, -10.600, 29.69,,,,,,,,,,,,,,,,
 21:54:26.172,COM12,, 0.3442, -0.8628, 0.4482, 4.8218, 8.5449, -7.6904, -64.979, -20.627, -122.953, -85.313, 88.773, -12.307, 29.67,,,,,,,,,,,,,,,,
 21:54:26.267,COM12,, 0.3638, -0.9180, 0.3491, 2.6245, 11.1694, -16.5405, -64.973, -20.693, -125.118, -86.680, 91.240, -13.860, 29.72,,,,,,,,,,,,,,,,
 21:54:26.379,COM12,, 0.4180, -0.7197, 0.3989, 45.1660, -50.0488, 6.5918, -62.045, -21.874, -125.008, -83.960, 87.533, -15.580, 29.71,,,,,,,,,,,,,,,,
 21:54:26.473,COM12,, 0.3970, -0.7881, 0.5186, 21.4844, -39.5508, 8.4229, -61.150, -23.236, -119.938, -85.547, 82.707, -13.707, 29.69,,,,,,,,,,,,,,,,
 21:54:26.571,COM12,, 0.2852, -0.8140, 0.5386, -64.0259, 27.8320, 16.2964, -63.364, -22.363, -119.713, -90.320, 80.540, -10.040, 29.75,,,,,,,,,,,,,,,,
 21:54:26.667,COM12,, 0.3623, -0.9014, 0.2910, -36.8042, 22.9492, -22.2168, -66.050, -21.445, -124.305, -100.387, 80.560, -14.667, 29.69,,,,,,,,,,,,,,,,
 21:54:26.779,COM12,, 0.4629, -0.9824, 0.2495, 31.0059, -4.6997, -2.6855, -65.786, -22.725, -127.024, -112.407, 80.920, -20.220, 29.69,,,,,,,,,,,,,,,,
 21:54:26.875,COM12,, 0.2749, -0.7261, 0.4829, 29.1748, -43.1519, 3.3569, -62.501, -23.747, -123.585, -107.580, 77.960, -19.180, 29.71,,,,,,,,,,,,,,,,
 21:54:26.970,COM12,, 0.3452, -0.8740, 0.3887, -37.4756, 12.0239, 33.6914, -63.820, -22.582, -122.102, -107.953, 76.993, -15.467, 29.66,,,,,,,,,,,,,,,,
 21:54:27.065,COM12,, 0.4487, -0.8062, 0.3643, 20.5688, 1.5259, -7.7515, -65.067, -20.621, -122.690, -96.080, 85.547, -10.980, 29.69,,,,,,,,,,,,,,,,
 21:54:27.195,COM12,, 0.3198, -0.7456, 0.5483, -21.4844, 19.2871, -22.7051, -62.501, -22.385, -124.920, -88.600, 85.213, -11.767, 29.67,,,,,,,,,,,,,,,,
 21:54:27.276,COM12,, 0.4341, -0.8555, 0.3096, -23.9868, -7.6294, 10.0708, -63.517, -23.346, -126.079, -103.520, 78.007, -16.907, 29.71,,,,,,,,,,,,,,,,
 21:54:27.373,COM12,, 0.2544, -0.9570, 0.4121, -31.6772, -6.5308, 30.6396, -67.659, -20.956, -124.343, -111.447, 75.580, -18.527, 29.71,,,,,,,,,,,,,,,,
 21:54:27.469,COM12,, 0.3003, -0.7686, 0.2949, -17.3340, -5.4932, 11.5356, -70.203, -19.341, -122.932, -96.133, 65.333, -15.027, 29.69,,,,,,,,,,,,,,,,
 21:54:27.563,COM12,, 0.2920, -0.9170, 0.2988, -6.2256, -1.0376, 6.3477, -71.455, -18.732, -122.706, -94.527, 60.553, -15.007, 29.69,,,,,,,,,,,,,,,,
 21:54:27.674,COM12,, 0.3047, -0.9360, 0.2651, -1.0986, -0.6714, 3.1738, -71.988, -18.265, -122.822, -99.393, 60.847, -16.847, 29.63,,,,,,,,,,,,,,,,
 21:54:27.770,COM12,, 0.3145, -0.8848, 0.3086, 1.8311, 3.4180, 0.3052, -71.768, -17.968, -123.140, -98.113, 64.707, -15.400, 29.72,,,,,,,,,,,,,,,,
 21:54:27.868,COM12,, 0.2915, -0.9106, 0.3135, -0.4883, -1.0986, 0.0000, -71.719, -17.935, -123.552, -96.867, 67.380, -14.580, 29.69,,,,,,,,,,,,,,,,
