Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:55:59.035,COM12,, 0.2358, -0.9185, 0.1997, 7.2021, -0.1831, -1.2207, -77.091, -12.255, -103.969, -108.780, -1.407, -107.960, 29.72,,,,,,,,,,,,,,,,
 21:55:59.148,COM12,, 0.2930, -0.9565, 0.2549, 21.3013, -18.8599, -5.0659, -75.981, -12.964, -102.360, -104.067, 5.807, -101.867, 29.69,,,,,,,,,,,,,,,,
 21:55:59.242,COM12,, 0.3003, -0.8774, 0.3027, 37.2925, -50.2930, -3.1738, -73.334, -15.128, -98.372, -107.060, 36.860, -77.000, 29.74,,,,,,,,,,,,,,,,
 21:55:59.339,COM12,, 0.2695, -0.9609, 0.3330, 20.0806, 4.0894, -14.5264, -71.367, -15.480, -98.168, -114.687, 61.760, -54.780, 29.71,,,,,,,,,,,,,,,,
 21:55:59.434,COM12,, 0.3853, -0.8960, 0.3418, 31.0669, -1.7090, -27.0386, -69.093, -16.760, -99.404, -109.147, 69.087, -45.547, 29.69,,,,,,,,,,,,,,,,
 21:55:59.545,COM12,, 0.3174, -0.8325, 0.4639, 4.8828, 16.3574, -15.7471, -66.275, -18.737, -100.822, -101.093, 81.540, -39.660, 29.69,,,,,,,,,,,,,,,,
 21:55:59.644,COM12,, 0.3330, -0.8579, 0.3740, -2.1362, 12.5122, -14.0991, -65.792, -19.089, -103.008, -96.193, 84.080, -42.053, 29.69,,,,,,,,,,,,,,,,
 21:55:59.740,COM12,, 0.3232, -0.8140, 0.4199, 19.7144, 9.7046, -14.8926, -64.237, -20.072, -104.189, -92.953, 82.007, -43.873, 29.71,,,,,,,,,,,,,,,,
 21:55:59.836,COM12,, 0.4238, -0.9482, 0.3477, 46.4478, -21.4233, -4.3945, -62.578, -21.066, -105.167, -87.840, 81.447, -44.567, 29.72,,,,,,,,,,,,,,,,
 21:55:59.932,COM12,, 0.2686, -0.6743, 0.5835, 12.8784, -22.2778, 10.6812, -58.359, -22.912, -100.541, -82.640, 84.880, -37.840, 29.69,,,,,,,,,,,,,,,,
 21:56:00.043,COM12,, 0.3594, -0.8462, 0.4399, -75.1953, 37.2314, 12.1460, -61.957, -20.698, -101.272, -84.900, 85.100, -36.327, 29.72,,,,,,,,,,,,,,,,
 21:56:00.138,COM12,, 0.4531, -0.7695, 0.4307, 26.0620, 12.8784, -18.2495, -62.891, -19.759, -104.079, -78.520, 86.727, -40.160, 29.71,,,,,,,,,,,,,,,,
 21:56:00.233,COM12,, 0.3257, -0.6704, 0.5410, -6.5308, -8.4229, -17.5171, -61.375, -20.781, -105.013, -70.340, 86.393, -41.413, 29.75,,,,,,,,,,,,,,,,
 21:56:00.343,COM12,, 0.1509, -0.7646, 0.3735, -13.4888, -17.3950, 17.8833, -62.413, -23.088, -104.837, -81.620, 63.347, -46.180, 29.69,,,,,,,,,,,,,,,,
 21:56:00.439,COM12,, 0.3516, -0.9790, 0.1553, 16.2964, -32.7148, 66.7725, -66.072, -20.424, -100.459, -100.167, 44.613, -52.280, 29.69,,,,,,,,,,,,,,,,
 21:56:00.537,COM12,, 0.5161, -0.7749, 0.5161, 51.2085, -36.3770, 5.4321, -62.891, -18.622, -95.543, -83.527, 78.940, -36.280, 29.72,,,,,,,,,,,,,,,,
 21:56:00.633,COM12,, 0.2495, -0.6353, 0.6704, -10.5591, 9.5215, -21.6064, -59.233, -20.638, -96.108, -66.607, 90.993, -29.173, 29.66,,,,,,,,,,,,,,,,
 21:56:00.743,COM12,, 0.3828, -0.9189, 0.3711, -23.6206, 9.2163, 1.3428, -58.975, -22.220, -98.586, -76.533, 80.760, -33.627, 29.72,,,,,,,,,,,,,,,,
 21:56:00.840,COM12,, 0.3066, -0.7974, 0.4927, -14.6484, -4.2725, 23.1934, -60.628, -20.934, -97.597, -88.813, 74.820, -37.533, 29.67,,,,,,,,,,,,,,,,
 21:56:00.935,COM12,, 0.2476, -0.9033, 0.3833, -55.8472, 2.1362, 34.6069, -65.429, -18.122, -95.993, -99.667, 73.833, -40.193, 29.69,,,,,,,,,,,,,,,,
 21:56:01.046,COM12,, 0.3042, -0.9458, 0.3140, -19.4702, 7.6294, 5.9814, -68.698, -16.441, -95.570, -111.493, 66.860, -44.860, 29.74,,,,,,,,,,,,,,,,
 21:56:01.141,COM12,, 0.2910, -0.8789, 0.3779, 2.8076, 0.4272, -0.1221, -68.461, -16.331, -95.603, -112.280, 67.233, -45.820, 29.74,,,,,,,,,,,,,,,,
 21:56:01.237,COM12,, 0.2725, -0.8926, 0.3647, -6.4697, 0.8545, 3.9063, -68.610, -16.188, -95.735, -110.933, 67.967, -45.433, 29.69,,,,,,,,,,,,,,,,
 21:56:01.341,COM12,, 0.2534, -0.9048, 0.3472, -15.1367, 0.1831, 4.9438, -69.730, -15.667, -95.576, -113.300, 65.847, -47.000, 29.67,,,,,,,,,,,,,,,,
 21:56:01.438,COM12,, 0.2568, -0.9165, 0.3115, -5.6152, -1.9531, 1.0986, -70.692, -15.287, -95.306, -117.627, 63.920, -48.933, 29.67,,,,,,,,,,,,,,,,
 21:56:01.532,COM12,, 0.2710, -0.9014, 0.3218, 4.3335, 0.0610, -3.1738, -70.428, -15.507, -95.345, -119.300, 64.300, -49.160, 29.69,,,,,,,,,,,,,,,,
 21:56:01.629,COM12,, 0.2563, -0.9038, 0.3359, -1.2817, -0.9155, 0.0610, -70.219, -15.688, -95.367, -120.053, 65.847, -49.093, 29.69,,,,,,,,,,,,,,,,
 21:56:01.771,COM12,, 0.2700, -0.9043, 0.3262, 0.1221, 0.4272, -0.2441, -70.269, -15.694, -95.339, -121.167, 66.153, -49.267, 29.69,,,,,,,,,,,,,,,,
