Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:56:41.535,COM12,, 0.2720, -0.9326, 0.2754, -0.7324, -0.4272, -0.2441, -73.817, -15.551, -85.501, -115.340, 20.533, -86.800, 29.75,,,,,,,,,,,,,,,,
 21:56:41.630,COM12,, 0.2900, -0.9819, 0.2549, -0.6714, -11.0474, -0.7935, -73.839, -15.667, -84.562, -104.780, 23.140, -82.267, 29.72,,,,,,,,,,,,,,,,
 21:56:41.741,COM12,, 0.1685, -0.9136, 0.2549, -4.6997, -3.7231, -9.5215, -74.350, -16.150, -83.243, -84.673, 20.593, -73.420, 29.74,,,,,,,,,,,,,,,,
 21:56:41.834,COM12,, 0.3130, -0.9058, 0.1929, 8.7891, -3.7842, -3.1738, -74.449, -16.974, -83.502, -70.160, 15.273, -67.540, 29.71,,,,,,,,,,,,,,,,
 21:56:41.929,COM12,, 0.3457, -0.9526, 0.3232, 55.4199, 9.3384, -13.0615, -71.224, -17.402, -84.957, -66.933, 27.347, -64.360, 29.72,,,,,,,,,,,,,,,,
 21:56:42.039,COM12,, 0.4067, -0.7715, 0.4058, 38.0859, 1.6479, -14.2822, -66.215, -18.699, -88.907, -58.673, 40.433, -61.313, 29.72,,,,,,,,,,,,,,,,
 21:56:42.134,COM12,, 0.3242, -0.9492, 0.4614, 16.5405, 9.3994, -24.6582, -63.655, -19.605, -93.505, -60.913, 50.413, -63.093, 29.72,,,,,,,,,,,,,,,,
 21:56:42.229,COM12,, 0.3237, -0.7773, 0.4595, -0.1221, 1.5259, -2.8076, -62.314, -19.830, -97.443, -60.180, 50.567, -65.073, 29.67,,,,,,,,,,,,,,,,
 21:56:42.341,COM12,, 0.3511, -0.8413, 0.4297, -9.5215, 2.3804, 2.7466, -62.930, -19.748, -99.915, -61.700, 50.787, -65.673, 29.71,,,,,,,,,,,,,,,,
 21:56:42.436,COM12,, 0.3423, -0.8276, 0.4404, -1.8921, 0.8545, -0.6104, -63.270, -19.660, -102.211, -63.460, 50.973, -66.300, 29.72,,,,,,,,,,,,,,,,
