Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:59:15.960,COM12,, 0.2964, -0.9180, 0.3125, -0.6104, 0.1831, 0.2441, -71.730, -15.557, -125.239, -96.913, 59.473, -41.133, 29.66,,,,,,,,,,,,,,,,
 21:59:16.060,COM12,, 0.2568, -0.9092, 0.3149, 0.0000, 16.4185, -7.8735, -71.675, -15.606, -125.755, -95.013, 57.667, -42.360, 29.66,,,,,,,,,,,,,,,,
 21:59:16.155,COM12,, 0.2510, -0.8584, 0.3403, -7.8735, 18.8599, -13.2446, -70.983, -16.128, -128.557, -93.000, 48.920, -46.727, 29.67,,,,,,,,,,,,,,,,
 21:59:16.250,COM12,, 0.2842, -0.9185, 0.2773, -5.6152, 5.2490, -2.1362, -71.334, -16.397, -129.694, -95.500, 41.373, -49.407, 29.63,,,,,,,,,,,,,,,,
 21:59:16.345,COM12,, 0.2529, -0.9658, 0.3037, -17.5781, -6.4697, -3.5400, -72.471, -16.611, -129.507, -97.540, 40.333, -49.220, 29.61,,,,,,,,,,,,,,,,
 21:59:16.456,COM12,, 0.2773, -0.9619, 0.2290, -8.9111, -0.6104, -8.3008, -73.273, -16.826, -129.227, -98.467, 40.320, -47.300, 29.64,,,,,,,,,,,,,,,,
 21:59:16.551,COM12,, 0.3560, -0.8872, 0.2695, 21.6064, 6.2866, -14.9536, -72.977, -17.446, -129.611, -95.340, 43.420, -44.393, 29.66,,,,,,,,,,,,,,,,
 21:59:16.648,COM12,, 0.2871, -0.9502, 0.3496, 14.4043, 11.0474, -11.6577, -70.862, -18.402, -131.160, -94.213, 50.160, -42.700, 29.66,,,,,,,,,,,,,,,,
 21:59:16.757,COM12,, 0.3091, -0.8447, 0.3477, -15.9912, 11.4746, -4.2114, -69.796, -18.369, -132.819, -94.047, 55.780, -42.280, 29.67,,,,,,,,,,,,,,,,
 21:59:16.854,COM12,, 0.3315, -0.9048, 0.3105, -0.1221, 7.5684, -9.2773, -70.340, -18.539, -133.687, -99.633, 57.373, -44.467, 29.64,,,,,,,,,,,,,,,,
 21:59:16.950,COM12,, 0.4238, -0.8701, 0.3032, 16.0522, 9.8877, -25.3906, -68.890, -20.105, -135.121, -102.167, 57.893, -45.027, 29.71,,,,,,,,,,,,,,,,
 21:59:17.045,COM12,, 0.3687, -0.8521, 0.3481, 44.0674, -57.7393, 10.3760, -66.841, -20.775, -133.671, -96.313, 58.113, -43.907, 29.66,,,,,,,,,,,,,,,,
 21:59:17.156,COM12,, 0.4253, -0.8330, 0.4648, 13.9771, -11.9019, 0.6714, -64.990, -21.857, -129.650, -89.807, 53.067, -40.073, 29.64,,,,,,,,,,,,,,,,
 21:59:17.251,COM12,, 0.3477, -0.8159, 0.4658, -2.9907, 1.9531, -14.6484, -64.847, -22.390, -129.908, -90.240, 44.620, -40.693, 29.63,,,,,,,,,,,,,,,,
 21:59:17.344,COM12,, 0.3584, -0.7656, 0.3667, -21.8506, -12.3291, 2.6245, -64.363, -23.423, -130.117, -100.213, 25.513, -49.473, 29.66,,,,,,,,,,,,,,,,
 21:59:17.456,COM12,, 0.3911, -0.9917, 0.2866, -5.0659, -4.6387, 3.0518, -66.555, -23.181, -128.826, -119.400, -0.547, -62.293, 29.64,,,,,,,,,,,,,,,,
 21:59:17.551,COM12,, 0.3281, -0.7378, 0.3984, -28.3813, -5.3711, 23.3154, -67.346, -22.478, -128.249, -125.000, -3.800, -64.713, 29.64,,,,,,,,,,,,,,,,
 21:59:17.645,COM12,, 0.3130, -0.9258, 0.2490, -40.3442, -12.3291, 33.1421, -73.290, -19.089, -125.744, -137.860, -10.627, -72.680, 29.66,,,,,,,,,,,,,,,,
 21:59:17.748,COM12,, 0.3335, -0.9404, 0.2280, 5.3711, 2.6245, -3.2349, -73.878, -18.424, -125.310, -148.233, -12.247, -77.393, 29.64,,,,,,,,,,,,,,,,
 21:59:17.844,COM12,, 0.3315, -0.8750, 0.3032, 1.8311, -0.4883, -0.3052, -72.993, -18.671, -125.321, -148.500, 0.180, -72.593, 29.61,,,,,,,,,,,,,,,,
 21:59:17.955,COM12,, 0.3237, -0.9229, 0.2813, 0.3052, 4.8218, -0.2441, -73.021, -18.600, -125.464, -147.640, 4.487, -70.967, 29.67,,,,,,,,,,,,,,,,
 21:59:18.050,COM12,, 0.3315, -0.9126, 0.2847, 0.0000, 0.1831, 0.0000, -72.823, -18.655, -125.579, -146.120, 5.767, -70.287, 29.64,,,,,,,,,,,,,,,,
 21:59:18.146,COM12,, 0.3149, -0.9111, 0.2866, 0.3052, 1.8311, 0.7935, -72.686, -18.578, -125.656, -145.347, 8.447, -69.400, 29.66,,,,,,,,,,,,,,,,
 21:59:18.281,COM12,, 0.3193, -0.8960, 0.2827, -0.6104, -0.9155, -0.4883, -72.708, -18.534, -125.667, -144.033, 9.633, -68.787, 29.66,,,,,,,,,,,,,,,,
 21:59:18.345,COM12,, 0.3184, -0.9043, 0.2827, -0.6714, 0.7324, 0.8545, -72.845, -18.743, -125.601, -144.847, 9.767, -68.707, 29.64,,,,,,,,,,,,,,,,
