Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:59:54.156,COM12,, 0.3574, -0.9087, 0.3042, 0.0000, 0.3662, 1.7090, -72.048, -17.424, -116.625, -152.807, 58.467, -43.793, 29.74,,,,,,,,,,,,,,,,
 21:59:54.251,COM12,, 0.2739, -0.9058, 0.3247, -14.0991, -11.5356, 4.0894, -73.460, -16.644, -116.076, -147.493, 57.220, -43.740, 29.67,,,,,,,,,,,,,,,,
 21:59:54.363,COM12,, 0.2715, -0.9961, 0.2041, 3.1738, -14.5874, -13.3667, -73.674, -17.512, -115.774, -137.307, 46.680, -39.427, 29.69,,,,,,,,,,,,,,,,
 21:59:54.475,COM12,, 0.3110, -0.8481, 0.2944, 36.7432, -48.8281, 7.1411, -72.169, -18.578, -113.862, -105.940, 37.900, -34.647, 29.67,,,,,,,,,,,,,,,,
 21:59:54.555,COM12,, 0.3218, -0.8184, 0.3276, 30.6396, 2.3193, -1.2207, -69.642, -19.083, -112.917, -73.120, 42.233, -32.467, 29.66,,,,,,,,,,,,,,,,
 21:59:54.649,COM12,, 0.4429, -0.8340, 0.3936, 23.3765, 5.0049, -7.4463, -67.297, -18.984, -112.994, -57.060, 53.007, -30.873, 29.66,,,,,,,,,,,,,,,,
 21:59:54.759,COM12,, 0.3447, -0.8418, 0.4526, 25.9399, 11.9629, -18.6768, -64.424, -20.061, -113.758, -53.940, 58.973, -33.387, 29.66,,,,,,,,,,,,,,,,
 21:59:54.852,COM12,, 0.3799, -0.8691, 0.4355, 29.7241, -9.7656, -0.8545, -62.803, -20.314, -113.335, -53.487, 56.487, -35.660, 29.67,,,,,,,,,,,,,,,,
 21:59:54.963,COM12,, 0.4492, -0.7847, 0.4878, 46.1426, -7.7515, -20.6299, -58.859, -21.824, -112.857, -52.573, 50.940, -40.047, 29.71,,,,,,,,,,,,,,,,
 21:59:55.058,COM12,, 0.4263, -0.6011, 0.6313, 2.2583, 6.5918, -14.1602, -55.201, -23.917, -113.851, -52.573, 44.700, -45.147, 29.69,,,,,,,,,,,,,,,,
 21:59:55.154,COM12,, 0.3901, -0.7461, 0.5610, -54.4434, 51.2085, -30.5176, -57.288, -23.868, -118.152, -52.973, 44.320, -45.087, 29.72,,,,,,,,,,,,,,,,
 21:59:55.264,COM12,, 0.3481, -0.8022, 0.4272, 28.0151, -24.9023, 10.9253, -57.200, -23.901, -119.592, -55.973, 44.593, -43.440, 29.64,,,,,,,,,,,,,,,,
 21:59:55.360,COM12,, 0.4492, -0.6646, 0.5063, 11.6577, -20.1416, 0.9155, -55.503, -25.428, -117.328, -59.787, 39.680, -44.020, 29.71,,,,,,,,,,,,,,,,
 21:59:55.455,COM12,, 0.4951, -0.6973, 0.5640, -48.8892, 30.0293, -12.6343, -56.937, -24.851, -117.724, -63.960, 39.173, -43.167, 29.69,,,,,,,,,,,,,,,,
 21:59:55.552,COM12,, 0.4478, -0.7266, 0.4741, 4.3335, -6.7749, -7.2021, -58.810, -25.395, -118.641, -72.107, 39.540, -43.460, 29.71,,,,,,,,,,,,,,,,
 21:59:55.660,COM12,, 0.4404, -0.7734, 0.4844, 26.0010, -29.1138, 14.1602, -58.304, -26.208, -116.581, -81.387, 31.807, -45.353, 29.64,,,,,,,,,,,,,,,,
 21:59:55.755,COM12,, 0.4150, -0.7275, 0.5068, -5.0659, 0.0610, 11.8408, -57.964, -26.021, -114.296, -87.627, 30.080, -46.027, 29.71,,,,,,,,,,,,,,,,
 21:59:55.851,COM12,, 0.3477, -0.7578, 0.4585, -87.2192, -5.2490, 48.3398, -62.908, -23.549, -111.929, -95.113, 34.380, -45.613, 29.71,,,,,,,,,,,,,,,,
 21:59:55.962,COM12,, 0.3076, -0.9155, 0.2949, -19.9585, -7.3242, 15.9302, -69.988, -20.506, -108.765, -112.767, 34.193, -47.793, 29.71,,,,,,,,,,,,,,,,
 21:59:56.056,COM12,, 0.3384, -0.9473, 0.2764, 5.0049, -4.1504, 5.5542, -70.790, -19.891, -107.726, -121.807, 30.527, -51.060, 29.71,,,,,,,,,,,,,,,,
 21:59:56.152,COM12,, 0.3457, -0.8750, 0.3184, 2.9297, -0.7324, 1.7700, -70.549, -19.797, -106.974, -116.100, 35.987, -47.107, 29.67,,,,,,,,,,,,,,,,
 21:59:56.248,COM12,, 0.3325, -0.8701, 0.3281, 1.4038, 0.3052, -0.3052, -70.098, -19.984, -106.458, -108.327, 38.580, -43.607, 29.67,,,,,,,,,,,,,,,,
 21:59:56.361,COM12,, 0.3438, -0.8843, 0.3247, -0.5493, -0.5493, 0.3662, -70.175, -19.929, -105.941, -103.160, 36.400, -42.727, 29.66,,,,,,,,,,,,,,,,
 21:59:56.449,COM12,, 0.3403, -0.8833, 0.3237, 6.4087, 1.4038, -1.4038, -69.846, -19.946, -105.683, -100.460, 34.433, -42.947, 29.69,,,,,,,,,,,,,,,,
