Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:00:53.514,COM12,, 0.3384, -0.8804, 0.2637, 16.8457, -23.8037, -6.1035, -71.526, -18.210, -107.650, -91.873, 16.453, -33.460, 29.77,,,,,,,,,,,,,,,,
 22:00:53.611,COM12,, 0.3535, -0.9409, 0.3408, 15.8081, -8.3008, -6.0425, -70.236, -19.111, -105.985, -87.100, 15.307, -36.367, 29.72,,,,,,,,,,,,,,,,
 22:00:53.706,COM12,, 0.3643, -0.8481, 0.3740, 37.0483, -8.9722, -10.9253, -66.747, -20.380, -105.287, -74.380, 14.973, -40.593, 29.74,,,,,,,,,,,,,,,,
 22:00:53.802,COM12,, 0.3545, -0.8384, 0.4258, 32.7148, -5.0049, -12.8174, -63.073, -21.182, -106.062, -59.527, 20.360, -44.733, 29.72,,,,,,,,,,,,,,,,
 22:00:53.900,COM12,, 0.3989, -0.7217, 0.4585, -1.2817, 15.1367, -10.7422, -61.309, -21.846, -108.276, -47.553, 29.180, -44.853, 29.72,,,,,,,,,,,,,,,,
 22:00:54.010,COM12,, 0.3755, -0.7803, 0.4966, 1.3428, 23.2544, -10.9863, -60.496, -21.813, -112.209, -44.153, 39.887, -45.787, 29.77,,,,,,,,,,,,,,,,
 22:00:54.106,COM12,, 0.3809, -0.7251, 0.4849, -15.0146, -1.1597, 0.8545, -59.974, -22.066, -114.774, -45.253, 46.080, -47.453, 29.72,,,,,,,,,,,,,,,,
 22:00:54.202,COM12,, 0.3770, -0.8257, 0.4609, 11.1694, 7.0190, -5.4321, -59.810, -22.374, -116.158, -46.487, 47.147, -47.867, 29.75,,,,,,,,,,,,,,,,
 22:00:54.299,COM12,, 0.3936, -0.8003, 0.4937, 21.1792, -4.3945, -5.1880, -58.090, -22.588, -118.141, -44.080, 44.120, -49.460, 29.78,,,,,,,,,,,,,,,,
 22:00:54.411,COM12,, 0.5068, -0.7539, 0.5259, 48.1567, -23.4985, -14.1602, -55.063, -23.862, -118.345, -41.340, 39.753, -51.240, 29.72,,,,,,,,,,,,,,,,
 22:00:54.508,COM12,, 0.4146, -0.6060, 0.6670, 24.2310, 2.6855, -19.4702, -50.169, -26.235, -120.652, -40.687, 34.240, -55.693, 29.72,,,,,,,,,,,,,,,,
 22:00:54.604,COM12,, 0.4536, -0.7261, 0.5928, -48.4619, 29.7241, -27.9541, -50.801, -25.554, -127.249, -37.853, 32.747, -58.253, 29.77,,,,,,,,,,,,,,,,
 22:00:54.700,COM12,, 0.4463, -0.6470, 0.5054, 14.2212, -29.4189, -3.4790, -50.927, -26.999, -130.139, -43.467, 29.247, -58.887, 29.72,,,,,,,,,,,,,,,,
 22:00:54.805,COM12,, 0.4653, -0.8320, 0.5503, 15.5029, -14.7705, 18.7378, -50.718, -28.323, -128.227, -57.773, 24.100, -58.827, 29.75,,,,,,,,,,,,,,,,
 22:00:54.901,COM12,, 0.4209, -0.5928, 0.6406, -21.2402, -0.1221, 14.5264, -50.713, -27.751, -126.793, -64.747, 22.567, -57.220, 29.72,,,,,,,,,,,,,,,,
 22:00:55.013,COM12,, 0.3770, -0.7529, 0.4712, -65.2466, 0.9766, 34.9121, -56.519, -25.258, -125.156, -71.987, 26.767, -56.060, 29.72,,,,,,,,,,,,,,,,
 22:00:55.109,COM12,, 0.3906, -0.8608, 0.4219, 0.4272, 1.8921, 1.7700, -60.590, -23.566, -124.217, -82.280, 27.633, -55.860, 29.75,,,,,,,,,,,,,,,,
 22:00:55.206,COM12,, 0.4038, -0.7808, 0.4717, 2.5024, 2.7466, -0.6714, -60.194, -23.417, -124.596, -79.120, 27.367, -54.767, 29.77,,,,,,,,,,,,,,,,
 22:00:55.301,COM12,, 0.3994, -0.7764, 0.4727, 2.0142, 1.3428, -1.5869, -59.936, -23.500, -125.030, -73.947, 29.007, -53.733, 29.74,,,,,,,,,,,,,,,,
 22:00:55.396,COM12,, 0.3921, -0.7925, 0.4697, -0.3052, -0.1831, 0.7935, -59.777, -23.544, -125.222, -71.213, 29.340, -53.167, 29.75,,,,,,,,,,,,,,,,
