Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:02:28.675,COM12,, 0.4287, -0.8057, 0.4634, -0.7935, 0.5493, 0.5493, -60.842, -23.604, -55.865, -84.313, 70.860, -18.600, 29.83,,,,,,,,,,,,,,,,
 22:02:28.772,COM12,, 0.3604, -0.7686, 0.4756, -5.3101, 2.5635, 2.0752, -61.194, -23.209, -56.014, -82.793, 70.540, -18.433, 29.80,,,,,,,,,,,,,,,,
 22:02:28.868,COM12,, 0.3950, -0.8076, 0.4233, -5.6763, 8.9722, -0.2441, -61.606, -22.896, -56.689, -80.693, 69.760, -18.467, 29.81,,,,,,,,,,,,,,,,
 22:02:28.964,COM12,, 0.4097, -0.8071, 0.4688, -14.3433, 11.4746, -0.1221, -61.859, -22.440, -57.750, -82.300, 76.467, -19.533, 29.81,,,,,,,,,,,,,,,,
 22:02:29.073,COM12,, 0.3726, -0.8022, 0.4541, -2.9907, 10.6812, -4.8218, -62.413, -22.083, -58.931, -83.400, 87.847, -20.133, 29.83,,,,,,,,,,,,,,,,
 22:02:29.170,COM12,, 0.3535, -0.8271, 0.4258, -6.0425, 6.2256, -1.6479, -62.303, -22.165, -59.947, -83.913, 93.440, -20.700, 29.81,,,,,,,,,,,,,,,,
 22:02:29.265,COM12,, 0.3862, -0.8218, 0.4365, -1.0376, 9.0942, -7.5073, -62.155, -22.187, -60.925, -84.700, 93.727, -21.180, 29.81,,,,,,,,,,,,,,,,
 22:02:29.360,COM12,, 0.4150, -0.8257, 0.4199, 11.2305, 4.8828, -13.1836, -61.490, -22.692, -62.045, -84.213, 93.700, -21.647, 29.81,,,,,,,,,,,,,,,,
 22:02:29.474,COM12,, 0.4199, -0.7998, 0.4023, 16.5405, -19.5313, 1.9531, -60.809, -23.093, -61.386, -83.073, 92.007, -21.747, 29.78,,,,,,,,,,,,,,,,
 22:02:29.571,COM12,, 0.3276, -0.8086, 0.5093, 24.0479, -29.9683, 3.4790, -59.650, -24.609, -58.277, -87.400, 84.587, -19.107, 29.81,,,,,,,,,,,,,,,,
